,都道府県,現状値（％）,目標値（％）
0,北海道,37.6,40.0
1,青森県,35.6,40.0
2,岩手県,42.6,40.0
3,宮城県,37.2,40.0
4,秋田県,32.5,40.0
5,山形県,51.4,50.0
6,福島県,34.9,40.0
7,茨城県,34.9,30.0
8,栃木県,34.4,40.0
9,群馬県,36.6,40.0
10,埼玉県,38.1,40.0
11,千葉県,29.1,40.0
12,東京都,27.6,35.0
13,神奈川県,34.5,40.0
14,新潟県,37.8,38.0
15,富山県,37.3,40.0
16,石川県,33.9,50.0
17,福井県,32.6,40.0
18,山梨県,36.1,40.0
19,長野県,43.5,50.0
20,岐阜県,36.9,40.0
21,静岡県,41.2,40.0
22,愛知県,39.0,40.0
23,三重県,32.0,66.7
24,滋賀県,34.6,40.0
25,京都府,37.7,40.0
26,大阪府,30.2,40.0
27,兵庫県,33.0,35.0
28,奈良県,33.1,40.0
29,和歌山県,27.9,38.0
30,鳥取県,44.9,40.0
31,島根県,42.4,40.0
32,岡山県,36.4,40.0
33,広島県,28.4,34.0
34,山口県,48.0,45.0
35,徳島県,50.0,50.0
36,香川県,37.4,40.0
37,愛媛県,42.6,45.0
38,高知県,31.2,50.0
39,福岡県,41.4,42.0
40,佐賀県,41.1,40.0
41,長崎県,34.4,40.0
42,熊本県,37.6,40.0
43,大分県,37.7,40.0
44,宮崎県,45.9,50.0
45,鹿児島県,35.6,40.0
46,沖縄県,31.5,40.0
