,都道府県,男性（人）,女性（人）,女性比率（％）
0,北海道,35,0,0.0
1,青森県,10,0,0.0
2,岩手県,14,0,0.0
3,宮城県,12,1,7.7
4,秋田県,13,0,0.0
5,山形県,13,0,0.0
6,福島県,13,0,0.0
7,茨城県,31,1,3.1
8,栃木県,14,0,0.0
9,群馬県,11,1,8.3
10,埼玉県,40,0,0.0
11,千葉県,37,0,0.0
12,東京都,47,2,4.1
13,神奈川県,18,1,5.3
14,新潟県,19,1,5.0
15,富山県,10,0,0.0
16,石川県,11,0,0.0
17,福井県,9,0,0.0
18,山梨県,13,0,0.0
19,長野県,19,0,0.0
20,岐阜県,21,0,0.0
21,静岡県,21,2,8.7
22,愛知県,38,0,0.0
23,三重県,13,1,7.1
24,滋賀県,12,1,7.7
25,京都府,14,1,6.7
26,大阪府,33,0,0.0
27,兵庫県,27,2,6.9
28,奈良県,12,0,0.0
29,和歌山県,9,0,0.0
30,鳥取県,4,0,0.0
31,島根県,8,0,0.0
32,岡山県,14,1,6.7
33,広島県,14,0,0.0
34,山口県,12,1,7.7
35,徳島県,8,0,0.0
36,香川県,8,0,0.0
37,愛媛県,11,0,0.0
38,高知県,11,0,0.0
39,福岡県,28,0,0.0
40,佐賀県,10,0,0.0
41,長崎県,13,0,0.0
42,熊本県,14,0,0.0
43,大分県,14,0,0.0
44,宮崎県,9,0,0.0
45,鹿児島県,19,0,0.0
46,沖縄県,10,1,9.1
