,都道府県,割合（％）
0,北海道,2.6
1,青森県,3.8
2,岩手県,3.0
3,宮城県,4.2
4,秋田県,2.1
5,山形県,1.0
6,福島県,3.4
7,茨城県,5.6
8,栃木県,2.6
9,群馬県,0.5
10,埼玉県,4.5
11,千葉県,6.2
12,東京都,9.4
13,神奈川県,7.3
14,新潟県,3.3
15,富山県,1.5
16,石川県,2.2
17,福井県,2.1
18,山梨県,3.2
19,長野県,1.1
20,岐阜県,3.5
21,静岡県,1.3
22,愛知県,5.6
23,三重県,3.7
24,滋賀県,3.3
25,京都府,4.0
26,大阪府,15.2
27,兵庫県,6.1
28,奈良県,7.1
29,和歌山県,5.5
30,鳥取県,3.0
31,島根県,2.9
32,岡山県,6.6
33,広島県,5.8
34,山口県,8.3
35,徳島県,8.4
36,香川県,10.4
37,愛媛県,6.0
38,高知県,12.1
39,福岡県,8.8
40,佐賀県,1.6
41,長崎県,4.4
42,熊本県,2.4
43,大分県,2.5
44,宮崎県,3.3
45,鹿児島県,5.9
46,沖縄県,9.8
47,全国平均,5.2
