,年度,要介護（要支援）認定者（万人）,要介護（要支援）認定者以外の第1号被保険者（万人）,第1号被保険者（万人）,出現率（％）
0,平成１５（２００３）年,28.5,181.3,209.8,13.6
1,平成１６（２００４）年,32.2,183.2,215.4,14.9
2,平成１７（２００５）年,34.5,187.3,221.8,15.6
3,平成１８（２００６）年,36.4,193.1,229.5,15.9
4,平成１９（２００７）年,37.0,201.1,238.1,15.5
5,平成２０（２００８）年,38.1,207.5,245.6,15.5
6,平成２１（２００９）年,39.4,214.7,254.1,15.5
7,平成２２（２０１０）年,41.1,218.1,259.2,15.9
8,平成２３（２０１１）年,43.3,218.2,261.5,16.6
9,平成２４（２０１２）年,45.8,222.8,268.6,17.1
10,平成２５（２０１３）年,49.0,230.4,279.4,17.5
11,平成２６（２０１４）年,51.3,237.2,288.4,17.8
12,平成２７（２０１５）年,54.7,241.9,296.6,18.4
13,平成２８（２０１６）年,56.2,246.5,302.7,18.6
