,区分,Unnamed: 1,Unnamed: 2,平成23年[人],平成24年[人],平成25年[人],平成26年[人],平成27年[人]
0,人身,総数,本所,695,670,563,456,460
1,人身,総数,向島,287,310,269,204,184
2,人身,総数,計,982,980,832,660,644
3,死傷者,総数,本所,773,774,639,517,525
4,死傷者,総数,向島,305,347,292,231,200
5,死傷者,総数,計,1078,1121,931,748,725
6,死傷者,死亡,本所,2,1,0,3,2
7,死傷者,死亡,向島,2,2,1,0,1
8,死傷者,死亡,計,4,3,1,3,3
9,死傷者,負傷,本所,771,773,639,514,523
10,死傷者,負傷,向島,303,345,291,231,199
11,死傷者,負傷,計,1074,1118,930,745,722
12,物件事故,,本所,2309,2580,2416,2330,2416
13,物件事故,,向島,1240,1242,1183,1136,1237
14,物件事故,,計,3549,3822,3599,3466,3653
