,都道府県,件数（件）
0,北海道,2445
1,青森県,896
2,岩手県,2378
3,宮城県,2319
4,秋田県,844
5,山形県,386
6,福島県,1523
7,茨城県,1267
8,栃木県,2460
9,群馬県,1863
10,埼玉県,5735
11,千葉県,7698
12,東京都,14323
13,神奈川県,5494
14,新潟県,1396
15,富山県,1383
16,石川県,1603
17,福井県,1250
18,山梨県,1443
19,長野県,651
20,岐阜県,1348
21,静岡県,2711
22,愛知県,2624
23,三重県,305
24,滋賀県,836
25,京都府,5638
26,大阪府,7252
27,兵庫県,7670
28,奈良県,882
29,和歌山県,855
30,鳥取県,564
31,島根県,778
32,岡山県,2655
33,広島県,1138
34,山口県,529
35,徳島県,4934
36,香川県,503
37,愛媛県,673
38,高知県,596
39,福岡県,3157
40,佐賀県,1468
41,長崎県,1439
42,熊本県,1321
43,大分県,485
44,宮崎県,374
45,鹿児島県,1367
46,沖縄県,2171
