,年,検挙総数（件）,配偶者計（件）,配偶者計（％）,うち夫によるもの（件）,うち夫によるもの（％）,うち配偶者（件）
0,平成１５（２００３）年,9341,234,2.5,230,2.5,4
1,平成１６（２００４）年,10525,290,2.8,284,2.7,6
2,平成１７（２００５）年,13519,379,2.8,359,2.7,20
3,平成１８（２００６）年,19175,707,3.7,671,3.5,36
4,平成１９（２００７）年,21203,933,4.4,870,4.1,63
5,平成２０（２００８）年,21660,1045,4.8,975,4.5,70
6,平成２１（２００９）年,21006,1082,5.2,1013,4.8,69
7,平成２２（２０１０）年,21529,1452,6.7,1376,6.4,76
8,平成２３（２０１１）年,21541,1518,7.0,1415,6.6,103
9,平成２４（２０１２）年,23167,2121,9.2,1996,8.6,125
10,平成２５（２０１３）年,22717,2135,9.4,1999,8.8,136
