,区分,Unnamed: 1,Unnamed: 2,平成22年乗車[千人],平成22年降車[千人],平成23年乗車[千人],平成23年降車[千人],平成24年乗車[千人],平成24年降車[千人],平成25年乗車[千人],平成25年降車[千人],平成26年乗車[千人],平成26年降車[千人]
0,ＪＲ線,両国,定期,8787,,8506,,8457,,8229,,8209,
1,ＪＲ線,両国,普通,5351,,5375,,5399,,5640,,5593,
2,ＪＲ線,両国,計,14138,,13881,,13856,,13869,,13802,
3,ＪＲ線,錦糸町,定期,20437,,20541,,20451,,21091,,20896,
4,ＪＲ線,錦糸町,普通,15710,,15754,,16505,,16694,,16899,
5,ＪＲ線,錦糸町,計,36147,,36295,,36956,,37785,,37795,
6,都営線,本所吾妻橋,定期,1871,1871.0,1849,1849.0,1851,1851.0,1888,1888.0,1943,1943.0
7,都営線,本所吾妻橋,普通,1336,1270.0,1323,1238.0,1353,1329.0,1314,1265.0,1319,1256.0
8,都営線,本所吾妻橋,計,3207,3141.0,3172,3087.0,3204,3180.0,3202,3153.0,3262,3199.0
9,都営線,押上,定期,23518,23518.0,22684,22684.0,23139,23139.0,23858,23858.0,24081,24081.0
10,都営線,押上,普通,10421,9703.0,10187,9579.0,13185,11587.0,13423,11908.0,13158,12014.0
11,都営線,押上,計,33939,33221.0,32871,32263.0,36324,34726.0,37281,35766.0,37239,36095.0
12,都営線,菊川,定期,2456,2456.0,2439,2439.0,2492,2492.0,2619,2619.0,2685,2685.0
13,都営線,菊川,普通,1580,1593.0,1548,1555.0,1543,1561.0,1552,1575.0,1565,1590.0
14,都営線,菊川,計,4036,4049.0,3987,3994.0,4035,4053.0,4171,4194.0,4250,4275.0
15,都営線,両国　,定期,2725,2725.0,2680,2680.0,2842,2842.0,2923,2923.0,3083,3083.0
16,都営線,両国　,普通,2288,2233.0,2219,2163.0,2252,2215.0,2327,2303.0,2319,2302.0
17,都営線,両国　,計,5013,4958.0,4899,4843.0,5094,5057.0,5250,5226.0,5402,5385.0
18,京成線,押上,定期,24024,24024.0,23305,23305.0,23447,23447.0,24163,24163.0,24406,24406.0
19,京成線,押上,普通,9853,10073.0,9718,9983.0,10731,10892.0,10968,11107.0,11137,11281.0
20,京成線,押上,計,33877,34097.0,33023,33288.0,34178,34339.0,35131,35270.0,35543,35687.0
21,京成線,京成曳舟,定期,1862,1862.0,1788,1788.0,1818,1818.0,1859,1859.0,1896,1896.0
22,京成線,京成曳舟,普通,1560,1448.0,1548,1432.0,1555,1445.0,1527,1437.0,1443,1376.0
23,京成線,京成曳舟,計,3422,3310.0,3336,3220.0,3373,3263.0,3386,3296.0,3339,3272.0
24,京成線,八広,定期,1087,1087.0,1093,1093.0,1105,1105.0,1155,1155.0,1180,1180.0
25,京成線,八広,普通,682,658.0,671,648.0,695,669.0,728,700.0,736,708.0
