,年度,総数（件）,対価型、地位利用型セクシュアル・ハラスメントに関する労働者からの相談（％）,環境型セクシュアル・ハラスメントに関する労働者からの相談（％）,セクシュアル・ハラスメントに関する人事労務管理上の相談（％）,その他・不明（％）
0,平成１７（２００５）年度,2325,51.4,17.8,18.7,12.1
1,平成１８（２００６）年度,2556,47.7,18.2,17.6,16.5
2,平成１９（２００７）年度,2723,48.5,19.1,13.3,19.1
3,平成２０（２００８）年度,2256,37.5,30.2,7.7,24.6
4,平成２１（２００９）年度,1927,22.3,39.0,5.8,33.0
5,平成２２（２０１０）年度,2207,21.3,35.8,16.1,26.8
6,平成２３（２０１１）年度,2582,25.1,36.1,13.4,25.5
7,平成２４（２０１２）年度,1872,24.6,38.5,15.3,21.6
8,平成２５（２０１３）年度,1451,22.8,27.2,10.4,39.6
9,平成２６（２０１４）年度,1188,17.9,21.5,7.4,53.1
10,平成２７（２０１５）年度,1375,15.7,37.2,11.1,36.1
