,区分,２０歳未満（件）,２０～２４歳（件）,２５～２９歳（件）,３０～３４歳（件）,３５～３９歳（件）,４０～４４歳（件）,４５～４９歳（件）,総数（件）
0,平成２（１９９０）年度,2265,9194,7667,7036,6731,3926,311,37132
1,平成７（１９９５）年度,1685,7556,6848,5488,4306,2210,257,28354
2,平成１２（２０００）年度,2912,7903,6813,5172,4011,1628,145,28589
3,平成１７（２００５）年度,2194,8201,6962,5474,4037,1618,139,28628
4,平成１８（２００６）年度,2150,8055,6949,5365,4150,1597,126,28393
5,平成１９（２００７）年度,1995,7801,6919,5280,4184,1569,129,27878
6,平成２０（２００８）年度,1980,7247,6728,4922,4034,1564,116,26593
7,平成２１（２００９）年度,1813,6858,6696,5108,4090,1743,144,26462
8,平成２２（２０１０）年度,1804,6975,6782,5033,4271,1648,145,26660
9,平成２３（２０１１）年度,1928,6845,6646,5032,4266,1732,132,26581
10,平成２４（２０１２）年度,2039,6916,6522,4965,4203,1825,140,26612
11,平成２５（２０１３）年度,1859,6705,6193,5082,4105,1987,136,26068
12,平成２６（２０１４）年度,1867,6779,6053,4918,4043,2025,160,25846
13,平成２７（２０１５）年度,1895,7179,6305,5019,4077,2011,185,26672
