,年度,総数（人）,人文科学（％）,社会科学（％）,理学（％）,工学（％）,農学（％）,保健（％）,商船（％）,家政（％）,教育（％）,芸術（％）,その他（％）
0,平成８（１９９６）年度,1564138,8.1,46.9,4.1,27.2,2.9,4.1,0.1,0.1,3.9,1.3,1.5
1,平成１３（２００１）年度,1545065,8.8,45.5,4.3,26.9,2.7,4.3,0.0,0.2,3.5,1.3,2.4
2,平成１８（２００６）年度,1492977,9.0,42.6,4.3,25.5,2.9,5.9,0.0,0.4,3.9,1.5,4.1
3,平成１９（２００７）年度,1490642,9.0,42.0,4.2,25.1,3.0,6.3,0.0,0.4,4.0,1.5,4.4
4,平成２０（２００８）年度,1483662,8.9,41.5,4.2,24.8,3.0,6.7,0.0,0.4,4.2,1.5,4.8
5,平成２１（２００９）年度,1474151,8.8,41.1,4.1,24.4,3.1,6.9,0.0,0.5,4.4,1.4,5.2
6,平成２２（２０１０）年度,1481409,8.8,40.8,4.1,24.1,3.0,7.3,0.0,0.5,4.6,1.4,5.5
7,平成２３（２０１１）年度,1475066,8.8,40.1,4.1,23.7,3.0,7.7,0.0,0.5,4.8,1.4,5.9
8,平成２４（２０１２）年度,1459265,8.9,39.5,4.1,23.6,3.0,8.0,0.0,0.5,5.0,1.4,6.0
9,平成２５（２０１３）年度,1448256,8.9,38.9,4.1,23.6,3.0,8.4,0.0,0.5,5.2,1.4,6.1
10,平成２６（２０１４）年度,1434244,8.9,38.4,4.1,23.6,2.9,8.6,0.0,0.5,5.4,1.4,6.1
11,平成２７（２０１５）年度,1428690,8.9,38.1,4.1,23.5,2.9,8.8,0.0,0.5,5.5,1.4,6.2
12,平成２８（２０１６）年度,1425672,8.9,38.0,4.1,23.2,3.0,8.9,0.0,0.5,5.5,1.4,6.6
