,調査年月,性別,総数（人）,賛成（％）,どちらかといえば賛成（％）,どちらかといえば反対（％）,反対（％）,わからない（％）
0,平成１４年７月,男性,1624,17.2,34.1,24.1,18.0,6.7
1,平成１４年７月,女性,1937,12.8,30.5,29.4,21.7,5.6
2,平成１６年１１月,男性,1616,14.6,35.1,25.0,18.3,7.0
3,平成１６年１１月,女性,1886,11.0,30.2,29.5,24.2,5.0
4,平成１９年８月,男性,1412,15.9,34.8,26.2,20.0,3.1
5,平成１９年８月,女性,1706,12.0,27.8,30.7,26.2,3.2
6,平成２１年１０月,男性,1510,11.9,34.0,30.4,20.7,3.1
7,平成２１年１０月,女性,1730,9.5,27.8,32.0,26.6,4.0
8,平成２４年１０月,男性,1432,13.3,41.8,25.2,15.8,3.8
9,平成２４年１０月,女性,1601,12.4,36.0,30.4,18.4,2.8
10,平成２６年８月,男性,1345,14.2,32.3,32.0,14.5,7.0
11,平成２６年８月,女性,1692,11.2,32.0,34.2,17.4,5.1
12,平成２８年９月,男性,1404,9.4,35.3,32.2,17.2,5.8
13,平成２８年９月,女性,1655,8.3,28.7,37.0,21.5,4.5
