,科目,２５決算額（円）,２５構成比（％）,２５指数（％）,２６決算額（円）,２６構成比（％）,２６指数（％）,２７決算額（円）,２７構成比（％）,２７指数（％）
0,総務費,46977631,1.73,100.00,49237347,1.48,104.81,54987578,1.59,117.05
1,徴税費,6016433,0.22,100.00,6306390,0.19,104.82,6443413,0.19,107.10
2,スポーツ振興費,0,－,－,0,－,－,81151,0.01,皆増
3,都市整備費,37480,0.01,100.00,16453,0.01,43.90,17725,0.01,47.29
4,環境費,49783958,1.84,100.00,82741854,2.49,166.20,78195325,2.27,157.07
5,福祉保健費,68377643,2.52,100.00,76727426,2.31,112.21,76758132,2.23,112.26
6,産業労働費,502032207,18.51,100.00,529181840,15.94,105.41,534423016,15.49,106.45
7,土木費,1798772635,66.32,100.00,2351997634,70.85,130.76,2450589323,71.04,136.24
8,港湾費,240163643,8.86,100.00,223671726,6.74,93.13,248130418,7.19,103.32
9,諸支出金,0,－,－,0,－,－,0,－,－
10,計,2712161630,100.00,100.00,3319880670,100.00,122.41,3449626081,100.00,127.19
