,税目１,税目２,調定額現年課税分（円）,調定額件数（件）,調定額滞納繰越分（円）,調定額件数（件）.1,収入額現年課税分（円）,収入額件数（件）,収入額滞納繰越分（円）,収入額件数（件）.1,収入歩合現年（％）,収入歩合件数（％）,収入歩合滞納（％）,収入歩合件数（％）.1
0,都民税,個人,111831115,3905,16678484,5883,109568538,2997,5007525,396,98.0,76.7,30.0,6.7
1,都民税,法人,4649200,121,352499,3,4649200,121,352499,3,100.0,100.0,100.0,100.0
2,都民税,小計,116480315,4026,17030983,5886,114217738,3118,5360024,399,98.1,77.4,31.5,6.8
3,事業税,個人,2302200,28,0,0,2302200,28,0,0,100.0,100.0,0.0,0.0
4,事業税,法人,11278900,32,664200,1,11278900,32,664200,1,100.0,100.0,100.0,100.0
5,事業税,小計,13581100,60,664200,1,13581100,60,664200,1,100.0,100.0,100.0,100.0
6,不動産取得税,,1027400,22,198000,2,1027400,22,198000,2,100.0,100.0,100.0,100.0
7,自動車税,,2220500,64,487766,15,2080300,60,227629,7,93.7,93.8,46.7,46.7
8,軽油引取税,,54267,4,0,0,54267,4,0,0,100.0,100.0,0.0,0.0
9,狩猟税,,16500,1,0,0,16500,1,0,0,100.0,100.0,0.0,0.0
10,合計,,133380082,4177,18380949,5904,130977305,3265,6449853,409,98.2,78.2,35.1,6.9
