,科目,２７決算額（千円）,２７構成比（％）,２６決算額（千円）,２６構成比（％）,対前年度増減額２７（千円）,対前年度増減額２６（千円）,増減率２７（％）,増減率２６（％）
0,地方税,348107,7.6,333135,7.9,14972,-654,4.5,-0.2
1,地方譲与税,18752,0.4,17928,0.4,824,-644,4.6,-3.5
2,利子割交付金,2317,0.1,2709,0.1,-392,27,-14.5,1.0
3,配当割交付金,2773,0.1,3417,0.1,-644,1591,-18.8,87.1
4,株式等譲渡所得割交付金,2722,0.1,2874,0.1,-152,492,-5.3,20.7
5,地方消費税交付金,65357,1.4,37954,0.9,27403,7454,72.2,24.4
6,自動車取得税交付金,8345,0.2,5928,0.1,2417,-5467,40.8,-48.0
7,地方特例交付金,114,0.0,67,0.0,47,-52,70.1,-43.7
8,地方交付税,1372386,30.0,1355653,32.1,16733,-33421,1.2,-2.4
9,交通安全対策特別交付金,1266,0.0,1204,0.0,62,-168,5.1,-12.2
10,分担金及び負担金,224,0.0,340,0.0,-116,63,-34.1,22.7
11,使用料,67391,1.5,66031,1.6,1360,851,2.1,1.3
12,手数料,119465,2.6,136342,3.2,-16877,74591,-12.4,120.8
13,国庫支出金,100343,2.2,77869,1.8,22474,6865,28.9,9.7
14,都支出金,1216062,26.5,1308710,31.0,-92648,55949,-7.1,4.5
15,財産収入,60607,1.3,14166,0.3,46441,-6831,327.8,-32.5
16,寄附金,870,0.0,650,0.0,220,450,33.8,225.0
17,繰入金,82950,1.8,458064,10.8,-375114,-58851,-81.9,-11.4
18,繰越金,325703,7.1,142820,3.4,182883,93181,128.1,187.7
19,諸収入,53263,1.2,46880,1.1,6383,-2523,13.6,-5.1
20,村債,731492,16.0,212426,5.0,519066,128183,244.4,152.2
21,合計,4580509,100.0,4225167,100.0,355342,261086,8.4,6.6
