,税目１,税目２,税目３,調定額現年課税分（千円）,調定額滞納繰越分（千円）,収入額現年課税分（千円）,収入額滞納繰越分（千円）,収入歩合現年（％）,収入歩合滞納（％）
0,普通税,村民税,個人,18914,719,18914,0,100.0,0.0
1,普通税,村民税,法人,2017,0,2017,0,100.0,－
2,普通税,村民税,計,20931,719,20931,0,100.0,0.0
3,普通税,固定資産税,純固定資産税,19682,0,19682,0,100.0,－
4,普通税,固定資産税,交付金,1529,0,1529,0,100.0,－
5,普通税,固定資産税,計,21211,0,21211,0,100.0,－
6,普通税,軽自動車税,,828,13,828,0,100.0,0.0
7,普通税,たばこ税,,3409,0,3409,0,100.0,－
8,普通税,特別土地保有税,,0,0,0,0,－,－
9,普通税,入湯税,,0,0,0,0,－,－
10,普通税,合計,,46379,732,46379,0,100.0,0.0
11,国民健康保険税,,,6846,310,6769,103,98.9,33.2
