,区分１,区分２,区分３,三宅村消防本部,三宅村消防団本部,三宅村神着分団,三宅村伊豆分団,三宅村伊ヶ谷分団,三宅村阿古分団,三宅村坪田分団,三宅村計,御蔵島村,合計
0,団員数条例定数（人）,,,,,,,,,,150,35.0,185
1,団員数（人）,,,,3.0,28.0,11.0,19.0,27.0,29.0,117,35.0,152
2,消防吏員条例定数（人）,,,17.0,,,,,,,17,,17
3,消防吏員（人）,,,13.0,,,,,,,13,,13
4,ポンプ数,ガソリンポンプ,消防ポンプ自動車（台）,0.0,,1.0,1.0,0.0,1.0,1.0,4,0.0,4
5,ポンプ数,ガソリンポンプ,小型動力ポンプ（台）,0.0,,4.0,1.0,3.0,4.0,4.0,16,5.0,21
6,ポンプ数,ガソリンポンプ,小型動力ポンプ付積載車（台）,0.0,,1.0,1.0,1.0,1.0,1.0,5,2.0,7
7,ポンプ数,ガソリンポンプ,水槽付ポンプ自動車（台）,1.0,,0.0,0.0,0.0,0.0,0.0,1,0.0,1
8,ポンプ数,ガソリンポンプ,化学消防車（台）,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0
9,ポンプ数,計（台）,,1.0,,6.0,3.0,4.0,6.0,6.0,26,7.0,33
10,消火設備,消防栓（箇所）,,0.0,,0.0,0.0,0.0,0.0,0.0,0,30.0,30
11,消火設備,防火水槽（箇所）,,,,24.0,14.0,11.0,30.0,29.0,108,6.0,114
12,消火設備,計（箇所）,,,,24.0,14.0,11.0,30.0,29.0,108,36.0,144
