,島名,事業項目,箇所名,施行地又は受益地,事業主体,着工年度（年）,完了年度（年）,全体計画事業費（千円）,全体計画国費（千円）,残事業事業費（千円）,残事業国費（千円）,２７年度予算当初事業費（千円）,２７年度予算当初国費（千円）,２７年度予算補正事業費（千円）,２７年度予算補正国費（千円）,２８年度予算当初事業費（千円）,２８年度予算当初国費（千円）,２８年度予算当初都費（千円）,２８年度予算当初町村費（千円）,備考事業概要
0,三宅島,離島活性化交付金（流通効率化事業含む）,ふれあい交流事業,三宅村,協議会,Ｈ２５,Ｈ２８,11958,2940,,,3000.0,983.0,,,0,,,,商工会や観光協会等の若者で構成した協議会と島外ＮＰＯ団体が協力して、島の生活等に興味のある島外女性を島に招き、島内男性とお見合いパーティーや島内案内ツアーを実施する。
1,三宅島,離島活性化交付金（流通効率化事業含む）,三宅村定住促進事業,三宅村,村,Ｈ２８,Ｈ２９,9500,4750,,,,,,,1000,500.0,0.0,500.0,島内求人調査及び村ＨＰへの求人情報等の移住希望者用ページ制作・掲載。／島内空き家調査空き家リフォーム
2,三宅島,離島活性化交付金（流通効率化事業含む）,離島活性化交付金（流通効率化事業含む）計,,,,,21458,7690,0.0,0.0,3000.0,983.0,0.0,0.0,1000,500.0,0.0,500.0,
3,三宅島,離島漁業再生支援交付金,三宅村,三宅村,村,Ｈ２８,Ｈ３１,8160,4080,8160.0,4080.0,,,,,0,,,,漁場の生産力の向上に関する取組、漁業の再生に関する実践的な取組等
4,三宅島,医療施設等設備整備費,へき地診療所施設等整備費補助,三宅村,村,Ｈ２８,Ｈ２８,4492,4492,,,,,,,8986,4492.0,2247.0,2247.0,へき地診療所を運営する町村に対し、施設の整備、または医療機器の整備に要する経費の一部を補助することにより、地域医療の確保と向上に資する。
5,三宅島,農業・林業・水産業関係交付金（指定事業を除く）,水産関係地方公共団体交付金（新規就業者特別対策）,三宅村,村,Ｈ２８,Ｈ３１,10600,5300,9000.0,4500.0,,,,,1600,800.0,400.0,400.0,新規就業者の確保及び定着促進
6,三宅島,へき地児童生徒援助費補助金,高度へき地修学旅行費,三宅村,村,Ｈ２８,Ｈ２８,2350,1566,,,,,,,2350,1566.0,,784.0,児童生徒の修学旅行に要する経費を一部負担。年度単位で実施
7,三宅島,へき地児童生徒援助費補助金,スクールバス・ボート購入費,三宅村,村,Ｈ２８,Ｈ２８,5665,2832,,,,,,,5665,2832.0,,2833.0,スクールバスの購入事業。年度単位で実施
8,三宅島,へき地児童生徒援助費補助金,へき地児童生徒援助費補助金計,,,,,8015,4398,0.0,0.0,0.0,0.0,0.0,0.0,8015,4398.0,0.0,3617.0,
9,三宅島,その他（生活基盤施設耐震化等交付金）,水道施設等耐震化事業・生活基盤近代化事業・基幹改良,三宅村,村,Ｈ２６,Ｈ３５,434684,114749,283020.0,74712.0,37411.0,7170.0,,,43712,7523.0,21245.0,14944.0,配水管布設替
10,三宅島,その他（生活基盤施設耐震化等交付金）,水道施設等耐震化事業・生活基盤近代化事業・基幹改良,三宅村,村,Ｈ２７,Ｈ２８,38423,10143,,,18063.0,3438.0,,,20360,5375.0,9895.0,5090.0,取水施設更新
11,三宅島,その他（生活基盤施設耐震化等交付金）,生活基盤施設耐震化等交付金計,,,,,473107,124892,283020.0,74712.0,55474.0,10608.0,0.0,0.0,64072,12898.0,31140.0,20034.0,
12,三宅島,三宅島計,,,,,,525832,150852,300180.0,83292.0,58474.0,11591.0,0.0,0.0,83673,23088.0,33787.0,26798.0,
13,御蔵島,離島活性化交付金（流通効率化事業含む）,御蔵島村ヘリポート整備事業,御蔵島村,村,Ｈ２５,Ｈ２８,926525,310206,,,304054.0,150000.0,,,600082,150000.0,,450082.0,災害発生時において島民が孤立することを防止し、防災上必要な対策を推進するため、御蔵島ヘリポートを整備する。Ｈ２６設計、Ｈ２７～Ｈ２８建設工事。
14,御蔵島,離島漁業再生支援交付金,御蔵島村,御蔵島村,村,Ｈ２７,Ｈ３１,16320,8160,9792.0,4896.0,3264.0,1632.0,,,3264,1632.0,816.0,816.0,漁場の生産力の向上に関する取組、漁業の再生に関する実践的な取組等
15,御蔵島,へき地児童生徒援助費等補助金のうち離島高校生修学支援事業,離島高校生修学支援,内地及び八丈島,村,Ｈ２８,Ｈ２８,1800,900,,,,,,,1800,900.0,,900.0,高校修学のための居住費支援。年度単位で実施。
16,御蔵島,へき地児童生徒援助費補助金,高度へき地修学旅行費,御蔵島村,村,Ｈ２８,Ｈ２８,100,66,,,,,,,100,66.0,,34.0,児童生徒の修学旅行に要する経費を一部負担。年度単位で実施
17,御蔵島,その他（地域優良賃貸住宅）,地域優良賃貸住宅,たりぼう・森山ヶ下地区,村,Ｈ２７,Ｈ４０,1500000,675000,1448496.0,651824.0,,,,,12528,5637.0,,6891.0,敷地設計、仮設道路工事、住宅４棟（１棟８戸）予定
18,御蔵島,御蔵島計,,,,,,2444745,994332,1458288.0,656720.0,307318.0,151632.0,0.0,0.0,617774,158235.0,816.0,458723.0,
19,三宅支庁管内計,,,,,,,2970577,1145184,1758468.0,740012.0,365792.0,163223.0,0.0,0.0,701447,181323.0,34603.0,485521.0,
