,作目１,作目２,三宅村作付面積（ｈａ）,三宅村生産額（千円）,御蔵作付面積（ｈａ）,島村生産額（千円）,合計作付面積（ｈａ）,合計生産額（千円）
0,野菜類,カンショ,4.0,11660,0.0,0,4.0,11660
1,野菜類,バレイショ,1.1,1545,0.0,0,1.1,1545
2,野菜類,サトイモ,3.5,5261,0.0,0,3.5,5261
3,野菜類,アシタバ,22.3,126788,3.6,22257,25.9,149045
4,野菜類,キヌサヤ,0.7,8544,0.0,0,0.7,8544
5,野菜類,その他,4.2,17480,0.0,0,4.2,17480
6,野菜類,小計,35.8,171278,3.6,22257,39.4,193535
7,花き類,レザーファン,1.5,21252,0.0,0,1.5,21252
8,花き類,その他,4.4,57754,3.0,1050,7.4,58804
9,花き類,小計,5.9,79006,3.0,1050,8.9,80056
10,茶,,－,,－,－,0.0,0
11,果樹,,0.5,6449,0.0,0,0.5,6449
12,その他,,－,－,－,－,0.0,0
13,合計,,42.2,256733,6.6,23307,48.8,280040
