,事業区分,２５年度施工箇所,２５年度数量,２５年度工事費（千円）,２６年度施工箇所,２６年度数量,２６年度工事費（千円）,２７年度施工箇所,２７年度数量,２７年度工事費（千円）
0,復旧治山,御蔵島村（卯辰川）,航空実播工２．２ｈａ,１２，６００（繰越２６，２３２）,三宅村（三池）,法面工２，０６２ｍ２,75000.0,三宅村（三池）,法面工９９６ｍ２,60455
1,復旧治山,三宅村（三池）,法面工１，２５１ｍ２,64974,,,,,,
2,都単林地荒廃復旧,三宅村（大路）,鋼製土留工／２基／伏工１，０６６ｍ２／植栽工,24780,三宅村（金曽沢）,木製土留工／鋼製土留工／水路工／木柵工,50744.0,三宅村（金曽沢）,木製土留工／水路工／山腹緑化工,51905
3,都単林地荒廃復旧,三宅村（金曽沢）,木製土留工／７基／水路工／山腹緑化工,28585,三宅村（伊ヶ谷）,法枠工９５１ｍ２,32724.0,三宅村（がらん平）,山腹緑化工／山腹基礎工,32038
4,都単林地荒廃復旧,三宅村（伊豆）,防風柵工,4935,三宅村（大久保）,水路工,5832.0,三宅村（金曽）,水路工,305
5,都単林地荒廃復旧,,,,三宅村（角屋敷沢）,大型土のう括付,1360.0,三宅村（大久保）,伐開工,298
6,都単林地荒廃復旧,,,,三宅村（角屋敷沢）,大型土のう括付,950.0,御蔵島村（卯辰川）,鋼製谷止工（１基）,１４，０００（繰越２２，０５７）
7,都単委託（災害）,三宅村（金曽沢）,測量・設計,8540,三宅村（がらん平）,測量・設計,3996.0,三宅村（角屋敷沢）,測量・設計,3780
8,都単委託（災害）,三宅村（伊ヶ谷）,測量・設計,2625,御蔵島村（卯辰川）,測量・設計,6145.0,三宅村（ホオノキ沢）,測量・設計,4320
9,都単委託（災害）,御蔵島村（卯辰川）,測量・設計,2310,三宅村（大久保）,落石施設点検,2052.0,管内（両村）,航空写真,2538
10,都単委託（災害）,三宅村（角屋敷）,緑化試験区,698,三宅村（角屋敷）,緑化試験区,2726.0,三宅村（角屋敷）,緑化試験区,2916
11,都単委託（災害）,御蔵島村（島内）,緑化用種子３．６ｋｇ,617,三宅支庁,建設資材価格調査,489.0,三宅村（阿古）,機能強化,3229
12,都単委託（災害）,三宅支庁,建設資材価格調査,190,,,,三宅支庁,建設資材価格調査,450
