,地域,路線名（線）,既設延長（ｍ）,既設幅員（ｍ）,既設利用区域（ｈａ）,２４年度工事費（千円）,２５年度工事費（千円）,２６年度工事費（千円）,２７年度工事費（千円）,備考
0,三宅村内,雄山環状,20809.0,３．６／４．０,1042.0,32182.0,21875.0,29913.0,64192.0,一部通行止
1,三宅村内,三の宮,1900.0,4,120.0,,5520.0,6912.0,,
2,三宅村内,土佐,3180.0,３．６／４．０,202.0,,,,,
3,三宅村内,坪田,1347.0,4,41.0,,,,,
4,三宅村内,南戸,3077.0,３．６／４．０,140.0,,9448.0,18144.0,29419.0,
5,三宅村内,伊ヶ谷,2539.0,３．６／４．０,86.0,5303.0,7503.0,,9752.0,
6,三宅村内,上記６路線,,,,7512.0,19139.0,10000.0,9036.0,維持管理工事
7,三宅村内,神着,2965.0,３．６／４．０,264.0,46004.0,57015.0,45684.0,17658.0,全面通行止
8,三宅村内,阿古,2377.0,３．６／４．０,317.0,,,,,全面通行止
9,三宅村内,上山,1977.0,4,56.0,,,,16092.0,村営
10,三宅村内,清水,4528.0,4,116.0,,,5706.0,,村営
11,三宅村内,調査・設計委託,,,,14952.0,5246.0,7258.0,6858.0,
12,三宅村内,三宅村計,44699.0,,2384.0,105952.0,125746.0,123617.0,153007.0,
13,御蔵島村内,黒崎高尾,5582.0,３．０／４．０,576.0,25741.0,30755.0,52175.0,29739.0,
14,御蔵島村内,鳥の尾,1675.0,３．０／４．０,78.0,,,12707.0,3672.0,
15,御蔵島村内,上記２路線,,,,4259.0,5835.0,4764.0,5148.0,維持管理工事
16,御蔵島村内,調査・設計委託,,,,,1522.0,1944.0,,
17,御蔵島村内,御蔵島村計,7257.0,,654.0,30000.0,38112.0,71590.0,38559.0,
18,三宅支庁管内,計,51956.0,,3038.0,135952.0,163858.0,195207.0,191566.0,
