,種別１,種別２,２３,２４,２５,２６,２７
0,さば,漁獲量（ｋｇ）,688,199,117,570,3089
1,さば,金額（千円）,160,51,27,130,724
2,とびうお,漁獲量（ｋｇ）,2894,1108,1819,1557,1709
3,とびうお,金額（千円）,991,342,780,632,777
4,むろあじ,漁獲量（ｋｇ）,16540,12408,11766,27953,13207
5,むろあじ,金額（千円）,3486,2546,2685,6668,3292
6,まあじ,漁獲量（ｋｇ）,23,15,33,35,89
7,まあじ,金額（千円）,7,5,10,10,31
8,しまあじ,漁獲量（ｋｇ）,1445,1051,2291,2926,949
9,しまあじ,金額（千円）,4460,3047,8327,10453,3565
10,たかべ,漁獲量（ｋｇ）,4503,3378,2979,2815,977
11,たかべ,金額（千円）,5572,4238,4604,4179,1211
12,いさき,漁獲量（ｋｇ）,179,164,91,108,131
13,いさき,金額（千円）,172,143,71,87,132
14,かつお類,漁獲量（ｋｇ）,31964,17469,33911,6874,9625
15,かつお類,金額（千円）,21802,11794,21500,5429,6346
16,まぐろ類,漁獲量（ｋｇ）,73439,63848,31881,46216,46236
17,まぐろ類,金額（千円）,62157,50058,33314,54970,67685
18,かじき類,漁獲量（ｋｇ）,3765,3965,2961,2232,1097
19,かじき類,金額（千円）,3972,4838,2629,2074,1065
20,きんめだい,漁獲量（ｋｇ）,15934,21465,19717,61070,56096
21,きんめだい,金額（千円）,17099,25535,24052,83303,83012
22,ひめだい,漁獲量（ｋｇ）,115,139,441,408,282
23,ひめだい,金額（千円）,94,135,429,385,263
24,はまだい,漁獲量（ｋｇ）,60,250,384,109,122
25,はまだい,金額（千円）,113,478,666,209,243
26,あおだい,漁獲量（ｋｇ）,318,545,3211,3061,3878
27,あおだい,金額（千円）,365,562,3073,3028,4323
28,めだい,漁獲量（ｋｇ）,7891,30673,19789,20497,10961
29,めだい,金額（千円）,4371,16047,10929,12483,7527
30,あこうだい,漁獲量（ｋｇ）,150,34,79,24,125
31,あこうだい,金額（千円）,197,40,107,36,192
32,まだい,漁獲量（ｋｇ）,119,161,179,141,281
33,まだい,金額（千円）,98,123,142,125,238
34,ひらまさ,漁獲量（ｋｇ）,1545,2599,1756,3776,1365
35,ひらまさ,金額（千円）,1039,2062,1300,2899,909
36,かんぱち,漁獲量（ｋｇ）,6890,10355,8328,3623,3950
37,かんぱち,金額（千円）,6742,9710,5505,4223,3026
38,さわら,漁獲量（ｋｇ）,579,1468,1048,1076,432
39,さわら,金額（千円）,258,558,377,372,213
40,むつ,漁獲量（ｋｇ）,170,408,105,1151,1207
41,むつ,金額（千円）,221,627,164,1079,958
42,さめ類,漁獲量（ｋｇ）,0,0,0,0,0
43,さめ類,金額（千円）,0,0,0,0,0
44,ぶり類,漁獲量（ｋｇ）,1169,1280,291,236,392
45,ぶり類,金額（千円）,487,605,87,94,210
46,ひらめ,漁獲量（ｋｇ）,30,102,22,34,36
47,ひらめ,金額（千円）,35,101,27,35,36
48,ぼら類,漁獲量（ｋｇ）,0,0,0,0,0
49,ぼら類,金額（千円）,0,0,0,0,0
50,その他の魚類,漁獲量（ｋｇ）,11117,13824,11993,10152,7308
51,その他の魚類,金額（千円）,5304,9406,9080,7100,5816
52,魚類計,漁獲量（ｋｇ）,181527,186906,155192,196641,163545
53,魚類計,金額（千円）,139202,143053,129887,200005,191793
54,かめ,漁獲量（ｋｇ）,0,0,0,0,0
55,かめ,金額（千円）,0,0,0,0,0
56,いか類,漁獲量（ｋｇ）,2430,4515,2183,2196,2715
57,いか類,金額（千円）,3435,5442,2089,3422,4458
58,いせえび,漁獲量（ｋｇ）,2651,2702,1694,2362,1322
59,いせえび,金額（千円）,11392,11215,9940,10784,7022
60,とこぶし,漁獲量（ｋｇ）,447,618,422,307,305
61,とこぶし,金額（千円）,1570,2168,1486,1075,1128
62,その他,漁獲量（ｋｇ）,493,535,813,1144,1297
63,その他,金額（千円）,821,734,991,1288,1725
64,水生動物計,漁獲量（ｋｇ）,6021,8370,5111,6009,5639
65,水生動物計,金額（千円）,17218,19559,14506,16569,14333
66,てんぐさ,漁獲量（ｋｇ）,14798,11242,13983,15932,3134
67,てんぐさ,金額（千円）,7968,5863,6229,7630,7940
68,とさかのり,漁獲量（ｋｇ）,11012,0,8112,0,149
69,とさかのり,金額（千円）,6977,0,1022,0,328
70,※その他の藻類,漁獲量（ｋｇ）,286,435,38,59,289
71,※その他の藻類,金額（千円）,640,1044,715,1156,571
72,藻類計,漁獲量（ｋｇ）,26096,11676,22133,15991,3572
73,藻類計,金額（千円）,15585,6907,7965,8786,8839
74,合計,漁獲量（ｋｇ）,213644,206952,182436,218640,172756
75,合計,金額（千円）,172005,169519,152358,225360,214964
