,種別,三宅島漁獲量（ｋｇ）,三宅島生産額（千円）,御蔵島漁獲量（ｋｇ）,御蔵島生産額（千円）,合計漁獲量（ｋｇ）,合計生産額（千円）
0,さば,3089,724,0,0,3089,724
1,とびうお,1709,777,0,0,1709,777
2,むろあじ,13207,3292,0,0,13207,3292
3,まあじ,89,31,0,0,89,31
4,しまあじ,882,3417,67,148,949,3565
5,たかべ,977,1211,0,0,977,1211
6,いさき,128,130,3,2,131,132
7,かつお類,8998,5662,627,684,9625,6346
8,まぐろ類,44395,66218,1841,1466,46236,67685
9,かじき類,1062,1020,35,45,1097,1065
10,きんめだい,54100,81002,1996,2011,56096,83012
11,ひめだい,243,243,39,20,282,263
12,はまだい,122,243,0,0,122,243
13,あおだい,3726,4178,152,145,3878,4323
14,めだい,10610,7316,351,211,10961,7527
15,あこうだい,123,190,2,2,125,192
16,まだい,90,74,191,164,281,238
17,ひらまさ,1330,876,35,33,1365,909
18,かんぱち,3615,2710,335,315,3950,3026
19,さわら,356,175,76,38,432,213
20,むつ,1207,958,0,0,1207,958
21,さめ類,0,0,0,0,0,0
22,ぶり類,392,210,0,0,392,210
23,ひらめ,36,36,0,0,36,36
24,ぼら類,0,0,0,0,0,0
25,その他の魚類,6711,5223,597,593,7308,5816
26,計,157199,185916,6347,5876,163545,191793
27,かめ,0,0,0,0,0,0
28,いか,2534,4095,181,363,2715,4458
29,いせえび,1213,6659,109,363,1322,7022
30,とこぶし,305,1128,0,0,305,1128
31,その他,1238,1665,58,59,1297,1725
32,計,5291,13547,348,785,5639,14333
33,てんぐさ,3133,7926,2,14000,3134,7940
34,とさかのり,0,0,149,328,149,328
35,その他,289,571,0,0,289,571
36,計,3421,8497,151,342,3572,8839
37,合計,165911,207961,6846,7003,172756,214964
