,年月,御蔵島東京⇒三宅⇒御蔵入（人）,御蔵島東京⇒三宅⇒御蔵出（人）,御蔵島東京⇒三宅⇒御蔵予定（日）,御蔵島東京⇒三宅⇒御蔵実績（日）,御蔵島東京⇒三宅⇒御蔵就航率（％）,御蔵島御蔵⇒三宅⇒東京入（人）,御蔵島御蔵⇒三宅⇒東京出（人）,御蔵島御蔵⇒三宅⇒東京予定（日）,御蔵島御蔵⇒三宅⇒東京実績（日）,御蔵島御蔵⇒三宅⇒東京就航率（％）,御蔵島合計入（人）,御蔵島合計出（人）
0,4,365,14,30,23,77,44,353,30,23,77,409,367
1,5,930,42,31,28,90,42,920,31,29,94,972,962
2,6,949,76,30,28,93,26,836,30,25,83,975,912
3,7,1078,56,31,22,71,72,907,31,21,68,1150,963
4,8,1472,84,31,24,77,55,1348,31,24,77,1527,1432
5,9,1225,35,30,23,77,142,1297,30,27,90,1367,1332
6,10,758,12,31,22,71,66,574,31,22,71,824,586
7,11,269,17,30,20,67,34,293,30,22,73,303,310
8,12,92,3,31,14,45,12,95,31,16,52,104,98
9,1,20,0,31,6,19,10,51,31,12,39,30,51
10,2,73,6,29,13,45,1,66,29,13,45,74,72
11,3,193,19,31,19,61,24,154,31,21,68,217,173
12,計,7424,364,366,242,66,528,6894,366,255,70,7952,7258
13,26,7384,267,365,235,64,485,7065,365,246,67,7869,7332
14,25,6528,367,365,222,61,749,6245,365,218,60,7277,6612
15,24,7266,539,365,218,60,489,6403,365,212,58,7759,6940
16,23,6394,444,366,210,57,408,5603,366,220,60,6802,6047
17,22,8135,509,365,223,61,766,7546,365,241,66,8901,8055
18,21,8606,551,365,232,64,593,7420,365,226,62,9199,7971
19,20,8615,515,365,239,65,605,7905,365,249,68,9220,8420
