,年月,三池港定期船回数（回）,三池港定期船トン数（トン）,三池港臨時船回数（回）,三池港臨時船トン数（トン）,三池港計回数（回）,三池港計トン数（トン）,阿古漁港定期船回数（回）,阿古漁港定期船トン数（トン）,阿古漁港臨時船回数（回）,阿古漁港臨時船トン数（トン）,阿古漁港計回数（回）,阿古漁港計トン数（トン）,伊ヶ谷漁港定期船回数（回）,伊ヶ谷漁港定期船トン数（トン）,伊ヶ谷漁港臨時船回数（回）,伊ヶ谷漁港臨時船トン数（トン）,伊ヶ谷漁港計回数（回）,伊ヶ谷漁港計トン数（トン）,御蔵島港定期船回数（回）,御蔵島港定期船トン数（トン）,御蔵島港臨時船回数（回）,御蔵島港臨時船トン数（トン）,御蔵島港計回数（回）,御蔵島港計トン数（トン）
0,4,11,62491,12,5667,23,68158,39,221559,13,4967,52,226526,7,39767,8,3634,15,43401,46,261326,8,3154,54,264480
1,5,15,82459,13,12213,28,94672,36,201760,12,5150,48,206910,9,51129,5,2320,14,53449,57,318994,5,2076,62,321070
2,6,13,71097,8,9854,21,80951,40,208637,12,5189,52,213826,6,32708,6,2736,12,35444,53,279734,7,2996,60,282730
3,7,33,187473,15,6873,48,194326,4,22724,5,1287,9,24011,18,102258,4,1850,22,104108,43,244283,8,3193,51,247476
4,8,30,170430,7,3325,37,173755,9,51129,8,2141,17,52270,21,119301,8,3656,29,122957,48,272688,6,1971,54,274659
5,9,9,51129,3,1358,12,52487,36,204516,12,4809,48,209325,13,73853,12,5570,25,79423,50,284050,5,2037,55,286087
6,10,14,79534,6,2863,20,82397,29,161993,13,5223,42,167216,14,78156,10,4608,24,82764,44,247208,7,2694,51,249902
7,11,15,78325,7,3323,22,81648,36,191425,19,7396,55,198821,6,31330,12,5516,18,36846,42,223444,10,3850,52,227294
8,12,21,113789,11,5172,32,118961,23,123773,7,2694,30,126467,14,79534,10,4424,24,83958,30,162162,6,2497,36,164659
9,1,35,197457,13,5948,48,203405,10,56121,4,1353,14,57474,9,50440,5,2212,14,52652,18,99502,5,2037,23,101539
10,2,25,142025,12,5838,37,147863,12,68172,13,4821,25,72993,14,79534,11,4906,25,84440,26,147706,8,2930,34,150636
11,3,11,62491,11,5160,22,67651,24,136344,16,6228,40,142572,21,119301,20,9003,41,128304,40,227240,20,8773,60,236013
12,合計,232,1298700,118,67594,350,1366294,298,1648153,134,51258,432,1699411,152,857311,111,50435,263,907746,497,2768337,95,38208,592,2806545
13,26,297,1590577,137,74198,434,1664775,294,1562510,145,67462,439,1629972,78,430230,89,41828,167,472058,481,2549576,89,51418,570,2600994
14,25,278,1226076,123,54025,401,1280101,273,1246161,156,55941,429,1302102,114,543678,86,37290,200,580968,440,1964325,84,28692,524,1993017
15,24,265,1139301,126,55361,391,1194662,291,1299057,150,51885,441,1350942,104,482991,97,42004,201,524995,431,1885902,87,29646,518,1915548
16,23,290,1311006,136,63269,426,1374275,256,1164762,148,50143,404,1214905,105,474495,107,52925,212,527420,429,1909413,91,32393,520,1941806
17,22,288,1281873,139,59974,427,1341847,296,1352092,147,48971,443,1401063,81,390222,108,47413,189,437635,467,2085819,96,31567,563,2117386
18,21,259,1168623,139,59765,274,813195,342,1540120,175,66041,517,1606161,60,287748,82,34568,142,322316,469,2088321,94,32267,563,2120588
19,20,192,868680,122,54197,314,922877,412,1834644,206,68927,618,1903571,44,210564,93,40961,135,251532,488,2166864,93,31209,581,2198073
20,19,325,1465857,193,81983,518,1547840,343,1594707,258,97511,601,1692218,9,42429,15,6085,24,48514,504,2267736,80,26777,584,2294513
