,年月,予定便数（機）,就航数（機）,欠航数強風着（機）,欠航数強風発（機）,欠航数視界着（機）,欠航数視界発（機）,欠航数ガス着（機）,欠航数ガス発（機）,欠航数その他着（機）,欠航数その他発（機）,就航率（％）,東京→三宅島降客数（人）,東京→三宅島提供座席数（席）,東京→三宅島利用率（％）,三宅島→東京乗客数（人）,三宅島→東京提供座席数（席）,三宅島→東京利用率（％）,合計乗降客数（人）,合計提供座席数（席）,合計利用率（％）,貨物取扱量卸（ｋｇ）,貨物取扱量積（ｋｇ）,郵便取扱量卸（ｋｇ）,郵便取扱量積（ｋｇ）
0,4,91,81.0,0,0,6,6,1,1,3,2,89.01,496,1539,32.23,987,1577,62.59,1483,3116,47.59,3.0,357.0,-,-
1,5,98,91.0,0,0,5,5,0,0,2,2,92.86,684,1729,39.56,1251,1729,72.35,1935,3458,55.96,20.0,753.0,-,-
2,6,88,76.0,0,0,10,10,1,1,1,1,86.36,596,1444,41.27,1073,1444,74.31,1669,2888,57.79,17.0,1344.0,-,-
3,7,98,83.0,0,0,9,9,3,3,3,3,84.69,768,1577,48.7,1228,1577,77.87,1996,3154,63.28,13.0,624.0,-,-
4,8,109,107.0,0,0,0,0,0,0,2,2,98.17,883,2033,43.43,1462,2033,71.91,2345,4066,57.67,85.0,92.0,-,-
5,9,89,81.0,1,1,7,7,0,0,0,0,91.01,636,1539,41.33,1178,1539,76.54,1814,3078,58.93,55.0,1012.0,-,-
6,10,93,92.0,0,0,0,0,0,0,1,0,98.92,701,1748,40.1,1318,1767,74.59,2019,3515,57.44,39.0,1591.0,-,-
7,11,89,79.0,1,1,5,5,0,0,4,3,88.76,621,1501,41.37,1202,1520,79.08,1823,3021,60.34,24.0,1088.0,-,-
8,12,92,86.0,2,2,0,0,0,0,5,4,93.48,663,1615,41.05,1295,1634,79.25,1958,3249,60.26,66.0,670.0,-,-
9,1,92,87.0,1,1,4,4,0,0,0,0,94.57,641,1653,38.78,1194,1653,72.23,1835,3306,55.51,71.0,64.0,-,-
10,2,86,84.0,0,0,2,2,0,0,0,0,97.67,708,1596,44.36,1217,1596,76.25,1925,3192,60.31,53.0,58.0,-,-
11,3,91,86.0,0,0,5,5,0,0,0,0,94.51,782,1634,47.86,1347,1634,82.44,2129,3268,65.15,109.0,0.0,-,-
12,年度計,1116,1033.0,5,5,53,53,5,5,21,17,92.56,8179,19608,41.71,14752,19703,74.87,22931,39311,58.33,555.0,7653.0,-,-
13,26,1099,994.5,4,4,20,20,23,23,59,56,90.49,7163,18867,37.97,13465,18924,71.15,20628,37791,54.58,,,,
14,25,351,134.0,33,33,16,16,153,153,15,15,38.18,909,7504,12.11,4592,7504,61.19,5501,15008,36.65,,,,
15,24,345,132.5,13,13,12,12,181,182,269,26,38.41,1026,7448,13.78,5070,7392,68.59,6096,14840,41.08,,,,
16,23,354,120.0,6,6,12,12,212,212,4,4,33.9,984,6720,14.6,44536,6720,66.2,5435,12440,40.4,,,,
17,22,365,117.0,3,3,11,11,231,231,3,3,32.05,892,6552,13.61,4786,6552,73.04,5678,13104,43.3,,,,
