,区分１,区分２,総数（人）,１月（人）,２月（人）,３月（人）,４月（人）,５月（人）,６月（人）,７月（人）,８月（人）,９月（人）,１０月（人）,１１月（人）,１２月（人）
0,出生,三宅村,11,0,0,0,2,1,2,0,2,1,1,0,2
1,出生,御蔵島村,1,0,0,0,0,0,0,1,0,0,0,0,0
2,出生,計,12,0,0,0,2,1,2,1,2,1,1,0,2
3,婚姻,三宅村,12,0,1,4,0,1,1,0,2,1,0,0,2
4,婚姻,御蔵島村,7,1,1,0,0,0,1,1,0,0,1,1,1
5,婚姻,計,19,1,2,4,0,1,2,1,2,1,1,1,3
6,離婚,三宅村,5,1,0,1,1,0,0,0,0,0,0,0,2
7,離婚,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
8,離婚,計,5,1,0,1,1,0,0,0,0,0,0,0,2
9,死亡,三宅村,34,5,2,5,0,5,1,3,1,2,3,4,3
10,死亡,御蔵島村,1,0,0,0,0,0,0,0,0,0,0,1,0
11,死亡,計,35,5,2,5,0,5,1,3,1,2,3,5,3
12,死産,三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0
13,死産,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
14,死産,計,0,0,0,0,0,0,0,0,0,0,0,0,0
15,合計,,71,7,4,10,3,7,5,5,5,4,5,6,10
