,区分,調査数,電話で通報,交番に行く・連絡する,学校・勤務先へ連絡・相談する,家族へ連絡・相談する,友人・知人へ連絡・相談する,日本の知人に連絡・相談する,その他,わからない,Unnamed: 10
0,窃盗,1127.0,670.0,789.0,204.0,226.0,191.0,183.0,15.0,14.0,
1,窃盗(%),100.0,59.4,70.0,18.1,20.1,16.9,16.2,1.3,1.2,
2,傷害,1127.0,619.0,533.0,255.0,284.0,215.0,188.0,44.0,13.0,
3,傷害(%),100.0,54.9,47.3,22.6,25.2,19.1,16.7,3.9,1.2,
4,殺人,1127.0,745.0,661.0,185.0,235.0,164.0,152.0,14.0,27.0,
5,殺人(%),100.0,66.1,58.7,16.4,20.9,14.6,13.5,1.2,2.4,
6,交通犯罪（加害：自ら運転中等）,1127.0,728.0,532.0,192.0,228.0,172.0,181.0,18.0,21.0,
7,交通犯罪（加害：自ら運転中等）(%),100.0,64.6,47.2,17.0,20.2,15.3,16.1,1.6,1.9,
8,交通犯罪（被害：交通事故に遭う）,1127.0,730.0,552.0,209.0,246.0,185.0,185.0,17.0,18.0,
9,交通犯罪（被害：交通事故に遭う）(%),100.0,64.8,49.0,18.5,21.8,16.4,16.4,1.5,1.6,
10,サイバー犯罪,1127.0,619.0,526.0,201.0,224.0,212.0,164.0,24.0,54.0,
11,サイバー犯罪(%),100.0,54.9,46.7,17.8,19.9,18.8,14.6,2.1,4.8,
12,テロ,1127.0,731.0,572.0,203.0,235.0,193.0,166.0,23.0,56.0,
13,テロ(%),100.0,64.9,50.8,18.0,20.9,17.1,14.7,2.0,5.0,
