,区分,調査数,非常に安心,安心,不安,非常に不安
0,火災,1127.0,235.0,510.0,349.0,33.0
1,火災(%),100.0,20.9,45.3,31.0,2.9
2,地震,1127.0,60.0,185.0,585.0,297.0
3,地震(%),100.0,5.3,16.4,51.9,26.4
4,津波,1127.0,83.0,276.0,579.0,189.0
5,津波(%),100.0,7.4,24.5,51.4,16.8
6,台風,1127.0,135.0,432.0,489.0,71.0
7,台風(%),100.0,12.0,38.3,43.4,6.3
8,集中豪雨,1127.0,186.0,545.0,353.0,43.0
9,集中豪雨(%),100.0,16.5,48.4,31.3,3.8
10,落雷,1127.0,235.0,581.0,271.0,40.0
11,落雷(%),100.0,20.9,51.6,24.0,3.5
12,竜巻,1127.0,246.0,499.0,335.0,47.0
13,竜巻(%),100.0,21.8,44.3,29.7,4.2
14,猛暑・熱中症,1127.0,177.0,441.0,436.0,73.0
15,猛暑・熱中症(%),100.0,15.7,39.1,38.7,6.5
16,大雪,1127.0,235.0,486.0,357.0,49.0
17,大雪(%),100.0,20.9,43.1,31.7,4.3
18,その他,1127.0,786.0,209.0,102.0,30.0
19,その他(%),100.0,69.7,18.5,9.1,2.7
