,区分,調査数,電話で通報,避難所等へ避難する,家族へ連絡する,友人・知人へ連絡する,日本の知人に連絡する,日本のWebサイトを確認する,日本のWebサイトを確認する.1,近くにいる日本人に頼む,何もしない,無回答
0,火災,1127.0,767.0,646.0,369.0,291.0,235.0,55.0,148.0,199.0,7.0,1
1,火災(%),100.0,68.1,57.3,32.7,25.8,20.9,4.9,13.1,17.7,0.6,0.1
2,地震,1127.0,229.0,883.0,459.0,357.0,267.0,142.0,293.0,211.0,12.0,-
3,地震(%),100.0,20.3,78.3,40.7,31.7,23.7,12.6,26.0,18.7,1.1,-
4,津波,1127.0,223.0,876.0,441.0,358.0,267.0,127.0,266.0,203.0,22.0,-
5,津波(%),100.0,19.8,77.7,39.1,31.8,23.7,11.3,23.6,18.0,2.0,-
6,台風,1127.0,185.0,696.0,359.0,280.0,194.0,85.0,236.0,133.0,79.0,-
7,台風(%),100.0,16.4,61.8,31.9,24.8,17.2,7.5,20.9,11.8,7.0,-
8,集中豪雨,1127.0,172.0,590.0,296.0,214.0,148.0,54.0,196.0,129.0,157.0,-
9,集中豪雨(%),100.0,15.3,52.4,26.3,19.0,13.1,4.8,17.4,11.4,13.9,-
10,落雷,1127.0,184.0,513.0,246.0,179.0,125.0,45.0,146.0,102.0,234.0,-
11,落雷(%),100.0,16.3,45.5,21.8,15.9,11.1,4.0,13.0,9.1,20.8,-
12,竜巻,1127.0,198.0,662.0,329.0,233.0,173.0,65.0,195.0,140.0,123.0,-
13,竜巻(%),100.0,17.6,58.7,29.2,20.7,15.4,5.8,17.3,12.4,10.9,-
14,猛暑・熱中症,1127.0,244.0,442.0,330.0,266.0,169.0,47.0,149.0,155.0,136.0,-
15,猛暑・熱中症(%),100.0,21.7,39.2,29.3,23.6,15.0,4.2,13.2,13.8,12.1,-
16,大雪,1127.0,198.0,521.0,296.0,242.0,161.0,50.0,196.0,136.0,173.0,-
17,大雪(%),100.0,17.6,46.2,26.3,21.5,14.3,4.4,17.4,12.1,15.4,-
18,その他,1127.0,158.0,162.0,181.0,116.0,84.0,43.0,84.0,71.0,703.0,-
19,その他(%),100.0,14.0,14.4,16.1,10.3,7.5,3.8,7.5,6.3,62.4,-
