,区分,調査数,家具転倒防止など、家の中の防災対策,飲料水・非常食等を備蓄,自宅近くの避難所・ルートの把握,安否情報の確認方法を決めている,地域住民とのコミュニケーションを日常的に行っている,防災訓練へ参加している,消火器・消火道具の準備をしている,救急相談案内へ連絡する,防災対策・対処はしていない,無回答
0,火災,1127.0,193.0,213.0,493.0,255.0,126.0,290.0,449.0,247.0,109.0,10.0
1,火災(%),100.0,17.1,18.9,43.7,22.6,11.2,25.7,39.8,21.9,9.7,0.9
2,地震,1127.0,508.0,567.0,768.0,324.0,175.0,360.0,128.0,194.0,51.0,3.0
3,地震(%),100.0,45.1,50.3,68.1,28.7,15.5,31.9,11.4,17.2,4.5,0.3
4,津波,1127.0,182.0,375.0,734.0,285.0,151.0,260.0,58.0,189.0,144.0,9.0
5,津波(%),100.0,16.1,33.3,65.1,25.3,13.4,23.1,5.1,16.8,12.8,0.8
6,台風,1127.0,175.0,386.0,588.0,257.0,111.0,175.0,52.0,151.0,207.0,4.0
7,台風(%),100.0,15.5,34.3,52.2,22.8,9.8,15.5,4.6,13.4,18.4,0.4
8,集中豪雨,1127.0,142.0,309.0,482.0,231.0,111.0,140.0,40.0,125.0,275.0,11.0
9,集中豪雨(%),100.0,12.6,27.4,42.8,20.5,9.8,12.4,3.5,11.1,24.4,1.0
10,落雷,1127.0,122.0,192.0,408.0,217.0,99.0,122.0,75.0,122.0,341.0,11.0
11,落雷(%),100.0,10.8,17.0,36.2,19.3,8.8,10.8,6.7,10.8,30.3,1.0
12,竜巻,1127.0,152.0,258.0,517.0,249.0,110.0,147.0,49.0,156.0,273.0,13.0
13,竜巻(%),100.0,13.5,22.9,45.9,22.1,9.8,13.0,4.3,13.8,24.2,1.2
14,猛暑・熱中症,1127.0,120.0,290.0,354.0,226.0,127.0,111.0,53.0,184.0,270.0,8.0
15,猛暑・熱中症(%),100.0,10.6,25.7,31.4,20.1,11.3,9.8,4.7,16.3,24.0,0.7
16,大雪,1127.0,122.0,328.0,445.0,246.0,124.0,131.0,41.0,154.0,284.0,7.0
17,大雪(%),100.0,10.8,29.1,39.5,21.8,11.0,11.6,3.6,13.7,25.2,0.6
18,テロ,1127.0,112.0,191.0,432.0,253.0,151.0,125.0,43.0,258.0,267.0,4.0
19,テロ(%),100.0,9.9,16.9,38.3,22.4,13.4,11.1,3.8,22.9,23.7,0.4
20,その他,1127.0,65.0,82.0,98.0,102.0,45.0,40.0,16.0,75.0,780.0,72.0
21,その他(%),100.0,5.8,7.3,8.7,9.1,4.0,3.5,1.4,6.7,69.2,6.4
