,区分,ｎ(団体数),問３大学生など若い世代が防犯ボランティア活動に参加することについて／団体の将来性や人手不足から、参加してもらいたいと思う(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／一緒に活動することで、活動の幅が広がると思う(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／組織が活性化すると思う(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／多様な世代と交流ができ、コミュニケーションを図ることができると思う(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／若い世代の能力や特性を活動に活かすことができると思う(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／必要だと感じているが、具体的な活動方法が分からない(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／参加してもらうきっかけを見つけることが難しいと思う(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／世代が違うため、コミュニケーションが難しいと思う(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／価値観の違いや意見の相違から、一緒に活動することを不安に思う(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／参加は期待していない(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／その他(%),問３大学生など若い世代が防犯ボランティア活動に参加することについて／無回答(%)
0,全体,1034,56.0,54.3,47.7,51.1,38.7,22.1,25.9,9.4,5.2,8.9,7.7,7.0
1,区市町村／千代田区,13,30.8,53.8,46.2,30.8,30.8,0.0,7.7,0.0,0.0,0.0,7.7,30.8
2,区市町村／中央区,6,0.0,50.0,33.3,50.0,16.7,33.3,33.3,16.7,16.7,0.0,0.0,0.0
3,区市町村／港区,13,76.9,61.5,61.5,53.8,53.8,15.4,23.1,7.7,7.7,15.4,7.7,15.4
4,区市町村／新宿区,17,41.2,35.3,47.1,58.8,41.2,17.6,17.6,11.8,0.0,11.8,11.8,0.0
5,区市町村／文京区,25,52.0,40.0,32.0,48.0,28.0,28.0,20.0,8.0,8.0,24.0,12.0,4.0
6,区市町村／台東区,16,56.3,50.0,50.0,43.8,31.3,25.0,25.0,6.3,12.5,6.3,18.8,0.0
7,区市町村／墨田区,37,67.6,48.6,48.6,54.1,43.2,27.0,27.0,21.6,2.7,5.4,2.7,0.0
8,区市町村／江東区,49,73.5,65.3,59.2,67.3,51.0,24.5,24.5,6.1,2.0,4.1,6.1,8.2
9,区市町村／品川区,27,70.4,59.3,63.0,66.7,51.9,33.3,29.6,18.5,14.8,3.7,7.4,7.4
10,区市町村／目黒区,7,57.1,57.1,57.1,57.1,71.4,14.3,28.6,14.3,0.0,14.3,0.0,0.0
11,区市町村／大田区,53,60.4,58.5,50.9,62.3,43.4,22.6,34.0,5.7,7.5,9.4,7.5,5.7
12,区市町村／世田谷区,44,70.5,68.2,59.1,68.2,56.8,25.0,31.8,2.3,2.3,0.0,6.8,4.5
13,区市町村／渋谷区,24,58.3,62.5,50.0,58.3,50.0,29.2,25.0,12.5,8.3,8.3,12.5,12.5
14,区市町村／中野区,32,62.5,53.1,68.8,43.8,50.0,18.8,25.0,3.1,3.1,9.4,6.3,3.1
15,区市町村／杉並区,75,56.0,48.0,44.0,48.0,29.3,28.0,26.7,5.3,2.7,9.3,8.0,6.7
16,区市町村／豊島区,12,50.0,75.0,41.7,50.0,41.7,25.0,8.3,0.0,8.3,8.3,8.3,8.3
17,区市町村／北区,10,70.0,50.0,50.0,70.0,50.0,30.0,30.0,30.0,10.0,0.0,40.0,10.0
18,区市町村／荒川区,26,53.8,65.4,50.0,46.2,26.9,19.2,30.8,23.1,7.7,11.5,7.7,3.8
19,区市町村／板橋区,46,67.4,47.8,56.5,54.3,41.3,28.3,28.3,4.3,2.2,6.5,2.2,8.7
20,区市町村／練馬区,22,45.5,45.5,54.5,45.5,40.9,18.2,18.2,9.1,4.5,0.0,4.5,18.2
21,区市町村／足立区,65,61.5,44.6,44.6,38.5,35.4,21.5,23.1,10.8,9.2,9.2,6.2,12.3
22,区市町村／葛飾区,17,64.7,41.2,41.2,29.4,29.4,23.5,17.6,23.5,17.6,5.9,11.8,5.9
23,区市町村／江戸川区,18,66.7,61.1,50.0,61.1,50.0,27.8,27.8,16.7,5.6,11.1,5.6,0.0
24,区市町村／八王子市,46,58.7,60.9,43.5,45.7,41.3,19.6,10.9,6.5,4.3,10.9,13.0,4.3
25,区市町村／立川市,17,52.9,58.8,52.9,64.7,47.1,17.6,29.4,11.8,0.0,23.5,11.8,5.9
26,区市町村／武蔵野市,12,50.0,50.0,50.0,58.3,25.0,16.7,33.3,0.0,0.0,8.3,0.0,0.0
27,区市町村／三鷹市,5,40.0,40.0,40.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
28,区市町村／青梅市,17,23.5,58.8,17.6,41.2,29.4,5.9,29.4,5.9,0.0,11.8,0.0,11.8
29,区市町村／府中市,21,61.9,47.6,52.4,57.1,33.3,14.3,38.1,14.3,4.8,4.8,9.5,14.3
30,区市町村／昭島市,17,52.9,76.5,52.9,41.2,47.1,17.6,29.4,5.9,5.9,5.9,0.0,0.0
31,区市町村／調布市,19,26.3,31.6,26.3,31.6,10.5,10.5,0.0,5.3,5.3,10.5,10.5,21.1
32,区市町村／町田市,60,60.0,51.7,48.3,51.7,33.3,33.3,30.0,8.3,3.3,10.0,5.0,5.0
33,区市町村／小金井市,10,10.0,50.0,0.0,40.0,10.0,20.0,10.0,0.0,0.0,10.0,30.0,10.0
34,区市町村／小平市,4,50.0,50.0,25.0,25.0,25.0,25.0,0.0,25.0,0.0,50.0,0.0,0.0
35,区市町村／日野市,3,0.0,66.7,66.7,66.7,66.7,0.0,0.0,33.3,33.3,0.0,0.0,0.0
36,区市町村／東村山市,24,58.3,62.5,45.8,50.0,37.5,20.8,25.0,20.8,0.0,8.3,8.3,0.0
37,区市町村／国分寺市,5,60.0,80.0,60.0,80.0,60.0,40.0,40.0,0.0,20.0,20.0,0.0,20.0
38,区市町村／国立市,2,100.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,区市町村／福生市,11,63.6,45.5,63.6,72.7,54.5,9.1,54.5,18.2,9.1,9.1,0.0,0.0
40,区市町村／狛江市,2,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0
41,区市町村／東大和市,15,46.7,66.7,53.3,46.7,40.0,13.3,40.0,20.0,13.3,6.7,6.7,20.0
42,区市町村／清瀬市,10,60.0,70.0,40.0,50.0,50.0,0.0,40.0,10.0,10.0,0.0,0.0,0.0
43,区市町村／東久留米市,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
44,区市町村／武蔵村山市,10,40.0,40.0,0.0,50.0,0.0,10.0,10.0,20.0,0.0,10.0,0.0,20.0
45,区市町村／多摩市,6,16.7,50.0,50.0,33.3,33.3,33.3,16.7,16.7,16.7,33.3,16.7,0.0
46,区市町村／稲城市,13,53.8,61.5,23.1,38.5,23.1,15.4,38.5,0.0,0.0,15.4,7.7,7.7
47,区市町村／羽村市,3,66.7,33.3,33.3,100.0,66.7,0.0,66.7,0.0,0.0,0.0,0.0,0.0
48,区市町村／あきる野市,21,19.0,52.4,47.6,38.1,28.6,19.0,33.3,4.8,0.0,19.0,14.3,4.8
49,区市町村／西東京市,4,75.0,75.0,50.0,50.0,25.0,25.0,75.0,0.0,25.0,0.0,0.0,0.0
50,区市町村／瑞穂町,5,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0
51,区市町村／日の出町,16,37.5,56.3,37.5,25.0,25.0,6.3,31.3,0.0,0.0,6.3,6.3,0.0
52,区市町村／檜原村,1,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
