,区分,ｎ(団体数),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／大学生など若い世代をメンバーに入れて活動したい(%),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／大学生など若い世代のボランティア研修の場として受け入れたい(%),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／地域安全運動や年末パトロールなど特定の時期に連携したい(%),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／活動地域の大学と組織的に連携したい(%),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／活動地域に住んでいる大学生など若い世代のボランティアと定期的に連携した(%),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／大学生など若い世代のボランティア活動の情報を提供してほしい(%),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／必要性は感じているが、具体的な取組方法が分からない(%),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／大学生など若い世代のボランティアとの連携活動は必要としない(%),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／その他(%),問５大学生など若い世代のボランティアと連携する具体的な活動についての今後の期待／無回答(%)
0,全体,1034,28.0,13.6,36.6,10.3,18.3,15.4,31.7,7.2,7.6,15.8
1,区市町村／千代田区,13,15.4,15.4,23.1,15.4,7.7,7.7,23.1,0.0,0.0,38.5
2,区市町村／中央区,6,16.7,16.7,16.7,0.0,16.7,0.0,33.3,16.7,16.7,0.0
3,区市町村／港区,13,30.8,30.8,46.2,15.4,30.8,15.4,23.1,0.0,15.4,30.8
4,区市町村／新宿区,17,23.5,11.8,29.4,11.8,17.6,11.8,35.3,11.8,17.6,5.9
5,区市町村／文京区,25,32.0,12.0,36.0,12.0,24.0,12.0,32.0,16.0,0.0,16.0
6,区市町村／台東区,16,18.8,12.5,37.5,6.3,25.0,12.5,18.8,12.5,0.0,31.3
7,区市町村／墨田区,37,32.4,18.9,43.2,10.8,18.9,10.8,40.5,10.8,8.1,5.4
8,区市町村／江東区,49,44.9,14.3,44.9,14.3,30.6,28.6,18.4,2.0,12.2,12.2
9,区市町村／品川区,27,40.7,7.4,51.9,3.7,29.6,25.9,55.6,0.0,7.4,11.1
10,区市町村／目黒区,7,42.9,0.0,57.1,14.3,0.0,0.0,28.6,0.0,0.0,0.0
11,区市町村／大田区,53,39.6,5.7,43.4,1.9,11.3,20.8,22.6,9.4,7.5,15.1
12,区市町村／世田谷区,44,47.7,25.0,40.9,18.2,29.5,22.7,38.6,2.3,6.8,4.5
13,区市町村／渋谷区,24,41.7,33.3,45.8,29.2,33.3,25.0,25.0,4.2,8.3,16.7
14,区市町村／中野区,32,25.0,3.1,25.0,3.1,18.8,6.3,31.3,6.3,15.6,18.8
15,区市町村／杉並区,75,25.3,12.0,28.0,4.0,12.0,13.3,36.0,6.7,9.3,21.3
16,区市町村／豊島区,12,33.3,25.0,33.3,33.3,25.0,16.7,25.0,0.0,8.3,25.0
17,区市町村／北区,10,40.0,30.0,50.0,20.0,40.0,20.0,60.0,0.0,10.0,20.0
18,区市町村／荒川区,26,11.5,15.4,46.2,11.5,7.7,3.8,30.8,3.8,0.0,23.1
19,区市町村／板橋区,46,30.4,13.0,47.8,15.2,17.4,15.2,34.8,4.3,2.2,19.6
20,区市町村／練馬区,22,27.3,9.1,18.2,0.0,9.1,18.2,36.4,4.5,4.5,36.4
21,区市町村／足立区,65,18.5,4.6,33.8,4.6,9.2,15.4,35.4,9.2,6.2,21.5
22,区市町村／葛飾区,17,35.3,5.9,52.9,5.9,17.6,17.6,23.5,5.9,11.8,5.9
23,区市町村／江戸川区,18,44.4,38.9,44.4,11.1,27.8,27.8,27.8,0.0,5.6,11.1
24,区市町村／八王子市,46,19.6,21.7,41.3,8.7,17.4,15.2,30.4,6.5,10.9,6.5
25,区市町村／立川市,17,17.6,11.8,17.6,5.9,29.4,5.9,29.4,5.9,11.8,29.4
26,区市町村／武蔵野市,12,8.3,8.3,58.3,8.3,0.0,8.3,33.3,8.3,8.3,8.3
27,区市町村／三鷹市,5,40.0,20.0,40.0,0.0,20.0,0.0,40.0,40.0,0.0,0.0
28,区市町村／青梅市,17,11.8,11.8,29.4,11.8,11.8,11.8,17.6,5.9,5.9,23.5
29,区市町村／府中市,21,28.6,14.3,42.9,9.5,14.3,14.3,38.1,4.8,0.0,14.3
30,区市町村／昭島市,17,29.4,11.8,35.3,5.9,29.4,17.6,41.2,11.8,11.8,5.9
31,区市町村／調布市,19,5.3,15.8,21.1,5.3,10.5,0.0,5.3,21.1,15.8,26.3
32,区市町村／町田市,60,20.0,16.7,38.3,21.7,20.0,20.0,28.3,5.0,5.0,15.0
33,区市町村／小金井市,10,20.0,10.0,30.0,10.0,20.0,0.0,10.0,10.0,0.0,10.0
34,区市町村／小平市,4,0.0,25.0,0.0,25.0,25.0,0.0,25.0,25.0,25.0,0.0
35,区市町村／日野市,3,0.0,0.0,33.3,66.7,66.7,66.7,33.3,0.0,0.0,0.0
36,区市町村／東村山市,24,45.8,4.2,33.3,0.0,16.7,16.7,25.0,8.3,12.5,4.2
37,区市町村／国分寺市,5,40.0,40.0,20.0,20.0,0.0,20.0,20.0,0.0,40.0,60.0
38,区市町村／国立市,2,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0
39,区市町村／福生市,11,72.7,18.2,45.5,0.0,27.3,36.4,36.4,9.1,0.0,0.0
40,区市町村／狛江市,2,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
41,区市町村／東大和市,15,20.0,13.3,26.7,0.0,13.3,6.7,33.3,13.3,13.3,20.0
42,区市町村／清瀬市,10,40.0,20.0,50.0,20.0,20.0,50.0,30.0,0.0,0.0,20.0
43,区市町村／東久留米市,1,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
44,区市町村／武蔵村山市,10,20.0,0.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,30.0
45,区市町村／多摩市,6,0.0,0.0,33.3,0.0,33.3,16.7,33.3,33.3,0.0,0.0
46,区市町村／稲城市,13,7.7,15.4,23.1,23.1,7.7,7.7,38.5,0.0,15.4,7.7
47,区市町村／羽村市,3,33.3,0.0,33.3,0.0,33.3,33.3,33.3,0.0,0.0,33.3
48,区市町村／あきる野市,21,9.5,0.0,14.3,4.8,14.3,0.0,42.9,9.5,4.8,19.0
49,区市町村／西東京市,4,75.0,25.0,50.0,50.0,50.0,25.0,75.0,0.0,0.0,0.0
50,区市町村／瑞穂町,5,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,20.0,0.0
51,区市町村／日の出町,16,18.8,12.5,31.3,12.5,0.0,0.0,37.5,18.8,0.0,6.3
52,区市町村／檜原村,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
