,時点,分団数,団員数総数,団員数団本部,団員数分団,消防機械総数,消防機械指揮車,消防機械消防ポンプ自動車,消防機械可搬式消防ポンプ,消防機械照明電源車,消防機械作業車,消防機械活動車,四輪,三輪,手引,広報車
0,1954/12/31,26,…,…,…,26,…,…,…,…,…,…,0,1,25,…
1,1955/12/31,27,…,…,…,27,…,…,…,…,…,…,0,1,26,…
2,1956/12/31,27,…,…,…,27,…,…,…,…,…,…,0,1,26,…
3,1957/12/31,27,…,…,…,27,…,…,…,…,…,…,0,2,25,…
4,1958/12/31,27,…,…,…,27,…,…,…,…,…,…,0,2,25,…
5,1959/12/31,27,642,…,642,27,…,…,…,…,…,…,1,3,23,…
6,1960/12/31,27,618,…,618,27,…,…,…,…,…,…,1,4,22,…
7,1961/12/31,27,519,…,519,27,…,…,…,…,…,…,1,4,22,…
8,1962/12/31,27,518,…,518,27,…,…,…,…,…,…,1,4,22,…
9,1963/12/31,27,516,…,516,27,…,…,…,…,…,…,1,4,22,…
10,1964/12/31,27,505,…,505,27,…,…,…,…,…,…,1,4,22,…
11,1965/12/31,27,494,…,494,18,…,…,…,…,…,…,4,4,10,…
12,1966/12/31,17,429,…,429,17,…,…,…,…,…,…,9,3,5,…
13,1967/12/31,17,405,…,405,17,…,…,…,…,…,…,14,3,0,…
14,1968/12/31,17,400,…,400,17,…,…,…,…,…,…,17,0,0,…
15,1969/12/31,17,401,…,401,17,…,…,…,…,…,…,17,0,0,…
16,1970/12/31,17,397,…,397,17,…,…,…,…,…,…,17,0,0,…
17,1971/12/31,17,409,…,409,18,1,…,…,…,…,…,17,0,0,…
18,1972/12/31,17,402,…,402,18,1,…,…,…,…,…,17,0,0,…
19,1973/12/31,17,399,…,399,18,1,…,…,…,…,…,17,0,0,…
20,1974/12/31,17,399,…,399,18,1,…,…,…,…,…,17,0,0,…
21,1975/12/31,17,398,…,398,18,1,…,…,…,…,…,17,0,0,…
22,1976/12/31,17,407,…,407,18,1,…,…,…,…,…,17,…,…,…
23,1977/12/31,17,402,…,402,18,…,17,…,…,…,…,…,…,…,1
24,1978/12/31,17,402,…,402,18,…,17,…,…,…,…,…,…,…,1
25,1979/12/31,17,402,…,402,18,…,17,…,…,…,…,…,…,…,1
26,1980/12/31,17,402,…,402,17,…,17,…,…,…,…,…,…,…,…
27,1981/12/31,17,398,…,398,17,…,17,…,…,…,…,…,…,…,…
28,1982/12/31,17,405,…,405,18,1,17,…,…,…,…,…,…,…,…
29,1983/12/31,17,401,…,401,18,1,17,…,…,…,…,…,…,…,…
30,1984/12/31,17,397,…,397,18,1,17,…,…,…,…,…,…,…,…
31,1985/12/31,17,400,…,400,18,1,17,…,…,…,…,…,…,…,…
32,1986/12/31,18,416,…,416,19,1,18,…,…,…,…,…,…,…,…
33,1987/12/31,18,420,…,420,19,1,18,…,…,…,…,…,…,…,…
34,1988/12/31,18,409,…,409,18,1,17,…,…,…,…,…,…,…,…
35,1989/12/31,18,407,…,407,18,1,17,…,…,…,…,…,…,…,…
36,1990/12/31,18,409,…,409,18,1,17,…,…,…,…,…,…,…,…
37,1991/12/31,18,412,7,405,37,1,18,18,…,…,…,…,…,…,…
38,1992/12/31,18,407,7,400,37,1,18,18,…,…,…,…,…,…,…
39,1993/12/31,18,408,7,401,37,1,18,18,…,…,…,…,…,…,…
40,1994/12/31,18,407,7,400,38,1,18,18,1,…,…,…,…,…,…
41,1995/12/31,18,420,7,413,39,1,18,18,2,…,…,…,…,…,…
42,1996/12/31,18,420,7,413,39,1,18,18,2,…,…,…,…,…,…
43,1997/12/31,18,420,7,413,39,1,18,18,2,…,…,…,…,…,…
44,1998/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
45,1999/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
46,2000/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
47,2001/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
48,2002/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
49,2003/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
50,2004/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
51,2005/12/31,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
52,2006/12/31,18,419,7,412,45,1,18,24,2,…,…,…,…,…,…
53,2007/4/1,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
54,2008/4/1,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
55,2009/4/1,18,420,7,413,45,1,18,24,2,…,…,…,…,…,…
56,2010/4/1,18,417,7,410,46,1,18,24,2,1,…,…,…,…,…
57,2011/4/1,18,416,7,409,47,1,18,24,2,1,1,…,…,…,…
58,2012/4/1,18,415,7,408,47,1,18,24,2,1,1,…,…,…,…
59,2013/4/1,18,417,7,410,47,1,18,24,2,1,1,…,…,…,…
60,2014/4/1,18,417,7,410,47,1,18,24,2,1,1,…,…,…,…
61,2015/4/1,18,416,7,409,47,1,18,24,2,1,1,…,…,…,…
62,2016/4/1,18,416,7,409,47,1,18,24,2,1,1,…,…,…,…
63,2017/4/1,18,416,7,409,47,1,18,24,2,1,1,…,…,…,…
64,2018/4/1,18,411,7,404,47,1,18,24,2,1,1,…,…,…,…
65,2019/4/1,18,404,7,397,47,1,18,24,2,1,1,…,…,…,…
66,2020/4/1,18,407,7,400,53,1,18,30,2,1,1,…,…,…,…
67,2021/4/1,18,410,7,403,55,1,18,32,2,1,1,…,…,…,…
