,年次・時点,公設消火栓,公設防火水槽,公設貯水池,私設消火栓,私設防火水槽,私設貯水池,プール,受水槽,池水,河川,貯水槽,貯水池,その他
0,1960,151,…,…,254,…,…,…,…,…,…,115,60,85
1,1961,161,…,…,260,…,…,…,…,…,…,118,47,73
2,1962,283,…,…,260,…,…,…,…,…,…,131,49,80
3,1963,456,…,…,280,…,…,…,…,…,…,140,47,50
4,1964,515,…,…,280,…,…,…,…,…,…,140,47,52
5,1965,546,…,…,311,…,…,…,…,…,…,140,50,48
6,1966,716,…,…,330,…,…,…,…,…,…,145,51,53
7,1967,792,…,…,312,…,…,…,…,…,…,160,42,53
8,1968,850,…,…,311,…,…,…,…,…,…,163,41,55
9,1969,859,…,…,316,…,…,…,…,…,…,170,41,57
10,1970/12/31,947,…,…,322,…,…,…,…,…,…,179,38,59
11,1971/12/31,1036,…,…,478,…,…,…,…,…,…,185,36,66
12,1972/12/31,1105,…,…,459,…,…,…,…,…,…,197,41,67
13,1973/12/31,1163,…,…,471,…,…,…,…,…,…,202,41,70
14,1974/12/31,1253,…,…,471,…,…,…,…,…,…,210,20,81
15,1975/12/31,1361,…,…,471,…,…,…,…,…,…,226,18,89
16,1976,…,…,…,…,…,…,…,…,…,…,…,…,…
17,1977/12/31,1557,204,0,163,39,17,48,14,13,15,…,…,…
18,1978/12/31,1689,218,0,166,43,21,50,12,5,0,…,…,…
19,1979/12/31,1613,212,0,159,38,26,51,11,5,0,…,…,…
20,1980/12/31,1713,217,0,163,43,21,50,12,6,0,…,…,…
21,1981/12/31,1829,235,0,152,42,20,51,12,6,0,…,…,…
22,1982/12/31,1883,239,0,150,41,21,52,12,6,0,…,…,…
23,1983/12/31,1922,244,0,148,37,21,51,12,6,0,…,…,…
24,1984/12/31,1941,244,0,142,42,21,52,14,6,0,…,…,…
25,1985/12/31,1979,265,0,141,58,19,58,17,6,0,…,…,…
26,1986/12/31,1978,260,0,140,60,19,58,17,6,0,…,…,…
27,1987/12/31,2072,267,0,139,68,19,59,23,6,2,…,…,…
28,1988/12/31,2133,354,19,136,0,19,57,28,6,2,…,…,…
29,1989/12/31,2129,266,0,134,109,14,58,32,4,2,…,…,…
30,1990/12/31,2227,283,0,110,125,14,57,33,4,2,…,…,…
31,1991/12/31,2253,276,0,123,152,15,56,42,4,2,…,…,…
32,1992/12/31,2300,281,0,122,178,16,61,44,4,2,…,…,…
33,1993/12/31,2347,282,0,123,206,19,61,46,4,2,…,…,…
34,1994/12/31,2410,278,0,121,213,19,59,45,4,2,…,…,…
35,1995/12/31,2505,293,0,115,241,19,62,46,4,4,…,…,…
36,1996/12/31,2525,292,0,113,247,19,61,47,4,4,…,…,…
37,1997/12/31,2555,294,0,113,316,19,61,0,4,4,…,…,…
38,1998/12/31,2599,296,0,108,313,20,63,49,4,5,…,…,…
39,1999/12/31,2644,297,0,101,306,20,62,50,7,5,…,…,…
40,2000/12/31,2719,307,0,98,331,19,63,50,7,5,…,…,…
41,2001/12/31,2742,309,0,97,343,19,63,49,9,16,…,…,…
42,2002/12/31,2758,311,0,92,344,19,63,49,9,16,…,…,…
43,2003/12/31,2782,314,0,91,364,19,64,49,9,16,…,…,…
44,2004/12/31,2802,321,0,91,364,19,64,49,9,16,…,…,…
45,2005/12/31,2820,321,0,88,379,19,64,49,9,16,…,…,…
46,2006/12/31,2833,323,0,84,389,19,63,51,9,16,…,…,…
47,2007/12/31,2864,322,0,87,396,19,62,51,9,16,…,…,…
48,2008/12/31,2888,321,0,86,406,18,61,50,9,16,…,…,…
49,2009/12/31,2900,321,0,86,408,18,61,50,9,16,…,…,…
50,2010/12/31,2908,321,0,88,415,19,63,43,9,16,…,…,…
51,2011/12/31,2917,317,0,88,423,19,63,43,9,16,…,…,…
52,2012/12/31,2921,316,0,83,441,8,60,42,9,16,…,…,…
53,2013/12/31,2926,311,0,82,462,8,60,42,9,16,…,…,…
54,2014/12/31,2923,306,0,79,475,8,60,40,9,16,…,…,…
55,2015/12/31,2931,293,0,73,477,8,61,40,9,16,…,…,…
56,2016/12/31,2938,291,0,69,486,8,61,40,9,16,…,…,…
57,2017/12/31,2942,296,0,76,495,8,61,40,9,16,…,…,…
58,2018/12/31,2942,292,0,70,490,8,61,40,9,16,…,…,…
59,2019/12/31,2942,292,0,59,497,8,59,38,8,16,…,…,…
60,2020/12/31,2944,294,0,59,499,8,59,37,8,16,…,…,…
61,2021/12/31,2944,295,0,59,499,8,59,37,6,16,…,…,…
