,年次,総数,建物火災件数_総数,建物火災件数_全焼,建物火災件数_半焼,建物火災件数_部分焼,建物火災件数_ぼや,建物外_自動車両,建物外_その他,り災世帯,り災世帯人数,焼失面積(平方メートル),損害見積額（千円）,死傷者数_総数,死傷者数_死者,死傷者数_負傷者,総数_1月,建物火災件数_総数_1月,建物火災件数_全焼_1月,建物火災件数_半焼_1月,建物火災件数_部分焼_1月,建物火災件数_ぼや_1月,建物外_自動車両_1月,建物外_その他_1月,り災世帯_1月,り災世帯人数_1月,焼失面積(平方メートル)_1月,損害見積額（千円）_1月,死傷者数_総数_1月,死傷者数_死者_1月,死傷者数_負傷者_1月,総数_2月,建物火災件数_総数_2月,建物火災件数_全焼_2月,建物火災件数_半焼_2月,建物火災件数_部分焼_2月,建物火災件数_ぼや_2月,建物外_自動車両_2月,建物外_その他_2月,り災世帯_2月,り災世帯人数_2月,焼失面積(平方メートル)_2月,損害見積額（千円）_2月,死傷者数_総数_2月,死傷者数_死者_2月,死傷者数_負傷者_2月,総数_3月,建物火災件数_総数_3月,建物火災件数_全焼_3月,建物火災件数_半焼_3月,建物火災件数_部分焼_3月,建物火災件数_ぼや_3月,建物外_自動車両_3月,建物外_その他_3月,り災世帯_3月,り災世帯人数_3月,焼失面積(平方メートル)_3月,損害見積額（千円）_3月,死傷者数_総数_3月,死傷者数_死者_3月,死傷者数_負傷者_3月,総数_4月,建物火災件数_総数_4月,建物火災件数_全焼_4月,建物火災件数_半焼_4月,建物火災件数_部分焼_4月,建物火災件数_ぼや_4月,建物外_自動車両_4月,建物外_その他_4月,り災世帯_4月,り災世帯人数_4月,焼失面積(平方メートル)_4月,損害見積額（千円）_4月,死傷者数_総数_4月,死傷者数_死者_4月,死傷者数_負傷者_4月,総数_5月,建物火災件数_総数_5月,建物火災件数_全焼_5月,建物火災件数_半焼_5月,建物火災件数_部分焼_5月,建物火災件数_ぼや_5月,建物外_自動車両_5月,建物外_その他_5月,り災世帯_5月,り災世帯人数_5月,焼失面積(平方メートル)_5月,損害見積額（千円）_5月,死傷者数_総数_5月,死傷者数_死者_5月,死傷者数_負傷者_5月,総数_6月,建物火災件数_総数_6月,建物火災件数_全焼_6月,建物火災件数_半焼_6月,建物火災件数_部分焼_6月,建物火災件数_ぼや_6月,建物外_自動車両_6月,建物外_その他_6月,り災世帯_6月,り災世帯人数_6月,焼失面積(平方メートル)_6月,損害見積額（千円）_6月,死傷者数_総数_6月,死傷者数_死者_6月,死傷者数_負傷者_6月,総数_7月,建物火災件数_総数_7月,建物火災件数_全焼_7月,建物火災件数_半焼_7月,建物火災件数_部分焼_7月,建物火災件数_ぼや_7月,建物外_自動車両_7月,建物外_その他_7月,り災世帯_7月,り災世帯人数_7月,焼失面積(平方メートル)_7月,損害見積額（千円）_7月,死傷者数_総数_7月,死傷者数_死者_7月,死傷者数_負傷者_7月,総数_8月,建物火災件数_総数_8月,建物火災件数_全焼_8月,建物火災件数_半焼_8月,建物火災件数_部分焼_8月,建物火災件数_ぼや_8月,建物外_自動車両_8月,建物外_その他_8月,り災世帯_8月,り災世帯人数_8月,焼失面積(平方メートル)_8月,損害見積額（千円）_8月,死傷者数_総数_8月,死傷者数_死者_8月,死傷者数_負傷者_8月,総数_9月,建物火災件数_総数_9月,建物火災件数_全焼_9月,建物火災件数_半焼_9月,建物火災件数_部分焼_9月,建物火災件数_ぼや_9月,建物外_自動車両_9月,建物外_その他_9月,り災世帯_9月,り災世帯人数_9月,焼失面積(平方メートル)_9月,損害見積額（千円）_9月,死傷者数_総数_9月,死傷者数_死者_9月,死傷者数_負傷者_9月,総数_10月,建物火災件数_総数_10月,建物火災件数_全焼_10月,建物火災件数_半焼_10月,建物火災件数_部分焼_10月,建物火災件数_ぼや_10月,建物外_自動車両_10月,建物外_その他_10月,り災世帯_10月,り災世帯人数_10月,焼失面積(平方メートル)_10月,損害見積額（千円）_10月,死傷者数_総数_10月,死傷者数_死者_10月,死傷者数_負傷者_10月,総数_11月,建物火災件数_総数_11月,建物火災件数_全焼_11月,建物火災件数_半焼_11月,建物火災件数_部分焼_11月,建物火災件数_ぼや_11月,建物外_自動車両_11月,建物外_その他_11月,り災世帯_11月,り災世帯人数_11月,焼失面積(平方メートル)_11月,損害見積額（千円）_11月,死傷者数_総数_11月,死傷者数_死者_11月,死傷者数_負傷者_11月,総数_12月,建物火災件数_総数_12月,建物火災件数_全焼_12月,建物火災件数_半焼_12月,建物火災件数_部分焼_12月,建物火災件数_ぼや_12月,建物外_自動車両_12月,建物外_その他_12月,り災世帯_12月,り災世帯人数_12月,焼失面積(平方メートル)_12月,損害見積額（千円）_12月,死傷者数_総数_12月,死傷者数_死者_12月,死傷者数_負傷者_12月
0,1970,149,82,13,6,0,63,5,62,76,…,1154,52258,19,2,17,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1,1971,134,73,16,6,0,51,8,53,105,…,2397,179825,11,1,10,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2,1972,154,83,13,4,0,66,6,65,94,…,2213,105620,19,0,19,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
3,1973,152,71,7,6,0,58,4,77,85,…,1002,68196,22,2,20,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
4,1974,139,76,13,5,0,58,4,59,86,…,1062,110827,25,4,21,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
5,1975,125,64,18,2,0,44,11,50,69,…,2070,255821,28,2,26,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
6,1976,104,57,13,6,0,38,7,40,55,…,1495,165008,19,2,17,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
7,1977,110,50,5,4,3,38,9,51,45,150,856,156154,20,2,18,13,5,1,1,0,3,0,8,4,13,142,15619,1,0,1,13,5,0,0,0,5,2,6,2,5,0,479,0,0,0,10,3,1,0,0,2,1,6,3,11,179,39345,3,1,2,13,4,1,1,0,2,2,7,3,7,38,6877,2,0,2,10,4,0,2,0,2,0,6,4,15,75,17560,1,1,0,5,4,0,0,0,4,0,1,1,6,0,72,0,0,0,10,7,1,0,1,5,1,2,13,44,378,69547,7,0,7,10,3,0,0,0,3,2,5,3,13,0,177,2,0,2,6,6,0,0,1,5,0,0,3,6,6,1243,1,0,1,4,3,0,0,0,3,0,1,2,6,0,19,0,0,0,3,2,1,0,0,1,0,1,3,10,35,3613,2,0,2,13,4,0,0,1,3,1,8,4,14,3,1604,1,0,1
8,1978,144,67,14,3,0,50,4,73,62,223,1888,333571,26,2,24,14,6,2,1,0,3,0,8,7,24,205,18037,4,0,4,23,15,4,0,0,11,1,7,12,49,948,216129,5,0,5,15,5,2,0,0,3,0,10,5,21,236,35604,7,1,6,19,3,1,0,0,2,0,16,3,13,45,6223,0,0,0,5,4,0,0,0,4,0,1,4,14,0,65,1,0,1,9,4,0,1,0,3,0,5,4,20,30,4354,2,1,1,9,3,0,1,0,2,2,4,8,16,46,5756,2,0,2,15,7,3,0,0,4,0,8,8,30,118,11068,0,0,0,3,1,0,0,0,1,0,2,0,0,0,15,0,0,0,14,6,1,0,0,5,1,7,2,5,20,362,0,0,0,6,4,0,0,0,4,0,2,2,7,0,365,0,0,0,12,9,1,0,0,8,0,3,7,24,240,35590,5,0,5
9,1979,124,65,10,3,3,49,10,49,50,193,1057,89500,23,2,21,14,9,2,0,0,7,1,4,8,26,137,13103,4,2,2,7,5,0,0,0,5,1,1,4,17,0,983,2,0,2,19,9,4,0,0,5,1,9,8,42,197,10480,8,0,8,13,7,1,0,0,6,0,6,6,25,120,19225,2,0,2,10,7,2,0,1,4,0,3,5,25,177,19563,0,0,0,10,2,0,0,0,2,1,7,1,4,0,729,0,0,0,11,6,1,1,0,4,1,4,5,17,286,8037,1,0,1,8,4,0,0,0,4,0,4,2,5,0,153,0,0,0,6,2,0,0,0,2,1,3,1,1,0,18,0,0,0,3,1,0,0,0,1,2,0,1,2,0,129,3,0,3,7,4,0,1,0,3,1,2,2,5,25,1839,3,0,3,16,9,0,1,2,6,1,6,7,24,115,15241,0,0,0
