,年次,件数_総数,死傷者_総数,死亡者_総数,重傷者_総数,軽傷者_総数,件数_信号無視,死傷者_信号無視_総数,死傷者_信号無視_死亡者,死傷者_信号無視_重傷者,死傷者_信号無視_軽傷者,件数_最高速度違反,死傷者_最高速度違反_総数,死傷者_最高速度違反_死亡者,死傷者_最高速度違反_重傷者,死傷者_最高速度違反_軽傷者,件数_右折違反,死傷者_右折違反_総数,死傷者_右折違反_死亡者,死傷者_右折違反_重傷者,死傷者_右折違反_軽傷者,件数_左折違反,死傷者_左折違反_総数,死傷者_左折違反_死亡者,死傷者_左折違反_重傷者,死傷者_左折違反_軽傷者,件数_優先通行違反,死傷者_優先通行違反_総数,死傷者_優先通行違反_死亡者,死傷者_優先通行違反_重傷者,死傷者_優先通行違反_軽傷者,件数_歩行者妨害,死傷者_歩行者妨害_総数,死傷者_歩行者妨害_死亡者,死傷者_歩行者妨害_重傷者,死傷者_歩行者妨害_軽傷者,件数_徐行場所違反,死傷者_徐行場所違反_総数,死傷者_徐行場所違反_死亡者,死傷者_徐行場所違反_重傷者,死傷者_徐行場所違反_軽傷者,件数_一時停止違反,死傷者_一時停止違反_総数,死傷者_一時停止違反_死亡者,死傷者_一時停止違反_重傷者,死傷者_一時停止違反_軽傷者,件数_酒酔い（酒気帯び）運転,死傷者_酒酔い（酒気帯び）運転_総数,死傷者_酒酔い（酒気帯び）運転_死亡者,死傷者_酒酔い（酒気帯び）運転_重傷者,死傷者_酒酔い（酒気帯び）運転_軽傷者,件数_交差点の安全進行違反,死傷者_交差点の安全進行違反_総数,死傷者_交差点の安全進行違反_死亡者,死傷者_交差点の安全進行違反_重傷者,死傷者_交差点の安全進行違反_軽傷者,件数_前方不注意,死傷者_前方不注意_総数,死傷者_前方不注意_死亡者,死傷者_前方不注意_重傷者,死傷者_前方不注意_軽傷者,件数_ハンドル等の操作不適,死傷者_ハンドル等の操作不適_総数,死傷者_ハンドル等の操作不適_死亡者,死傷者_ハンドル等の操作不適_重傷者,死傷者_ハンドル等の操作不適_軽傷者,件数_その他の安全運転義務違反,死傷者_その他の安全運転義務違反_総数,死傷者_その他の安全運転義務違反_死亡者,死傷者_その他の安全運転義務違反_重傷者,死傷者_その他の安全運転義務違反_軽傷者,件数_その他及び不明（ひき逃げ）,死傷者_その他及び不明（ひき逃げ）_総数,死傷者_その他及び不明（ひき逃げ）_死亡者,死傷者_その他及び不明（ひき逃げ）_重傷者,死傷者_その他及び不明（ひき逃げ）_軽傷者
0,1973,552,706,…,…,…,14,24,…,…,…,0,0,…,…,…,…,…,…,…,…,0,…,…,…,…,30,43,…,…,…,21,22,…,…,…,25,35,…,…,…,…,…,…,…,…,18,25,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,444,557,…,…,…,…,…,…,…,…
1,1974,371,490,0,45,445,19,25,…,…,…,1,4,…,…,…,…,…,…,…,…,0,…,…,…,…,17,25,…,…,…,16,18,…,…,…,21,23,…,…,…,…,…,…,…,…,16,27,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,346,435,…,…,…,…,…,…,…,…
2,1975,447,590,6,47,537,33,50,…,…,…,3,8,…,…,…,…,…,…,…,…,0,…,…,…,…,11,19,…,…,…,11,13,…,…,…,17,20,…,…,…,…,…,…,…,…,21,28,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,418,522,…,…,…,…,…,…,…,…
3,1976,456,543,3,39,501,23,24,…,…,…,3,5,…,…,…,…,…,…,…,…,…,…,…,…,…,12,17,…,…,…,17,19,…,…,…,22,23,…,…,…,…,…,…,…,…,18,26,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,408,470,…,…,…,…,…,…,…,…
4,1977,427,531,4,45,482,20,22,…,…,…,5,9,…,…,…,…,…,…,…,…,…,…,…,…,…,9,11,…,…,…,18,19,…,…,…,16,21,…,…,…,…,…,…,…,…,17,26,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,408,470,…,…,…,…,…,…,…,…
5,1978,348,449,3,28,418,17,30,0,3,27,6,8,0,2,6,7,8,0,0,8,11,12,0,0,12,16,18,0,1,17,8,8,0,2,6,6,7,0,0,7,0,0,0,0,0,10,19,0,1,18,43,56,0,4,52,0,0,0,0,0,29,38,0,0,38,178,227,3,15,209,17,18,0,0,18
6,1979,342,485,2,28,455,20,30,0,2,28,4,6,0,0,6,1,2,0,0,2,7,9,0,0,9,11,20,0,3,17,19,19,0,1,18,12,12,0,1,11,28,34,0,2,32,11,14,0,1,13,50,65,0,5,60,0,0,0,0,0,4,5,1,3,1,134,213,1,9,203,41,56,0,1,55
7,1980,343,429,9,41,379,15,18,0,2,16,6,10,0,2,8,9,14,0,0,14,5,5,0,1,4,2,3,0,1,2,15,15,1,1,13,19,22,0,0,22,30,32,0,1,31,6,10,0,3,7,12,12,0,3,9,0,0,0,0,0,5,7,1,2,4,187,243,7,24,211,32,39,0,1,38
8,1981,375,478,6,46,426,27,35,0,6,29,6,11,2,5,4,4,5,0,2,3,6,6,0,1,5,11,14,0,3,11,18,21,1,2,18,16,23,0,4,19,23,28,0,2,26,4,6,0,1,5,31,36,0,3,33,…,…,…,…,…,7,11,0,2,9,133,173,3,7,163,89,109,0,8,101
9,1982,387,471,3,46,422,27,36,0,7,29,3,3,0,1,2,6,7,0,1,6,5,5,0,0,5,13,15,0,2,13,17,17,0,0,17,10,12,0,3,9,41,46,0,3,43,9,16,1,1,14,44,51,0,10,41,0,0,0,0,0,16,24,0,1,23,123,147,2,12,133,73,92,0,5,87
