,年次,総数,総数_日,総数_月,総数_火,総数_水,総数_木,総数_金,総数_土,総数_0～5時(0～6時),総数_5～7時(6～8時),総数_7～9時(8～10時),総数_9～11時(10～12時),総数_11～13時(12～14時),総数_13～15時(14～16時),総数_15～17時(16～18時),総数_17～19時(18～20時),総数_19～21時(20～22時),総数_21～24時(22～24時),日_0～5時(0～6時),日_5～7時(6～8時),日_7～9時(8～10時),日_9～11時(10～12時),日_11～13時(12～14時),日_13～15時(14～16時),日_15～17時(16～18時),日_17～19時(18～20時),日_19～21時(20～22時),日_21～24時(22～24時),月_0～5時(0～6時),月_5～7時(6～8時),月_7～9時(8～10時),月_9～11時(10～12時),月_11～13時(12～14時),月_13～15時(14～16時),月_15～17時(16～18時),月_17～19時(18～20時),月_19～21時(20～22時),月_21～24時(22～24時),火_0～5時(0～6時),火_5～7時(6～8時),火_7～9時(8～10時),火_9～11時(10～12時),火_11～13時(12～14時),火_13～15時(14～16時),火_15～17時(16～18時),火_17～19時(18～20時),火_19～21時(20～22時),火_21～24時(22～24時),水_0～5時(0～6時),水_5～7時(6～8時),水_7～9時(8～10時),水_9～11時(10～12時),水_11～13時(12～14時),水_13～15時(14～16時),水_15～17時(16～18時),水_17～19時(18～20時),水_19～21時(20～22時),水_21～24時(22～24時),木_0～5時(0～6時),木_5～7時(6～8時),木_7～9時(8～10時),木_9～11時(10～12時),木_11～13時(12～14時),木_13～15時(14～16時),木_15～17時(16～18時),木_17～19時(18～20時),木_19～21時(20～22時),木_21～24時(22～24時),金_0～5時(0～6時),金_5～7時(6～8時),金_7～9時(8～10時),金_9～11時(10～12時),金_11～13時(12～14時),金_13～15時(14～16時),金_15～17時(16～18時),金_17～19時(18～20時),金_19～21時(20～22時),金_21～24時(22～24時),土_0～5時(0～6時),土_5～7時(6～8時),土_7～9時(8～10時),土_9～11時(10～12時),土_11～13時(12～14時),土_13～15時(14～16時),土_15～17時(16～18時),土_17～19時(18～20時),土_19～21時(20～22時),土_21～24時(22～24時)
0,1974,436,56,64,57,54,63,67,75,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1,1975,514,69,63,79,72,60,68,103,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2,1976,530,89,72,85,62,67,68,87,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
3,1977,493,68,58,64,61,66,83,93,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
4,1978,410,60,59,51,61,56,56,67,24,12,46,53,48,52,69,57,30,19,10,1,2,10,9,12,6,5,4,1,1,3,12,4,4,7,16,6,3,3,3,5,5,8,2,9,6,5,4,4,0,1,11,5,9,4,12,13,5,1,3,1,8,7,5,5,6,12,6,3,3,0,5,5,8,6,12,11,3,3,4,1,3,14,11,9,11,5,5,4
5,1979,382,59,50,48,56,57,56,56,20,8,39,39,64,47,60,49,30,26,5,1,1,10,14,9,10,5,4,0,2,3,5,3,6,11,8,5,4,3,5,2,8,3,8,2,11,6,1,2,2,1,11,5,11,7,4,8,2,5,1,0,5,5,8,7,6,10,9,6,5,0,7,6,11,5,8,7,4,3,0,1,2,7,6,6,13,8,6,7
6,1980,387,63,49,51,52,62,58,52,25,9,51,45,64,45,48,48,33,19,11,2,5,4,13,9,7,5,3,4,1,0,6,9,10,3,5,3,6,6,3,0,9,8,2,7,7,7,7,1,1,2,11,4,9,3,5,10,5,2,1,3,7,6,14,9,9,6,3,4,3,1,9,8,5,7,10,9,5,1,5,1,4,6,11,7,5,8,4,1
7,1981,409,63,56,52,58,58,64,58,17,12,70,48,48,41,69,46,28,30,4,3,3,10,9,12,10,6,3,3,1,0,15,6,6,7,9,6,3,3,2,2,12,4,4,7,7,7,3,4,1,1,9,6,11,5,10,5,6,4,2,3,8,9,2,4,15,6,5,4,5,2,17,7,5,3,7,8,4,6,2,1,6,6,11,3,11,8,4,6
8,1982,426,62,62,50,62,61,46,83,30,8,59,43,37,50,69,70,29,31,6,3,2,8,4,10,12,10,3,4,0,1,8,10,7,8,10,12,2,4,4,2,5,8,5,9,4,7,5,1,5,1,14,2,3,5,13,11,4,4,4,0,11,5,4,5,12,11,4,5,4,0,8,3,7,2,6,8,3,5,7,1,11,7,7,11,12,11,8,8
9,1983,594,69,78,83,89,82,93,100,47,39,71,68,65,81,97,51,40,35,6,6,3,7,12,10,12,5,4,4,4,7,11,11,8,11,9,4,7,6,11,5,15,9,10,9,10,7,5,2,8,4,9,8,10,12,20,6,6,6,7,6,8,7,4,16,10,11,8,5,4,7,10,13,9,14,17,7,5,7,7,4,15,13,12,9,19,11,5,5
10,1984,528,78,79,68,82,78,71,72,17,41,68,57,74,68,90,43,42,28,6,0,6,2,14,14,14,9,9,4,1,7,14,9,7,9,14,6,7,5,3,7,6,6,8,11,9,7,6,5,1,7,13,10,10,9,15,7,8,2,3,8,11,13,14,5,16,3,3,2,2,8,10,7,9,9,11,7,2,6,1,4,8,10,12,11,11,4,7,4
11,1985,579,87,77,71,83,77,86,98,39,42,85,62,63,63,88,57,45,35,13,5,4,12,9,13,16,5,6,4,2,6,9,13,8,10,11,8,7,3,4,5,14,9,7,4,6,9,8,5,7,5,11,9,11,10,21,3,4,2,3,8,15,2,4,11,10,11,8,5,5,9,16,6,9,4,13,8,10,6,5,4,16,11,15,11,11,13,2,10
12,1986,485,60,65,72,62,73,74,79,34,32,86,57,53,53,62,54,36,18,10,0,6,13,7,5,4,6,7,2,1,5,11,13,8,5,10,5,4,3,3,7,19,4,6,12,10,7,3,1,4,1,10,6,5,9,9,9,5,4,4,6,10,7,7,9,12,10,4,4,8,6,13,6,5,8,8,9,9,2,4,7,17,8,15,5,9,8,4,2
