,区分,No,項目,被疑者（65歳未満）（N=72）(%),被疑者（65歳以上）（N=56）(%),一般（65歳以上）（N=1322）(%),被疑者間,高齢者間
0,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,1,テレビ・ラジオ,76.4,87.5,98.0,,p<0.01
1,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,2,新聞・雑誌,23.6,48.2,82.5,p<0.01,p<0.01
2,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,3,警察や自治体の広報誌,0.0,8.9,25.4,p<0.05,p<0.01
3,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,4,インターネット,37.5,7.1,30.6,p<0.01,p<0.01
4,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,5,近所の口コミ,2.8,5.4,16.8,,p<0.05
5,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,6,家族から,12.5,5.4,38.7,,p<0.01
6,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,7,町会・自治会の掲示板・回覧,2.8,7.1,37.5,,p<0.01
7,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,8,街中のポスターや看板,4.2,7.1,14.9,,
8,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,9,その他,2.8,0.0,2.8,,
9,（1）あなたは、日常生活に関する情報をどこから入手していますか。（○はいくつでも）,10,なし,4.2,0.0,0.0,,
10,（2）あなたは、普段、メールをしますか。,1,する,65.3,18.2,62.1,p<0.01,p<0.01
11,（2）あなたは、普段、メールをしますか。,2,しない,34.7,81.8,37.9,p<0.01,p<0.01
12,（3）あなたは、インターネットやSNS（フェイスブック、ライン、ツイッター等）を利用しますか。,1,利用する,50.7,10.7,38.1,p<0.01,p<0.01
13,（3）あなたは、インターネットやSNS（フェイスブック、ライン、ツイッター等）を利用しますか。,2,利用しない,49.3,89.3,61.9,,p<0.01
14,（4）あなたは、家族とどのくらい会話をしたり、連絡（メール、電話、対面など）をとったりしていますか。,1,ほとんど毎日,34.3,43.1,62.4,,p<0.01
15,（4）あなたは、家族とどのくらい会話をしたり、連絡（メール、電話、対面など）をとったりしていますか。,2,週に数回,16.4,9.8,12.8,,p<0.01
16,（4）あなたは、家族とどのくらい会話をしたり、連絡（メール、電話、対面など）をとったりしていますか。,3,週に1回程度,10.4,3.9,8.3,,p<0.01
17,（4）あなたは、家族とどのくらい会話をしたり、連絡（メール、電話、対面など）をとったりしていますか。,4,月に1、2回,4.5,5.9,10.4,,p<0.01
18,（4）あなたは、家族とどのくらい会話をしたり、連絡（メール、電話、対面など）をとったりしていますか。,5,年に数回,6.0,2.0,4.1,,p<0.01
19,（4）あなたは、家族とどのくらい会話をしたり、連絡（メール、電話、対面など）をとったりしていますか。,6,ほとんどない,19.4,23.5,1.2,,p<0.01
20,（4）あなたは、家族とどのくらい会話をしたり、連絡（メール、電話、対面など）をとったりしていますか。,7,家族はいない,9.0,11.8,0.7,,p<0.01
21,（５）あなたは、現在の地域にどのくらいお住まいですか。,1,5年未満,40.8,10.7,3.0,p<0.01,p<0.01
22,（５）あなたは、現在の地域にどのくらいお住まいですか。,2,5年以上10年未満,16.9,14.3,3.8,p<0.01,p<0.01
23,（５）あなたは、現在の地域にどのくらいお住まいですか。,3,10年以上20年未満,21.1,25.0,10.4,p<0.01,p<0.01
24,（５）あなたは、現在の地域にどのくらいお住まいですか。,4,20年以上,21.1,50.0,82.7,p<0.01,p<0.01
25,（６）あなたは、近所付き合いをどのくらいしていますか。,1,活発な付き合いをしている,11.4,16.1,13.9,,p<0.01
26,（６）あなたは、近所付き合いをどのくらいしていますか。,2,立ち話程度,24.3,25.0,48.9,,p<0.01
27,（６）あなたは、近所付き合いをどのくらいしていますか。,3,あいさつ程度,32.9,33.9,32.7,,p<0.01
28,（６）あなたは、近所付き合いをどのくらいしていますか。,4,ほとんどしていない,31.4,25.0,4.6,,p<0.01
29,（７）あなたは、一日中。誰とも話さないことがありますか。,1,ある,40.8,44.6,13.6,,p<0.01
30,（７）あなたは、一日中。誰とも話さないことがありますか。,2,ない,59.2,55.4,86.4,,p<0.01
31,（８）あなたには、支払わないといけない借金がありますか。ある場合、どこから借りていますか。（○はいくつでも）,1,サラ金業者,4.3,1.9,0.4,,
32,（８）あなたには、支払わないといけない借金がありますか。ある場合、どこから借りていますか。（○はいくつでも）,2,ヤミ金業者,0.0,0.0,0.0,,
33,（８）あなたには、支払わないといけない借金がありますか。ある場合、どこから借りていますか。（○はいくつでも）,3,家族,5.8,0.0,1.7,,
34,（８）あなたには、支払わないといけない借金がありますか。ある場合、どこから借りていますか。（○はいくつでも）,4,知人・友人,4.3,1.9,0.5,,
35,（８）あなたには、支払わないといけない借金がありますか。ある場合、どこから借りていますか。（○はいくつでも）,5,会社の上司・同僚・部下,0.0,0.0,0.1,,
36,（８）あなたには、支払わないといけない借金がありますか。ある場合、どこから借りていますか。（○はいくつでも）,6,その他,2.9,0.0,1.6,,
37,（８）あなたには、支払わないといけない借金がありますか。ある場合、どこから借りていますか。（○はいくつでも）,7,なし,87.0,96.3,96.0,,
