,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）（N=1322）(%),被疑者間,高齢者間
0,（１）あなたは、万引きをするとき捕まると思いましたか。,1,思った,52.2,35.8,／,,-
1,（１）あなたは、万引きをするとき捕まると思いましたか。,2,思わなかった,47.8,64.2,／,,-
2,（２）あなたは、万引きをするときに、防犯カメラの位置や向きを確認しましたか。,1,確認した,13.0,3.7,／,,-
3,（２）あなたは、万引きをするときに、防犯カメラの位置や向きを確認しましたか。,2,確認しない,87.0,96.3,／,,-
4,（３）あなたは、これまで万引きを思いとどまったことがありますか。,5,すり、ひったくり、置引き,45.6,36.5,／,,-
5,（３）あなたは、これまで万引きを思いとどまったことがありますか。,6,つきまとわれる,54.4,63.5,／,,-
6,（４）（３）で「ある」と選択した方に、お聞きします。万引きを思いとどまった理由を教えてください。（○はいくつでも）,1,防犯カメラがあったから,3.2,18.2,／,,-
7,（４）（３）で「ある」と選択した方に、お聞きします。万引きを思いとどまった理由を教えてください。（○はいくつでも）,2,店内にカーブミラーがあったから,3.2,4.5,／,,-
8,（４）（３）で「ある」と選択した方に、お聞きします。万引きを思いとどまった理由を教えてください。（○はいくつでも）,3,出入口に万引き防止システム（音の鳴るゲート）があったから,3.2,0.0,／,,-
9,（４）（３）で「ある」と選択した方に、お聞きします。万引きを思いとどまった理由を教えてください。（○はいくつでも）,4,店員に声をかけられたから,6.5,2.7,／,,-
10,（４）（３）で「ある」と選択した方に、お聞きします。万引きを思いとどまった理由を教えてください。（○はいくつでも）,5,周りに人がいたから,19.4,13.6,／,,-
11,（４）（３）で「ある」と選択した方に、お聞きします。万引きを思いとどまった理由を教えてください。（○はいくつでも）,6,悪いことだと思ったから,64.5,45.5,／,,-
12,（４）（３）で「ある」と選択した方に、お聞きします。万引きを思いとどまった理由を教えてください。（○はいくつでも）,7,家族に迷惑がかかるから,51.6,31.8,／,,-
13,（４）（３）で「ある」と選択した方に、お聞きします。万引きを思いとどまった理由を教えてください。（○はいくつでも）,8,その他,6.5,0.0,／,,-
14,（４）（３）で「ある」と選択した方に、お聞きします。万引きを思いとどまった理由を教えてください。（○はいくつでも）,9,特に理由はない,0.0,9.1,／,,-
