,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）（N=1322)(%),被疑者間,高齢者間
0,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（1）もう若い頃のような体力がないような感じがする,1,まったくない,8.8,5.6,2.1,p<0.01,p<0.01
1,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（1）もう若い頃のような体力がないような感じがする,2,あまりない,22.1,16.7,8.9,p<0.01,p<0.01
2,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（1）もう若い頃のような体力がないような感じがする,3,時々ある,44.1,13.0,44.6,p<0.01,p<0.01
3,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（1）もう若い頃のような体力がないような感じがする,4,よくある,25.0,64.8,44.5,p<0.01,p<0.01
4,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（2）若いころと比較して容姿の衰えを実感する,1,まったくない,13.0,3.7,1.6,p<0.01,
5,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（2）若いころと比較して容姿の衰えを実感する,2,あまりない,24.6,7.4,10.3,p<0.01,
6,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（2）若いころと比較して容姿の衰えを実感する,3,時々ある,34.8,25.9,40.5,p<0.01,
7,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（2）若いころと比較して容姿の衰えを実感する,4,よくある,27.5,63.0,47.6,p<0.01,
8,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（3）同年代の人と比べて体力の衰えを感じる,1,まったくない,13.0,13.0,11.6,,p<0.01
9,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（3）同年代の人と比べて体力の衰えを感じる,2,あまりない,39.1,25.9,49.5,,p<0.01
10,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（3）同年代の人と比べて体力の衰えを感じる,3,時々ある,33.3,27.8,26.7,,p<0.01
11,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（3）同年代の人と比べて体力の衰えを感じる,4,よくある,14.5,33.3,12.2,,p<0.01
12,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（4）将来、生活が苦しくなるのではないかと不安だ,1,まったくない,4.3,16.7,14.0,,p<0.01
13,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（4）将来、生活が苦しくなるのではないかと不安だ,2,あまりない,23.2,18.5,36.9,,p<0.01
14,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（4）将来、生活が苦しくなるのではないかと不安だ,3,時々ある,30.4,25.9,33.4,,p<0.01
15,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（4）将来、生活が苦しくなるのではないかと不安だ,4,よくある,42.0,38.9,15.7,,p<0.01
16,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（5）家族の世話で、私の本当の生き方ができない,1,まったくない,43.8,58.5,48.8,,p<0.01
17,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（5）家族の世話で、私の本当の生き方ができない,2,あまりない,37.5,18.9,34.2,,p<0.01
18,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（5）家族の世話で、私の本当の生き方ができない,3,時々ある,3.1,9.4,13.5,,p<0.01
19,あなたの場合、次のことについて、どの程度感じていますか。（あてはまる番号に○）／（5）家族の世話で、私の本当の生き方ができない,4,よくある,15.6,13.2,3.5,,p<0.01
