,区分,No,項目,被疑者（65歳未満）(N=72)(%),被疑者（65歳以上）(N=56)(%),一般（65歳以上）(N=1322)(%),被疑者間,高齢者間
0,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（1）しなければならないことがあっても、なかなか取りかからない,1,まったくあてはまらない,13.6,18.5,14.4,,p<0.01
1,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（1）しなければならないことがあっても、なかなか取りかからない,2,あまりあてはまらない,19.7,18.5,27.2,,p<0.01
2,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（1）しなければならないことがあっても、なかなか取りかからない,3,どちらともいえない,21.2,11.1,22.7,,p<0.01
3,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（1）しなければならないことがあっても、なかなか取りかからない,4,ややあてはまる,19.7,25.9,30.2,,p<0.01
4,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（1）しなければならないことがあっても、なかなか取りかからない,5,あてはまる,25.8,25.9,5.5,,p<0.01
5,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（2）初めはうまくいかない仕事でも、できるまでやり続ける,1,まったくあてはまらない,6.1,16.7,3.9,,p<0.01
6,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（2）初めはうまくいかない仕事でも、できるまでやり続ける,2,あまりあてはまらない,13.6,5.6,7.5,,p<0.01
7,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（2）初めはうまくいかない仕事でも、できるまでやり続ける,3,どちらともいえない,21.2,22.2,27.9,,p<0.01
8,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（2）初めはうまくいかない仕事でも、できるまでやり続ける,4,ややあてはまる,24.2,25.9,37.3,,p<0.01
9,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（2）初めはうまくいかない仕事でも、できるまでやり続ける,5,あてはまる,34.8,29.6,23.4,,p<0.01
10,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（3）非常にややこしく見えることは、手を出そうとしない,1,まったくあてはまらない,10.6,11.3,7.2,,p<0.01
11,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（3）非常にややこしく見えることは、手を出そうとしない,2,あまりあてはまらない,22.7,11.3,19.6,,p<0.01
12,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（3）非常にややこしく見えることは、手を出そうとしない,3,どちらともいえない,24.2,20.8,34.8,,p<0.01
13,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（3）非常にややこしく見えることは、手を出そうとしない,4,ややあてはまる,22.7,22.6,27.8,,p<0.01
14,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（3）非常にややこしく見えることは、手を出そうとしない,5,あてはまる,19.7,34.0,10.6,,p<0.01
15,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（4）思いがけない問題が起こった時、それをうまく処理できない,1,まったくあてはまらない,9.1,9.3,9.9,,p<0.01
16,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（4）思いがけない問題が起こった時、それをうまく処理できない,2,あまりあてはまらない,19.7,20.4,35.2,,p<0.01
17,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（4）思いがけない問題が起こった時、それをうまく処理できない,3,どちらともいえない,31.8,35.2,36.6,,p<0.01
18,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（4）思いがけない問題が起こった時、それをうまく処理できない,4,ややあてはまる,21.2,14.8,13.8,,p<0.01
19,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（4）思いがけない問題が起こった時、それをうまく処理できない,5,あてはまる,18.2,20.4,4.6,,p<0.01
