,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）(N=1322)(%),被疑者間,高齢者間
0,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（8）その場のいきおいに流されず、よく考えて行動するほうだ,1,まったくあてはまらない,9.1,11.1,2.3,,p<0.01
1,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（8）その場のいきおいに流されず、よく考えて行動するほうだ,2,あまりあてはまらない,18.2,7.4,8.8,,p<0.01
2,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（8）その場のいきおいに流されず、よく考えて行動するほうだ,3,どちらともいえない,39.4,25.9,34.5,,p<0.01
3,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（8）その場のいきおいに流されず、よく考えて行動するほうだ,4,ややあてはまる,18.2,22.2,34.4,,p<0.01
4,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（8）その場のいきおいに流されず、よく考えて行動するほうだ,5,あてはまる,15.2,33.3,20.3,,p<0.01
5,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（9）将来に備えて考えたり努力したりしている,1,まったくあてはまらない,6.0,11.1,2.4,,p<0.01
6,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（9）将来に備えて考えたり努力したりしている,2,あまりあてはまらない,14.9,13.0,8.4,,p<0.01
7,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（9）将来に備えて考えたり努力したりしている,3,どちらともいえない,31.3,25.9,22.2,,p<0.01
8,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（9）将来に備えて考えたり努力したりしている,4,ややあてはまる,28.0,24.1,42.3,,p<0.01
9,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（9）将来に備えて考えたり努力したりしている,5,あてはまる,19.4,25.9,24.7,,p<0.01
10,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（10）カッとなりやすいほうだ,1,まったくあてはまらない,19.4,33.3,13.2,,p<0.01
11,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（10）カッとなりやすいほうだ,2,あまりあてはまらない,22.4,18.5,30.5,,p<0.01
12,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（10）カッとなりやすいほうだ,3,どちらともいえない,23.9,22.2,29.1,,p<0.01
13,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（10）カッとなりやすいほうだ,4,ややあてはまる,22.4,11.1,21.3,,p<0.01
14,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（10）カッとなりやすいほうだ,5,あてはまる,11.9,14.8,5.9,,p<0.01
15,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（11）どんなに腹が立っても、暴力はふるわない,1,まったくあてはまらない,10.4,22.2,9.8,,p<0.05
16,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（11）どんなに腹が立っても、暴力はふるわない,2,あまりあてはまらない,4.5,9.3,6.6,,p<0.05
17,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（11）どんなに腹が立っても、暴力はふるわない,3,どちらともいえない,14.9,11.1,11.5,,p<0.05
18,あなたの場合、次のことは、どの程度あてはまりますか。（あてはまる番号に○）／（11）どんなに腹が立っても、暴力はふるわない,4,ややあてはまる,13.4,3.7,15.3,,p<0.05
