,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56）(%),一般（65歳以上）(N=1322)(%),被疑者間,高齢者間
0,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（1）この世の中では、努力はいつか報われるようになっている,1,まったくそう思わない,9.1,5.6,3.4,,p<0.01
1,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（1）この世の中では、努力はいつか報われるようになっている,2,あまりそう思わない,21.2,18.5,18.5,,p<0.01
2,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（1）この世の中では、努力はいつか報われるようになっている,3,どちらともいえない,37.9,27.8,35.0,,p<0.01
3,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（1）この世の中では、努力はいつか報われるようになっている,4,ややそう思う,18.2,22.2,33.3,,p<0.01
4,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（1）この世の中では、努力はいつか報われるようになっている,5,とてもそう思う,13.6,25.9,9.8,,p<0.01
5,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（2）この世の中では、努力や実力が報われない人が数多くいる,1,まったくそう思わない,1.5,7.4,1.6,p<0.01,p<0.01
6,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（2）この世の中では、努力や実力が報われない人が数多くいる,2,あまりそう思わない,7.6,22.2,7.9,p<0.01,p<0.01
7,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（2）この世の中では、努力や実力が報われない人が数多くいる,3,どちらともいえない,37.9,13.0,31.5,p<0.01,p<0.01
8,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（2）この世の中では、努力や実力が報われない人が数多くいる,4,ややそう思う,30.3,37.0,46.6,p<0.01,p<0.01
9,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（2）この世の中では、努力や実力が報われない人が数多くいる,5,とてもそう思う,22.7,20.4,12.4,p<0.01,p<0.01
10,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（3）今の日本は、お金や資産の格差が大きすぎる,1,まったくそう思わない,3.0,3.7,0.8,p<0.05,p<0.05
11,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（3）今の日本は、お金や資産の格差が大きすぎる,2,あまりそう思わない,6.0,0.0,5.3,p<0.05,p<0.05
12,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（3）今の日本は、お金や資産の格差が大きすぎる,3,どちらともいえない,40.3,18.5,19.4,p<0.05,p<0.05
13,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（3）今の日本は、お金や資産の格差が大きすぎる,4,ややそう思う,22.4,35.2,41.9,p<0.05,p<0.05
14,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（3）今の日本は、お金や資産の格差が大きすぎる,5,とてもそう思う,28.4,42.6,32.6,p<0.05,p<0.05
15,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（4）今の日本は、家柄や学歴によって人生が決まってしまう,1,まったくそう思わない,4.5,7.4,2.8,,p<0.01
16,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（4）今の日本は、家柄や学歴によって人生が決まってしまう,2,あまりそう思わない,15.2,9.3,16.8,,p<0.01
17,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（4）今の日本は、家柄や学歴によって人生が決まってしまう,3,どちらともいえない,36.4,27.8,27.0,,p<0.01
18,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（4）今の日本は、家柄や学歴によって人生が決まってしまう,4,ややそう思う,27.3,27.8,41.1,,p<0.01
19,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（4）今の日本は、家柄や学歴によって人生が決まってしまう,5,とてもそう思う,16.7,27.8,12.3,,p<0.01
