,区分,No,項目,被疑者（65歳未満）(N=72)(%),被疑者（65歳以上）(N=56)(%),一般（65歳以上）（N=1322)(%),被疑者間,高齢者間
0,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（1）悪いことをした人は、ほとんどつかまって罰を受けていると思う,1,まったくそう思わない,4.3,7.3,10.8,,p<0.01
1,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（1）悪いことをした人は、ほとんどつかまって罰を受けていると思う,2,あまりそう思わない,13.0,14.5,37.5,,p<0.01
2,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（1）悪いことをした人は、ほとんどつかまって罰を受けていると思う,3,どちらともいえない,26.1,23.6,27.5,,p<0.01
3,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（1）悪いことをした人は、ほとんどつかまって罰を受けていると思う,4,ややそう思う,23.2,20.0,18.7,,p<0.01
4,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（1）悪いことをした人は、ほとんどつかまって罰を受けていると思う,5,とてもそう思う,33.3,34.5,5.5,,p<0.01
5,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（2）罰を逃れきれるならば、規則をやぶってもかまわない,1,まったくそう思わない,55.1,67.3,81.1,,
6,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（2）罰を逃れきれるならば、規則をやぶってもかまわない,2,あまりそう思わない,27.5,20.0,11.2,,
7,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（2）罰を逃れきれるならば、規則をやぶってもかまわない,3,どちらともいえない,8.7,7.3,3.9,,
8,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（2）罰を逃れきれるならば、規則をやぶってもかまわない,4,ややそう思う,7.2,1.8,1.2,,
9,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（2）罰を逃れきれるならば、規則をやぶってもかまわない,5,とてもそう思う,1.4,3.6,2.5,,
10,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（3）お金のためなら、他人をだましてもかまわない,1,まったくそう思わない,69.6,83.6,92.7,,p<0.05
11,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（3）お金のためなら、他人をだましてもかまわない,2,あまりそう思わない,18.8,12.7,3.6,,p<0.05
12,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（3）お金のためなら、他人をだましてもかまわない,3,どちらともいえない,8.7,1.8,1.1,,p<0.05
13,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（3）お金のためなら、他人をだましてもかまわない,4,ややそう思う,1.4,0.0,0.2,,p<0.05
14,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（3）お金のためなら、他人をだましてもかまわない,5,とてもそう思う,1.4,1.8,2.4,,p<0.05
15,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（4）だまされやすい者は、利用されて当然である,1,まったくそう思わない,63.8,63.6,67.9,,p<0.05
16,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（4）だまされやすい者は、利用されて当然である,2,あまりそう思わない,14.5,10.9,14.1,,p<0.05
17,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（4）だまされやすい者は、利用されて当然である,3,どちらともいえない,17.4,18.2,10.5,,p<0.05
18,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（4）だまされやすい者は、利用されて当然である,4,ややそう思う,2.9,0.0,5.0,,p<0.05
19,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（4）だまされやすい者は、利用されて当然である,5,とてもそう思う,1.4,7.3,2.6,,p<0.05
20,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（5）地元の警察を信頼している,1,まったくそう思わない,5.9,1.9,6.6,p<0.01,p<0.01
21,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（5）地元の警察を信頼している,2,あまりそう思わない,8.8,3.7,12.6,p<0.01,p<0.01
22,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（5）地元の警察を信頼している,3,どちらともいえない,33.8,14.8,23.8,p<0.01,p<0.01
23,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（5）地元の警察を信頼している,4,ややそう思う,22.1,14.8,31.7,p<0.01,p<0.01
24,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（5）地元の警察を信頼している,5,とてもそう思う,29.4,64.8,25.3,p<0.01,p<0.01
25,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（6）私はどんなに努力しても、悪い状態から抜け出すことができない,1,まったくそう思わない,27.9,44.4,46.6,,p<0.01
26,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（6）私はどんなに努力しても、悪い状態から抜け出すことができない,2,あまりそう思わない,19.1,14.8,32.9,,p<0.01
27,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（6）私はどんなに努力しても、悪い状態から抜け出すことができない,3,どちらともいえない,27.9,20.4,15.8,,p<0.01
28,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（6）私はどんなに努力しても、悪い状態から抜け出すことができない,4,ややそう思う,17.6,5.6,3.1,,p<0.01
29,あなたは、次のことをどのように思いますか。（あてはまる番号に○）／（6）私はどんなに努力しても、悪い状態から抜け出すことができない,5,とてもそう思う,7.4,14.8,1.5,,p<0.01
