,区分,No,項目,被疑者（65歳未満）（N=72）(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）（N=1322)(%),被疑者間,高齢者間
0,性別,1,男,45.1,41.8,50.9,,
1,性別,2,女,54.9,58.2,49.1,,
2,婚姻関係,1,独身（理由未記入）,31.9,7.4,,p<0.01,p<0.01
3,婚姻関係,2,独身（未婚）,23.6,3.7,5.6,p<0.01,p<0.01
4,婚姻関係,3,独身（離婚）,13.9,16.7,4,p<0.01,p<0.01
5,婚姻関係,4,独身（死別）,2.8,31.5,16.3,p<0.01,p<0.01
6,婚姻関係,5,既婚,27.8,40.7,74.2,p<0.01,p<0.01
7,職業,1,会社員,22.9,3.6,／,p<0.01,-
8,職業,2,自営業,5.7,1.8,／,p<0.01,-
9,職業,3,派遣（契約）社員,1.4,0,／,p<0.01,-
10,職業,4,パート・アルバイト,25.7,8.9,／,p<0.01,-
11,職業,5,嘱託・再任用,0,0,／,p<0.01,-
12,職業,6,主婦（夫）,8.6,5.4,／,p<0.01,-
13,職業,7,学生,7.1,0,／,p<0.01,-
14,職業,8,無職,27.1,80.4,／,p<0.01,-
15,職業,9,その他,1.4,0,／,p<0.01,-
16,最長職業歴,1,会社員,／,／,37.1,／,-
17,最長職業歴,2,自営業,／,／,17.5,／,-
18,最長職業歴,3,派遣（契約）社員,／,／,1.1,／,-
19,最長職業歴,4,パート・アルバイト,／,／,8.4,／,-
20,最長職業歴,5,嘱託・再任用,／,／,1,／,-
21,最長職業歴,6,主婦（夫）,／,／,21,／,-
22,最長職業歴,7,学生,／,／,0,／,-
23,最長職業歴,8,無職,／,／,4.8,／,-
24,最長職業歴,9,その他,／,／,9.1,／,-
25,同居人,1,なし,56.9,46.4,14.1,,p<0.01
26,同居人,2,あり,43.1,53.6,85.9,,p<0.01
27,同居人ありのうち記載のあったもの（複数回答）,1,夫・妻,48.3,53.3,82.5,,p<0.01
28,同居人ありのうち記載のあったもの（複数回答）,2,子供,45.1,40,46.5,,p<0.01
29,同居人ありのうち記載のあったもの（複数回答）,3,孫,0,3.3,11.4,,p<0.05
30,同居人ありのうち記載のあったもの（複数回答）,4,父母,25.8,6.7,3.1,,
31,同居人ありのうち記載のあったもの（複数回答）,5,兄弟姉妹,16.1,6.7,2.5,,
32,同居人ありのうち記載のあったもの（複数回答）,6,親族,9.6,0,0,,
33,同居人ありのうち記載のあったもの（複数回答）,7,その他,6.4,10,2.5,,
34,同居人ありのうち記載のあったもの（複数回答）,8,無回答,0,0,1.4,,
35,別居の家族,1,なし,19.4,12.5,23,,
36,別居の家族,2,あり,80.6,37.5,77,,
37,別居家族ありのうち記載のあったもの（複数回答）,1,夫・妻,6.9,0,3.2,,
38,別居家族ありのうち記載のあったもの（複数回答）,2,子供,5.2,18.4,80,p<0.05,p<0.01
39,別居家族ありのうち記載のあったもの（複数回答）,3,孫,1.7,0,39.6,,p<0.01
40,別居家族ありのうち記載のあったもの（複数回答）,4,父母,25.9,0,1.5,p<0.01,
41,別居家族ありのうち記載のあったもの（複数回答）,5,兄弟姉妹,8.6,4.1,23.5,,p<0.01
42,別居家族ありのうち記載のあったもの（複数回答）,6,親族,5.2,4.1,0,,p<0.01
43,別居家族ありのうち記載のあったもの（複数回答）,7,その他,3.4,4.1,1,,
44,別居家族ありのうち記載のあったもの（複数回答）,8,無回答,60.3,69.4,10.8,,
45,最終学歴,1,中学卒,8.8,16.4,13.7,,p<0.01
46,最終学歴,2,高校中退,5.9,3.6,0,,p<0.01
47,最終学歴,3,高校卒,44.1,54.5,37.7,,p<0.01
48,最終学歴,4,短大・高専在学,1.5,0,0,,p<0.01
49,最終学歴,5,短大・高専中退,0,1.8,0,,p<0.01
50,最終学歴,6,短大・高専卒,1.5,0,7.8,,p<0.01
51,最終学歴,7,専門学校在学,0,0,0,,p<0.01
52,最終学歴,8,専門学校中退,1.5,0,0.1,,p<0.01
53,最終学歴,9,専門学校卒,13.2,3.6,6.8,,p<0.01
54,最終学歴,10,大学在学,4.4,0,0.1,,p<0.01
55,最終学歴,11,大学中退,2.9,1.8,0.5,,p<0.01
56,最終学歴,12,大学卒,14.7,9.1,31.7,,p<0.01
57,最終学歴,13,その他,1.5,9.1,1.8,,p<0.01
