,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）（N=1322)(%),被疑者間,高齢者間
0,世帯月収（税込）,1,5万円未満,11.1,2.0,1.2,p<0.05,p<0.01
1,世帯月収（税込）,2,5万～10万円未満,14.3,16.3,3.9,p<0.05,p<0.01
2,世帯月収（税込）,3,10万～15万円未満,11.1,34.7,10.5,p<0.05,p<0.01
3,世帯月収（税込）,4,15万～20万未満,15.9,10.2,13.1,p<0.05,p<0.01
4,世帯月収（税込）,5,20万～30万未満,14.3,22.4,29.7,p<0.05,p<0.01
5,世帯月収（税込）,6,30万～40万未満,6.3,4.1,18.6,p<0.05,p<0.01
6,世帯月収（税込）,7,40万円以上,22.2,6.1,23,p<0.05,p<0.01
7,世帯月収（税込）,8,無回答,4.8,4.1,0,p<0.05,p<0.01
8,クレジットカード,1,なし,56.5,74.1,／,,-
9,クレジットカード,2,あり,43.5,25.9,／,,-
10,生活保護受給,1,受給なし,93.1,87.5,／,,-
11,生活保護受給,2,受給あり,6.9,12.5,／,,-
12,住居,1,持家（家族所有含）,38.9,50.0,／,,-
13,住居,2,借家,48.6,35.7,／,,-
14,住居,3,その他,12.5,14.3,／,,-
15,持病・障害等,1,なし,66.7,52.7,／,,-
16,持病・障害等,2,あり,33.3,47.3,／,,-
17,万引きをした時間帯,1,朝（6時～）,10.0,3.6,／,,-
18,万引きをした時間帯,2,昼前後（10時～）,15.7,32.7,／,,-
19,万引きをした時間帯,3,昼間（13時～）,18.6,29.1,／,,-
20,万引きをした時間帯,4,夕方（16時～）,37.2,25.4,／,,-
21,万引きをした時間帯,5,夜（19時～）,12.9,7.3,／,,-
22,万引きをした時間帯,6,深夜（23時～）,5.6,1.8,／,,-
23,万引きした場所,1,コンビニ,39.4,66.1,／,,-
24,万引きした場所,2,スーパー,23.9,14.3,／,,-
25,万引きした場所,3,デパート,2.8,3.6,／,,-
26,万引きした場所,4,家電量販店,1.4,0.0,／,,-
27,万引きした場所,5,ホームセンター,8.5,8.9,／,,-
28,万引きした場所,6,ディスカウントストア,4.2,0.0,／,,-
29,万引きした場所,7,ドラッグストア,4.2,1.8,／,,-
30,万引きした場所,8,書店,8.5,1.8,／,,-
31,万引きした場所,9,100均,0.0,0.0,／,,-
32,万引きした場所,10,その他の商店,7.0,3.6,／,,-
33,万引きした物（複数回答可）,1,食料品,42.3,69.6,／,,-
34,万引きした物（複数回答可）,2,飲料類,7.0,8.9,／,,-
35,万引きした物（複数回答可）,3,菓子類,8.5,3.6,／,,-
36,万引きした物（複数回答可）,4,衣類,7.0,3.6,／,,-
37,万引きした物（複数回答可）,5,書籍,9.9,5.4,／,,-
38,万引きした物（複数回答可）,6,文具類,1.4,1.8,／,,-
39,万引きした物（複数回答可）,7,バック・財布類,0.0,0.0,／,,-
40,万引きした物（複数回答可）,8,化粧品類,7.0,0.0,／,,-
41,万引きした物（複数回答可）,9,医薬品,4.2,3.6,／,,-
42,万引きした物（複数回答可）,10,家電製品類,4.2,3.6,／,,-
43,万引きした物（複数回答可）,11,雑貨品,8.5,3.6,／,,-
44,万引きした物（複数回答可）,12,CD・DVD,1.4,0.0,／,,-
45,万引きした物（複数回答可）,13,酒,4.2,0.0,／,,-
46,万引きした物（複数回答可）,14,たばこ,4.2,0.0,／,,-
47,万引きした物（複数回答可）,15,その他,7.0,10.7,／,,-
48,動機（複数回答可）,1,所持金で買えるがお金を払いたくない,21.1,8.9,／,,-
49,動機（複数回答可）,2,所持金では買えない,18.3,3.6,／,p<0.05,-
50,動機（複数回答可）,3,生活困窮,19.7,7.1,／,p<0.05,-
51,動機（複数回答可）,4,許されると思った,4.2,5.4,／,,-
52,動機（複数回答可）,5,空腹,9.9,5.4,／,,-
53,動機（複数回答可）,6,スリル・好奇心・ストレス解消,15.5,32.1,／,p<0.05,-
54,動機（複数回答可）,7,転売目的,0.0,0.0,／,,-
55,動機（複数回答可）,8,その他,29.6,42.9,／,,-
