,自治体等,犯罪統計／罪種／総数,犯罪統計／罪種／凶悪犯,犯罪統計／罪種／殺人,犯罪統計／罪種／強盗,犯罪統計／罪種／放火,犯罪統計／罪種／粗暴犯,犯罪統計／罪種／暴行障害,犯罪統計／罪種／脅迫恐喝,犯罪統計／罪種／窃盗,犯罪統計／罪種／全ての侵入盗,犯罪統計／罪種／住宅侵入盗,犯罪統計／罪種／非侵入盗,犯罪統計／罪種／ひったくり,犯罪統計／罪種／車上ねらい,犯罪統計／罪種／乗り物盗,犯罪統計／罪種／自動車盗,犯罪統計／罪種／オートバイ盗,犯罪統計／罪種／自転車盗,犯罪統計／罪種／置き引き,犯罪統計／罪種／万引,犯罪統計／罪種／器物損壊,犯罪統計／罪種／詐欺,犯罪統計／罪種／特殊詐欺,犯罪統計／罪種／横領,犯罪統計／罪種／子供への犯罪,犯罪統計／罪種／性犯罪,犯罪統計／罪種／公然わいせつ,犯罪統計／期間／年,犯罪統計／期間／月,犯罪統計／期間／週,犯罪統計／期間／都,犯罪統計／範囲／区市全体,犯罪統計／範囲／警察署,犯罪統計／範囲／大学,犯罪統計／範囲／町丁目,犯罪統計／形式／ＰＤＦ,犯罪統計／形式／ＨＰ作りこみ,犯罪統計／形式／Ｅｘｃｅｌ,警視庁・警察署へのリンク,注意喚起／放火,注意喚起／自転車盗,注意喚起／オートバイ盗,注意喚起／車上あらし,注意喚起／ひったくり,注意喚起／万引,注意喚起／ストーカー,注意喚起／不審者情報・防犯情報,注意喚起／特殊詐欺,注意喚起／住宅の防犯,注意喚起／１１０番のかけ方,注意喚起／性犯罪,注意喚起／子供見守り呼びかけ放送,条例・取組等／条例等／安全都市宣言,条例・取組等／条例等／生活安全条例,条例・取組等／条例等／警察署との覚書等,条例・取組等／条例等／暴力団排除条例,条例・取組等／自治体や地域等の取組／公によるパトロール,条例・取組等／自治体や地域等の取組／自主的な防犯活動,条例・取組等／自治体や地域等の取組／安全・安心ステーション,条例・取組等／自治体や地域等の取組／子供１１０番の家,条例・取組等／自治体や地域等の取組／防犯カメラ設置事例等,条例・取組等／自治体や地域等の取組／環境浄化・落書き消し,条例・取組等／自治体や地域等の取組／地域安全マップ,条例・取組等／自治体や地域等の取組／自転車盗キャンペーン,条例・取組等／自治体や地域等の取組／防犯講和,条例・取組等／補助・貸与等／防犯活動装備品,条例・取組等／補助・貸与等／防犯カメラ補助金,条例・取組等／補助・貸与等／住宅の防犯対策補助,条例・取組等／補助・貸与等／自動車通話録音機,条例・取組等／補助・貸与等／防犯ブザー,条例・取組等／補助・貸与等／落書き消去（消去剤等）,自治体等.1
0,東京都,○,○,○,○,○,○,○,○,○,○,,○,,○,,○,○,○,,○,,○,○,○,,,○,○,○,,○,○,○,,,,○,○,○,,,,,,○,○,,○,○,,,,,○,,○,○,○,,○,○,○,○,,○,○,○,,○,,○,東京都
1,警視庁,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,,○,○,○,,,○,○,○,,,○,○,○,○,○,○,○,○,○,,○,,,,,,,,,○,○,○,,,,,,,,,,警視庁
2,千代田区,○,○,○,○,○,○,○,○,○,○,,○,,,,,,,,,○,○,,○,,,○,○,,,,○,,,,○,,○,○,,,,,,,,○,○,,,,,,○,○,○,○,○,,○,,○,,,○,○,○,,,,,千代田区
3,中央区,○,,,,,,,,,○,○,,○,○,○,,,,○,,,,,,,,,○,,,,,,○,,○,○,,,,,,,○,,,○,○,○,,,,,○,○,○,,,,,,,,,○,○,○,○,○,,,中央区
4,港区,○,○,,,,○,,,,○,,○,○,○,,,,,○,○,,,,,,,,○,,,,○,,,,○,○,,○,,○,,,○,,,○,○,,,,,,○,○,○,○,○,,,,○,○,,,○,○,○,○,○,○,港区
5,新宿区,○,○,,,,○,,,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,○,,,,○,,,○,○,,,○,○,,,,,○,,○,○,,○,,○,,○,○,○,,○,○,○,○,○,○,,,,,,○,○,○,新宿区
6,文京区,○,○,○,○,○,○,○,○,○,○,,○,,,,,,,,,○,○,,○,,,○,○,,,,○,,,,○,,○,○,,,,,,,,,○,,,,,,○,○,○,○,○,,,,,○,,,○,○,,○,○,○,文京区
7,台東区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,,○,,,○,○,○,,,,,○,○,○,○,○,,○,,,,,○,○,○,,,○,,台東区
8,墨田区,,○,○,○,○,○,○,○,○,,,,,,,,,,,,,○,,,,○,,○,,,,○,○,,,○,,,○,,,,,,,,○,○,,,,,,○,○,○,○,○,○,,,,○,,○,○,○,,,○,,墨田区
9,江東区,○,,,○,,○,,,,○,,,○,○,,○,○,○,,○,,,,,,,○,○,,,,,○,,,,○,,○,○,○,,,○,○,,○,○,,,,,,○,○,○,○,○,,○,,,○,,○,○,○,,○,,,江東区
10,品川区,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,○,,,,,○,○,,,,○,○,,,,○,○,○,,,,,,○,,○,○,○,,,,,○,○,○,○,○,○,○,○,,○,○,,,,,,○,,品川区
11,目黒区,○,○,,○,,○,,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,,,,,,○,,,,,,,○,○,○,,○,,,,,,,,○,○,,,,,,○,○,○,○,○,○,○,○,,○,,○,○,○,○,○,○,,目黒区
12,大田区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,○,○,,,,,,○,○,○,,,,○,,,,,,○,○,,,○,,大田区
13,世田谷区,○,○,,○,,○,○,,○,○,,,○,○,,○,○,○,,,,,○,,,,,○,,,,○,○,,○,○,○,,○,,○,,,,,,○,○,○,,,,,○,○,○,○,○,○,○,,○,,,,,,,○,○,,世田谷区
14,渋谷区,○,○,,○,,○,,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,,,,,,,○,,,,○,,○,○,,,○,,,,,,,,○,○,,,,,,○,○,○,,,,○,,,,,,○,,,,○,,渋谷区
15,中野区,○,○,,,,○,,,,○,,○,○,,○,,,,,,○,,,,,,○,○,○,,,○,,,○,○,,○,○,,○,,,○,,,○,○,○,,,○,,○,○,○,○,○,,○,○,○,,,,○,,,○,○,,中野区
16,杉並区,○,○,,,,○,○,,○,○,○,,○,,,,○,○,,,,○,,,,,,○,○,,,○,○,○,,○,,○,○,,,,,○,,,○,○,○,,,,,○,○,○,,○,○,,,○,,,,○,,,,,○,杉並区
17,豊島区,○,○,,,,○,,,○,○,,○,,,,,,,,,,,,,,,,○,,,,○,○,,○,○,○,○,○,,,,,,,,○,,,,,○,○,○,○,○,○,○,,○,○,○,,,,○,○,,○,,,豊島区
18,北区,○,○,,○,,○,○,○,,○,,○,○,○,○,○,○,○,○,○,,○,,,,,,○,,,,○,,,,,○,,○,,,,,○,,,○,○,,,,,,○,○,○,○,○,,,,○,,,○,○,○,,○,○,,北区
19,荒川区,○,○,,,,○,,,,○,,,○,○,,,,○,,,,,,,,,,○,,,,○,,,,,○,,○,,○,○,,○,,,,○,○,○,,,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,,,荒川区
20,板橋区,○,○,○,○,○,○,○,○,○,○,,○,,,,,,,,,,○,,○,,,○,○,,,,○,○,,,○,○,○,○,○,,,,○,,,○,○,,,,,○,○,○,○,○,○,,○,,,○,,○,○,○,,○,,,板橋区
21,練馬区,○,○,○,○,○,○,○,○,○,○,,○,,,,,,,,,,○,,○,,,○,,,,,○,○,,,○,,○,○,,○,,,○,,,○,○,○,,,○,,○,○,○,○,○,,○,,○,,,,○,○,,○,○,○,練馬区
22,足立区,○,○,○,○,○,○,○,○,○,○,,○,,,○,○,,○,,,,○,,○,,,○,○,,,,,,○,,○,○,○,○,○,○,,,○,,,○,○,○,,,,,○,○,○,○,○,,○,,○,,,○,○,○,,○,,,足立区
23,葛飾区,○,,,○,,○,,,,○,,,○,○,,○,○,○,○,○,,○,○,,,,,○,,,,○,,○,,○,○,,○,,,,,○,,,○,○,○,,,,,○,○,○,,○,,,,,,,,○,○,,○,,,葛飾区
24,江戸川区,○,○,○,○,○,○,○,○,○,○,,,○,○,,○,○,○,,○,,○,○,,,,○,○,,,,○,○,,,○,○,○,○,,○,,,,,,○,○,,,,,,,○,○,○,○,,,○,,,○,○,○,○,,,○,,江戸川区
25,八王子市,○,○,○,○,○,○,○,○,○,○,,○,○,○,,○,,,,,,○,○,○,,,,○,,○,,○,,,○,○,,○,○,,,,,○,,,○,○,○,,,,,○,○,○,○,○,,○,○,○,,,○,○,,,○,○,,八王子市
26,立川市,○,○,○,○,○,○,○,○,,○,,○,,,○,,,,,,○,○,,○,,,,○,,,,○,,,,○,,○,○,,,,,,,,○,○,,,,○,,○,○,○,○,○,,○,,○,○,,○,○,,,○,○,,立川市
27,武蔵野市,○,○,○,○,○,○,○,○,,○,,○,○,○,,○,○,○,,,,○,,○,,,,○,,,,○,,,,○,,,○,,,,,,,,○,○,,,,,,○,○,○,○,○,,,○,○,,,,,,,○,,,武蔵野市
28,三鷹市,○,○,○,○,○,○,○,○,,○,,○,○,○,,○,,○,,,,○,○,,○,○,,○,,,,○,,○,,,○,,○,,○,,,○,,,○,○,○,,,,,○,○,○,○,○,,○,○,,,,○,○,,,○,○,,三鷹市
29,青梅市,○,○,○,○,○,○,○,○,○,○,,○,,,,,,,,,,○,,○,,,,○,,,,,○,,,○,,○,○,,,,,,,,○,○,○,,,,,○,○,○,○,,,,,,,,,○,,,○,,,青梅市
30,府中市,○,○,○,○,○,○,○,○,,○,○,○,,○,,,○,○,,○,,○,,,,,,○,,,,○,,,,○,,,○,,,,,,,,○,,,,,○,,○,○,○,,○,,○,,○,,,,,,,,,,府中市
31,昭島市,○,,○,○,○,,○,○,○,,,,,,,,,,,,,○,,○,,,,○,,,,○,,,,○,,,○,,,,,,,,○,○,,,,,,○,○,○,,,,,○,,,,,,,,,,,昭島市
32,調布市,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,○,○,,,,○,○,○,,,○,,,,○,○,,○,,,,,,,,○,○,,,,,○,○,○,○,○,○,,○,○,,,,,○,,,○,,,調布市
33,町田市,○,○,,○,○,○,○,○,○,○,,○,○,,,○,○,○,,,,○,,,,,,○,○,,,○,,○,,○,,○,○,,,,,,,,○,○,,,,,,○,○,○,○,○,○,,○,○,,,○,○,,,,○,○,町田市
34,小金井市,○,○,○,○,,○,,○,,○,○,○,○,○,,○,○,○,,○,,○,,,,,,○,,,,○,,,,○,,,○,,,,,,,,○,○,○,,,,,○,○,○,○,○,,○,○,,,,○,○,,,○,,,小金井市
35,小平市,○,○,,○,○,○,,,,○,○,○,○,,,,,,,,○,○,○,○,,,,,,,,○,,,,○,○,,○,,,,,,,,,○,,,,,,,○,○,○,○,,○,,,,,,○,,,,,,小平市
36,日野市,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,○,○,○,,,,,,,○,,○,○,○,○,,,○,○,○,,○,,,○,○,○,○,○,,,○,,○,,○,○,,,,,,日野市
37,東村山市,○,○,,,,○,,,○,,,,,,,,,,,,,,,,,,,○,,,,○,,,,○,,,○,,○,○,,○,,,○,○,○,,○,,,○,○,○,,,,,,,,,,,,,○,,,東村山市
38,国分寺市,○,○,,○,,○,○,○,○,,,,,,,,,,,,,○,○,,,,,○,,,,○,,,,○,○,,○,,,,,,,,○,○,,,,○,,,○,○,○,○,,○,○,,,,○,○,,,○,,,国分寺市
39,国立市,○,○,○,○,○,○,○,○,○,○,,○,,,,,,,,,,○,,○,,,○,○,,,,,○,,,○,,,○,,○,,,,,,○,○,,,,,,,○,○,,,,,○,,,,,,,,,○,,国立市
40,福生市,○,○,,,,○,,,,○,○,○,○,○,,,,○,,,,,,,,,,○,○,,,○,○,○,,○,○,,○,,,,,,,,○,,,,,,,○,○,○,,,,,,,,,,,,,○,,,福生市
41,狛江市,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,,,○,,,○,○,○,○,○,,,○,,,,○,○,,,○,○,,○,,○,○,,○,,,○,○,○,,○,○,,○,○,○,○,○,,○,○,,,,,○,,,○,,,狛江市
42,東大和市,○,○,○,○,○,○,○,○,○,○,,○,,,○,,,,,,,,,,,,,○,,,,,,,,○,,,○,,,,,,,,○,,,,,○,,○,○,○,○,○,,○,,,,,,,,,,○,,東大和市
