,地域,所在地,緯度,経度,座標系,電話
0,霞ヶ関,千代田区内幸町2-2-2富国生命ビル地下１階,35.670513,139.754822,JGD2011,03-3502-0745
1,日本橋,中央区日本橋兜町1-10日証館ビル1階,35.68327,139.778809,JGD2011,03-3666-3089
2,渋谷,渋谷区神南1-21-1日本生命渋谷ビル8階,35.662086,139.700668,JGD2011,03-3464-1717
3,神田,千代田区鍛冶町1-9-4ＫＹＹビル３階,35.690697,139.772552,JGD2011,03-3256-4758
4,池袋,豊島区東池袋3-1-1サンシャイン60ビル8階,35.7286,139.721054,JGD2011,03-3971-6411
5,大森,大田区大森北1-17-2大森センタービル2階,35.587162,139.730301,JGD2011,03-3763-2763
6,新宿,新宿区西新宿7-4-3升本ビル5階,35.695713,139.698456,JGD2011,03-3365-1786
7,文京,文京区春日1-16-21文京シビックセンター8階,35.708336,139.752411,JGD2011,03-3812-0438
8,上野,台東区東上野1-7-2冨田ビル4階,35.707386,139.779648,JGD2011,03-3831-3022
9,浅草,台東区雷門2-4-8あいおいニッセイ同和損保浅草ビル2階,35.709332,139.795944,JGD2011,03-3844-0906
10,丸の内,千代田区丸の内3-3-1新東京ビル2階235区,35.677563,139.76265,JGD2011,03-3211-2645
11,京橋,中央区京橋1-1-10西勘本店ビル6階,35.67894,139.771194,JGD2011,03-3271-4677
12,銀座,中央区銀座2-2-6第２ＤＫビル5階,35.6745,139.765823,JGD2011,03-3561-1051
13,新橋,港区新橋1-18-1航空会館6階,35.668629,139.755844,JGD2011,03-3591-4845
14,芝,港区西新橋3-19-14東京建硝ビル5階,35.663685,139.751434,JGD2011,03-3434-7986
15,麻布,港区麻布十番1-4-5深尾ビル5階,35.657043,139.734848,JGD2011,03-3585-0907
16,目黒,品川区上大崎2-17-5デルダンビル5階,35.63567,139.715073,JGD2011,03-3494-8040
17,五反田,品川区東五反田5-27-6第一五反田ビル3階,35.627064,139.72374,JGD2011,03-3445-0021
18,世田谷,世田谷区三軒茶屋2-15-8ファッションビル4階,35.643085,139.668472,JGD2011,03-3422-6631
19,蒲田,大田区西蒲田7-5-13森ビル2階,35.563808,139.715012,JGD2011,03-3738-3329
20,王子,北区王子1-14-1山本屋ビル3階,35.755348,139.737411,JGD2011,03-3911-6596
21,赤羽,北区赤羽南1-4-8赤羽南商業ビル6階,35.776623,139.722412,JGD2011,03-3902-2339
22,小岩,江戸川区西小岩3-31-14ジブラルタ生命小岩ビル5階,35.818001,139.754944,JGD2011,03-3659-3446
23,葛飾,葛飾区立石4-25-9,35.738575,139.849182,JGD2011,03-3693-4103
24,錦糸町,墨田区江東橋3-9-7国宝ビル5階,35.69532,139.813248,JGD2011,03-3631-8490
25,向島,墨田区東向島6-1-3小島ビル2階,35.722401,139.818542,JGD2011,03-3612-5624
26,千住,足立区千住2-54須川ビル5階,35.749813,139.803101,JGD2011,03-3882-1177
27,練馬,練馬区豊玉北5-17-12練馬駅前ビル3階,35.737381,139.655197,JGD2011,03-3991-4871
28,中野,中野区中野5-65-3A-01ビル7階,35.70705,139.665344,JGD2011,03-5318-2255
29,杉並,杉並区天沼3-3-3澁澤荻窪ビルディング4階,36.206806,140.282028,JGD2011,03-3391-7100
30,板橋,板橋区板橋2-67-8板橋中央ビル9階,35.751781,139.709335,JGD2011,03-3961-1166
31,麹町,千代田区麹町5-2-1K-WINGビル5階,35.683575,139.742142,JGD2011,03-3265-6958
32,浜松町,港区芝大門1-4-14芝栄太楼ビル7階,35.658218,139.754623,JGD2011,03-3433-1901
33,八重洲,中央区八重洲1-7-20八重洲口会館6階,35.681263,139.769821,JGD2011,03-3271-1833
34,大塚,豊島区南大塚2-45-9ヤマナカヤビル4階,35.730709,139.729736,JGD2011,03-6913-6208
35,赤坂,港区赤坂3-9-1八洲貿易ビル3階,35.677113,139.736267,JGD2011,03-3583-3290
36,高田馬場,新宿区高田馬場3-3-3NIAビル5階,35.713749,139.702576,JGD2011,03-5332-3309
37,昭和通り,中央区銀座4-10-6銀料ビル2階,35.670204,139.767319,JGD2011,03-3545-9045
38,新宿御苑前,新宿区新宿2-9-23SVAX新宿B館3階,35.689468,139.709869,JGD2011,03-3226-6690
39,武蔵野,武蔵野市吉祥寺本町2-5-11松栄ビル4階,35.70668,139.579041,JGD2011,0422-22-6606
40,立川,立川市柴崎町3-9-21エルフレア立川ビル2階,35.696011,139.411453,JGD2011,042-524-1279
41,八王子,八王子市東町7-6ダヴィンチ八王子2階,35.658218,139.339539,JGD2011,042-631-4246
42,町田,町田市中町1-5-7,35.548172,139.443741,JGD2011,042-722-4695
43,府中,府中市寿町1-1-3三ツ木寿町ビル2階,35.672867,139.478882,JGD2011,042-369-6951
44,多摩,多摩市落合1-7-12ライティングビル1階,35.626125,139.423981,JGD2011,042-338-8605
