,名称,所在地,緯度,経度,座標系,電話
0,千代田年金事務所,千代田区三番町22番地,35.69109,139.742264,JGD2011,03-3265-4381
1,中央年金事務所,中央区銀座7-13-8第2丸高ビル1階、2階,35.667633,139.764343,JGD2011,03-3543-1411
2,港年金事務所,港区浜松町1-10-14住友東新橋ビル3号館,35.659233,139.755341,JGD2011,03-5401-3211
3,新宿年金事務所,新宿区大久保2-12-1,35.701065,139.706909,JGD2011,03-5285-8611
4,文京年金事務所,文京区千石1-6-15,35.726627,139.741806,JGD2011,03-3945-1141
5,上野年金事務所,台東区池之端1-2-18ＭＧ池之端ビル,35.710148,139.768707,JGD2011,03-3824-2511
6,墨田年金事務所,墨田区立川3-8-12,35.69088,139.804657,JGD2011,03-3631-3111
7,江東年金事務所,江東区亀戸5-16-9,35.700661,139.82608,JGD2011,03-3683-1231
8,品川年金事務所,品川区大崎5-1-5高徳ビル,35.62355,139.725067,JGD2011,03-3494-7831
9,目黒年金事務所,目黒区上目黒1-12-4,35.646217,139.699829,JGD2011,03-3770-6421
10,大田年金事務所,大田区蒲田4-25-2,35.560406,139.721313,JGD2011,03-3733-4141
11,世田谷年金事務所,世田谷区世田谷1-30-12,35.641541,139.648697,JGD2011,03-3429-0111
12,渋谷年金事務所,渋谷区神南1-12-1,35.664108,139.700729,JGD2011,03-3462-1241
13,中野年金事務所,中野区中野2-4-25,35.7034,139.671585,JGD2011,03-3380-6111
14,杉並年金事務所,杉並区高円寺南2-54-9,35.701534,139.654541,JGD2011,03-3312-1511
15,池袋年金事務所,豊島区南池袋2-17-2,35.726624,139.712982,JGD2011,03-3988-6011
16,北年金事務所,北区上十条1-1-10,35.758217,139.726547,JGD2011,03-3905-1011
17,荒川年金事務所,荒川区東尾久5-11-6,35.748802,139.768646,JGD2011,03-3800-9151
18,板橋年金事務所,板橋区板橋1-47-4,35.74828,139.717941,JGD2011,03-3962-1481
19,練馬年金事務所,練馬区石神井町4-27-37,35.750294,139.602585,JGD2011,03-3904-5491
20,足立年金事務所,足立区綾瀬2-17-9,35.760387,139.826645,JGD2011,03-3604-0111
21,葛飾年金事務所,葛飾区立石3-7-3,35.740307,139.843216,JGD2011,03-3695-2181
22,江戸川年金事務所,江戸川区中央3-4-24,35.709885,139.871033,JGD2011,03-3652-5106
23,八王子年金事務所,八王子市南新町4-1,35.659019,139.330734,JGD2011,042-626-3511
24,立川年金事務所,立川市錦町2-12-10,35.692066,139.413895,JGD2011,042-523-0352
25,武蔵野年金事務所,武蔵野市吉祥寺北町4-12-18,35.713539,139.566483,JGD2011,0422-56-1411
26,青梅年金事務所,青梅市新町3-3-1宇源ビル,35.778931,139.303085,JGD2011,0428-30-3410
27,府中年金事務所,府中市府中町2-12-2,35.674358,139.48291,JGD2011,042-361-1011
