,機関,所在地,緯度,経度,座標系,電話
0,飯田橋,文京区後楽1-9-20,35.703541,139.747345,JGD2011,03-3812-8609
1,上野,台東区東上野4-1-2,35.711868,139.780365,JGD2011,03-3847-8609
2,品川,港区芝大門1-3-4芝大門ビル,35.659363,139.754776,JGD2011,03-3433-8609
3,大森★,大田区大森北4-16-7,35.583435,139.727615,JGD2011,03-5493-8609
4,渋谷,渋谷区神南1-3-5,35.664665,139.700989,JGD2011,03-3476-8609
5,新宿,新宿区西新宿1-6-1新宿エルタワービル23階,35.692825,139.697128,JGD2011,03-5325-9593
6,池袋★,豊島区東池袋3-1-1サンシャイン60 ３階,35.727703,139.720245,JGD2011,03-5911-8609
7,王子,北区王子6-1-17,35.761341,139.739395,JGD2011,03-5390-8609
8,足立,足立区千住1-4-1東京芸術センター６～８階,35.746788,139.80011,JGD2011,03-3870-8609
9,墨田,墨田区江東橋2-19-12,35.696098,139.811279,JGD2011,03-5669-8609
10,木場,江東区木場2-13-19,35.6712,139.804596,JGD2011,03-3643-8609
11,八王子,八王子市子安町1-13-1,35.653713,139.341171,JGD2011,042-648-8609
12,立川,立川市緑町4-2立川地方合同庁舎1～3階,35.703758,139.413483,JGD2011,042-525-8609
13,青梅,青梅市東青梅3-12-16,35.790073,139.277069,JGD2011,0428-24-8609
14,三鷹,三鷹市下連雀4-15-18,35.695309,139.561829,JGD2011,0422-47-8609
15,町田★,町田市森野2-28-14町田合同庁舎１階,35.549896,139.441772,JGD2011,042-732-8609
16,府中,府中市美好町1-3-1,35.673573,139.472961,JGD2011,042-336-8609
17,マザーズハローワーク東京,渋谷区渋谷1-13-7ヒューリック渋谷ビル３階,35.659843,139.703537,JGD2011,03-3409-8609
18,マザーズハローワーク日暮里,荒川区西日暮里2-29-3日清ビル５階,35.729816,139.77211,JGD2011,03-5850-8611
19,ハローワーク木場マザーズコーナー,江戸川区船堀3-7-17第５トヨダビル６階,35.682575,139.865402,JGD2011,03-5659-8609
20,ハローワーク八王子マザーズコーナー,八王子市旭町10-2八王子ＴＣビル３階（八王子しごと情報館内）,35.656883,139.339798,JGD2011,042-680-8403
21,ハローワーク立川マザーズコーナー,立川市曙町2-17-16鈴春ビル5階立川ワークプラザ,35.700127,139.415771,JGD2011,042-523-1509
22,ハローワーク府中マザーズコーナー,調布市国領町2-5-15コクティー2階調布国領しごと情報広場内,35.650658,139.558014,JGD2011,042-480-8103
