,1,"東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) ２０  司法・警察・消防 20  JUSTICE, POLICE, AND FIRE FIGHTING SERVICES",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,2,,,,,,,,,,,,"20-7  人権侵犯事件の種類別件数 （平成29, 30年） 20-7  CASES OF INFRINGEMENT ON HUMAN RIGHTS BY TYPE ( 2017 and 2018 )",,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,a) Non-existence of facts about infringement b) Uncertainty of facts about infringement,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,資料：東京法務局人権擁護部第二課 Source: Tokyo Legal Affairs Bureau,,,,,,,,,,,,,,,,,,,,,,,,
3,5,年次（平成）,Year,項番 Item number,種類,Type,種類,Type,種類,Type,種類,Type,取扱総数 Total number of cases handled,旧受 Previously received,新受計 Newly received total,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／職員受 Received by officials,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／委員受 Received by commissioners,手続開始内訳  Breakdown of case proceedings commenced／委員通報 Notified by commissioners,手続開始内訳  Breakdown of case proceedings commenced／関係官公署の通報 Reported by relevant public authorities,手続開始内訳  Breakdown of case proceedings commenced／情報 Information,手続開始内訳  Breakdown of case proceedings commenced／移送 Transferred,処理件数 Total number of cases disposed,処理内訳 Breakdown of cases processed／措置 Measures／援助 Assisted,処理内訳 Breakdown of cases processed／措置 Measures／調整 Adjusted,処理内訳 Breakdown of cases processed／措置 Measures／要請 Requested,処理内訳 Breakdown of cases processed／措置 Measures／説示 Instructed,処理内訳 Breakdown of cases processed／措置 Measures／勧告 Advised,処理内訳 Breakdown of cases processed／措置 Measures／通告 Informed,処理内訳 Breakdown of cases processed／措置 Measures／告発 Indicted,処理内訳 Breakdown of cases processed／措置猶予 Suspension of sentence,処理内訳 Breakdown of cases processed／侵犯事実不存在 a),処理内訳 Breakdown of cases processed／侵犯事実不明確 b),処理内訳 Breakdown of cases processed／打切り Closed,処理内訳 Breakdown of cases processed／中止 Discontinued,処理内訳 Breakdown of cases processed／移送 Transferred,処理内訳 Breakdown of cases processed／啓発 Admonished,未済 Pending
4,6,29,2017,,総数,Total,,,,,,,2043,389,1654,1101,528,-,1,20,4,1874,1382,4,291,7,-,-,-,2,-,168,25,-,1,13,169
5,7,30,2018,,総数,Total,,,,,,,1661,169,1492,945,529, -,11,6,1,1474,1242,-,82,4,-,-,-,-,1,142,6,1,-,3,187
6,8,30,2018,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,,,,,,,311,22,289,178,105,-,-,6,-,288,256,-,4,4,-,-,-,-,1,27,-,-,-,-,23
7,9,30,2018,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,警察官によるもの,By policemen,,,22,5,17,13,4,-,-,-,-,16,8,-,-,-,-,-,-,-,-,8,-,-,-,-,6
8,10,30,2018,2,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,その他の特別公務員,By other special public officials,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,11,30,2018,3,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,体罰,Corporal punishment ,,,14,3,11,4,1,-,-,6,-,9,5,-,4,4,-,-,-,-,-,-,-,-,-,-,5
10,12,30,2018,4,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,その他,Others,,,117,7,110,65,45,-,-,-,-,114,102,-,-,-,-,-,-,-,-,12,-,-,-,-,3
11,13,30,2018,5,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,学校におけるいじめ,Bullying at school　　　　　　　　　　　　　　,,,,,128,-,128,82,46,-,-,-,-,124,124,-,-,-,-,-,-,-,-,-,-,-,-,-,4
12,14,30,2018,6,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,刑務職員による侵犯,Infringement by prison personnel,,,,,3,3,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1
13,15,30,2018,7,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,国家公務員,National public servants,,,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
14,16,30,2018,8,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,地方公務員,Local government servants,,,26,3,23,14,9,-,-,-,-,22,17,-,-,-,-,-,-,-,1,4,-,-,-,-,4
15,17,30,2018,9,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,その他,Others,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,18,30,2018,1,私人間の侵犯事件,Infringement cases among private citizens,,,,,,,1350,147,1203,767,424,-,11,-,1,1186,986,-,78,-,-,-,-,-,-,115,6,1,-,3,164
17,19,30,2018,1,私人間の侵犯事件,Infringement cases among private citizens,人身売買,Human trafficking  ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,20,30,2018,2,私人間の侵犯事件,Infringement cases among private citizens,売春に伴う侵犯,Infringement relating to prostitution,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,21,30,2018,3,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,夫の妻に対するもの,From husband to wife　　　　　　　　　　　　　　,45,-,45,22,23,-,-,-,-,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,22,30,2018,4,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,妻の夫に対するもの,From wife to husband 　　　　　　　　　　　　　　,3,-,3,1,2,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,23,30,2018,5,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,親の子に対するもの,From parent to child 　　　　　　　　　　　　　　,35,1,34,20,14,-,-,-,-,34,33,-,-,-,-,-,-,-,-,1,-,-,-,-,1
22,24,30,2018,6,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,子の親に対するもの,From child to parent 　　　　　　　　　　　　　　,21,-,21,6,15,-,-,-,-,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,25,30,2018,7,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,その他,Others,22,1,21,10,11,-,-,-,-,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,1
24,26,30,2018,8,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,その他,Others,,,19,-,19,8,11,-,-,-,-,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,27,30,2018,9,私人間の侵犯事件,Infringement cases among private citizens,私的制裁,Lynching,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,28,30,2018,10,私人間の侵犯事件,Infringement cases among private citizens,医療に関する侵犯,Infringement related to medical care,,,,,16,2,14,7,7,-,-,-,-,14,11,-,-,-,-,-,-,-,-,3,-,-,-,-,2
27,29,30,2018,11,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,精神保健法関係,Related to the Mental Health Act ,,,18,1,17,15,2,-,-,-,-,15,14,-,-,-,-,-,-,-,-,1,-,-,-,-,3
28,30,30,2018,12,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,31,30,2018,13,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,施設職員によるもの,By staff of facilities,,,7,-,7,4,3,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1
30,32,30,2018,14,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,1,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,33,30,2018,15,私人間の侵犯事件,Infringement cases among private citizens,村八分,Social ostracism,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,34,30,2018,16,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,女性に関するもの,Against women,,,2,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,35,30,2018,17,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,高齢者に関するもの,Against elderly people,,,3,-,3,2,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,36,30,2018,18,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,障害者に関するもの,Against persons with disabilities,,,23,3,20,10,10,-,-,-,-,22,17,-,-,-,-,-,-,-,-,5,-,-,-,1,1
35,37,30,2018,19,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,同和問題に関するもの,Related to Dowa problem,,,13,-,13,2,-,-,11,-,-,4,1,-,1,-,-,-,-,-,-,2,-,-,-,-,9
36,38,30,2018,20,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,アイヌの人々に関するもの,Against Ainu people,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,39,30,2018,21,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,外国人に関するもの,Against foreigners,,,9,-,9,8,1,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,40,30,2018,22,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,ＨＩＶ感染者等に関するもの,"Against HIV-positive patients, etc.",,,2,-,2,1,1,-,-,-,-,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
39,41,30,2018,23,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,刑を終えた人に関するもの,Against ex-convicts  ,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,42,30,2018,24,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,その他,Others,,,8,1,7,2,4,-,-,-,1,8,6,-,-,-,-,-,-,-,-,2,-,-,-,-,-
41,43,30,2018,25,私人間の侵犯事件,Infringement cases among private citizens,参政権に対する侵犯,Infringement of suffrage ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,44,30,2018,26,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,報道機関等,"By media, etc. ",,,2,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,45,30,2018,27,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,インターネット等によるもの,"Via Internet, etc. ",,,512,127,385,375,10,-,-,-,-,372,204,-,77,-,-,-,-,-,-,87,4,-,-,-,140
44,46,30,2018,28,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,相隣間におけるもの,Among neighbors,,,3,-,3,1,2,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1
45,47,30,2018,29,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,その他,Others,,,14,-,14,9,5,-,-,-,-,13,12,-,-,-,-,-,-,-,-,-,1,-,-,-,1
46,48,30,2018,30,私人間の侵犯事件,Infringement cases among private citizens,集会，結社及び表現の自由に対する侵犯,"Infringement of the freedom of gathering, association and expression",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,49,30,2018,31,私人間の侵犯事件,Infringement cases among private citizens,信教の自由に対する侵犯,Infringement of the freedom of religion,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,50,30,2018,32,私人間の侵犯事件,Infringement cases among private citizens,教育を受ける権利への侵犯,Infringement of the right of receiving education ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,51,30,2018,33,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,不当労働行為,Unfair labor practice,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,52,30,2018,34,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,労働基準法違反,Violation of the Labor Standards Act ,,,5,-,5,2,3,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,53,30,2018,35,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,その他,Others　　,,,266,8,258,121,137,-,-,-,-,264,254,-,-,-,-,-,-,-,-,9,1,-,-,2,2
52,54,30,2018,36,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,自力執行,Execution by oneself,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,55,30,2018,37,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,相隣間におけるもの,Between neighbors,小公害,Small pollution,27,-,27,8,19,-,-,-,-,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,56,30,2018,38,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,相隣間におけるもの,Between neighbors,その他,Others,41,-,41,13,28,-,-,-,-,41,40,-,-,-,-,-,-,-,-,-,-,1,-,-,-
55,57,30,2018,39,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,公害,Pollution,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,58,30,2018,40,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,不動産,Real estate,,,9,-,9,4,5,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,59,30,2018,41,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,,,52,3,49,27,22,-,-,-,-,52,49,-,-,-,-,-,-,-,-,3,-,-,-,-,-
