,1,"東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) ２０  司法・警察・消防 20  JUSTICE, POLICE, AND FIRE FIGHTING SERVICES",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,2,,,,"20-12  少年犯罪の包括罪種別・学職別・年齢別の検挙・補導人員 （平成26～30年） 20-12 JUVENILE OFFENDERS ARRESTED OR TAKEN INTO CUSTODY BY TYPE OF CRIMINAL OFFENSE, EDUCATION, AND AGE ( 2014-2018 ）",,,,,,,,,,,,,,,,
1,3,,,,注) 14歳未満は，６～13歳を表す。,,,,,,,,,,,,,,,,
2,4,,,,"Note: ""Under 14 years"" indicates juvenile offenders aged between 6 and 13.",,,,,,,,,,,,,,,,
3,5,,,,"資料：警視庁生活安全部少年育成課 「少年育成活動の概況」 Source: Metropolitan Police Department, TMG",,,,,,,,,,,,,,,,
4,6,年次(平成),Year,総数 Total,包括罪種別 Comprehensive crime type／凶悪犯 Felonious offenses,包括罪種別 Comprehensive crime type／粗暴犯 Violent offenses,包括罪種別 Comprehensive crime type／窃盗犯 Larcenous offenses,包括罪種別 Comprehensive crime type／知能犯 Intellectual offenses,包括罪種別 Comprehensive crime type／風俗犯 Moral offenses,包括罪種別 Comprehensive crime type／その他 Others,学職別 Education／小学生 Elementary school students,学職別 Education／中学生 Junior high school students,学職別 Education／高校生 High school students,学職別 Education／その他の少年 Others,年齢別 Age／14歳未満 Under 14 years,年齢別 Age／14歳 14 years,年齢別 Age／15歳 15 years,年齢別 Age／16歳 16 years,年齢別 Age／17歳 17 years,年齢別 Age／18歳 18 years,年齢別 Age／19歳 19 years
5,7,26,2014,5937,99,588,3468,199,59,1524,626,1873,1594,1844,1348,783,801,804,659,696,846
6,8,27,2015,5616,49,576,3313,214,75,1389,730,1568,1614,1704,1339,662,719,862,624,656,754
7,9,28,2016,4837,53,527,2806,168,59,1224,698,1214,1367,1558,1184,476,569,643,576,661,728
8,10,29,2017,4568,70,534,2675,184,72,1033,881,984,1260,1443,1363,335,464,614,532,596,664
9,11,30,2018,4129,64,534,2361,281,72,817,721,812,1156,1440,1109,284,410,603,524,514,685
