,1,"東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) ２０  司法・警察・消防 20  JUSTICE, POLICE, AND FIRE FIGHTING SERVICES",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,2,,,,,,,20-14  歩行者がわの事故原因による人身事故発生件数及び死傷者数 （平成26～30年） 20-14 TRAFFIC ACCIDENTS CAUSED BY PEDESTRIANS RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2014-2018 ),,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,注 1) 発生件数，死傷者数とも第1当事者からみた数である。,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,2) 第1当事者とは，過失（違反）がより重いか又は過失（違反）が同程度の場合にあっては，被害がより小さい方の当事者をいう。,,,,,,,,,,,,,,,,,,,,,,,
3,5,,,,,,,3) 調査不能とは，違反行為の種別が不明な場合をいう。,,,,,,,,,,,,,,,,,,,,,,,
4,6,,,,,,,"Note: 1) ""Accidents"" and ""Killed or injured"" are counted from the first party perspective.",,,,,,,,,,,,,,,,,,,,,,,
5,7,,,,,,,"2) The party whose degree of negligence (violation) is more serious than the other party is the first party. When the degree of negligence (violation) is the same, the party that suffers less damage is the first party.",,,,,,,,,,,,,,,,,,,,,,,
6,8,,,,,,,"3) ""Cause undetermined"" refers to cases for which the kind of violation committed is unknown.",,,,,,,,,,,,,,,,,,,,,,,
7,9,,,,,,,"資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department, TMG",,,,,,,,,,,,,,,,,,,,,,,
8,10,年次(平成),Year,原因,Cause,区分,Classification,発生件数 Accidents／総数 Total,発生件数 Accidents／死亡事故 Killed,発生件数 Accidents／重傷事故 Serious injury,発生件数 Accidents／軽傷事故 Minor injury,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury,,,,,,,,,,,,,,,,
9,11,26,2014,総数,Total,,,179,15,16,148,193,15,18,160,,,,,,,,,,,,,,,,
10,12,27,2015,総数,Total,,,190,31,21,138,202,31,25,146,,,,,,,,,,,,,,,,
11,13,28,2016,総数,Total,,,129,18,17,94,147,18,18,111,,,,,,,,,,,,,,,,
12,14,29,2017,総数,Total,,,186,30,54,102,199,30,57,112,,,,,,,,,,,,,,,,
13,15,30,2018,総数,Total,,,141,19,37,85,152,19,40,93,,,,,,,,,,,,,,,,
14,16,30,2018,信号無視,Ignoring traffic light signals,,,53,9,16,28,56,9,16,31,,,,,,,,,,,,,,,,
15,17,30,2018,通行区分,Lane violation,左側通行,Walking on the left side of the road,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
16,18,30,2018,通行区分,Lane violation,車道通行,Walking on roadways,1,-,-,1,1,-,-,1,,,,,,,,,,,,,,,,
17,19,30,2018,通行区分,Lane violation,その他,Others,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
18,20,30,2018,横断,Crossing,横断歩道外横断,Crossing outside pedestrian crossings,16,-,4,12,18,-,4,14,,,,,,,,,,,,,,,,
19,21,30,2018,横断,Crossing,斜め横断,Diagonal crossing,1,-,-,1,1,-,-,1,,,,,,,,,,,,,,,,
20,22,30,2018,横断,Crossing,駐停車車両の直前直後,Crossing immediately in front of or behind a parked vehicle,1,-,-,1,1,-,-,1,,,,,,,,,,,,,,,,
21,23,30,2018,横断,Crossing,走行車両の直前直後,Crossing immediately in front of or behind a vehicle in motion,1,-,-,1,1,-,-,1,,,,,,,,,,,,,,,,
22,24,30,2018,横断,Crossing,横断禁止場所横断,Crossing at prohibited places,31,4,13,14,37,4,16,17,,,,,,,,,,,,,,,,
23,25,30,2018,幼児のひとり歩き,Toddlers walking alone,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
24,26,30,2018,踏切不注意,Lack of caution at railroad crossings,,,5,4,1,-,5,4,1,-,,,,,,,,,,,,,,,,
25,27,30,2018,道路における禁止行為,Prohibited acts on roads,めいていはいかい，ねそべり等,"Drunk, wandering, lying on the road, etc.",4,1,-,3,4,1,-,3,,,,,,,,,,,,,,,,
26,28,30,2018,道路における禁止行為,Prohibited acts on roads,路上遊戯,Playing on road,2,-,-,2,2,-,-,2,,,,,,,,,,,,,,,,
27,29,30,2018,無許可道路使用,Use of roads without permission,路上作業,Working on roads,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
28,30,30,2018,飛び出し,Rushing out into the street　,,,23,-,3,20,23,-,3,20,,,,,,,,,,,,,,,,
29,31,30,2018,その他の違反,Others,,,1,1,-,-,1,1,-,-,,,,,,,,,,,,,,,,
30,32,30,2018,調査不能,Cause undetermined,,,2,-,-,2,2,-,-,2,,,,,,,,,,,,,,,,
