,1,"東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) ２０  司法・警察・消防 20  JUSTICE, POLICE, AND FIRE FIGHTING SERVICES",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,　
0,2,,,,,,,20-15  子供の交通事故死傷者数 （平成26～30年） 20-15 CHILDREN KILLED OR INJURED IN TRAFFIC ACCIDENTS ( 2014-2018 ),,,,,,,,,
1,3,,,,,,,"資料：警視庁総務部文書課 Source: Metropolitan Police Department, TMG",,,,,,,,,
2,4,年次(平成),Year,原因,Cause,区分,Classification,総数 Total／幼児 Toddler,総数 Total／小学生 Elementary school,総数 Total／中学生 Junior high school,死亡 Killed／幼児 Toddler,死亡 Killed／小学生 Elementary school,死亡 Killed／中学生 Junior high school,負傷 Injured／幼児 Toddler,負傷 Injured／小学生 Elementary school,負傷 Injured／中学生 Junior high school,
3,5,26,2014,総数,Total,,,727,1434,526,1,4,1,726,1430,525,
4,6,27,2015,総数,Total,,,655,1238,428,3,3,1,652,1235,427,
5,7,28,2016,総数,Total,,,668,1212,394,1,4,-,667,1208,394,
6,8,29,2017,総数,Total,,,659,1182,398,2,4,-,657,1178,398,
7,9,30,2018,総数,Total,,,645,1219,369,1,3,1,644,1216,368,
8,10,30,2018,歩行者の場合,Pedestrians,,,164,450,76,1,3,-,163,447,76,
9,11,30,2018,歩行者の場合,Pedestrians,信号無視,Ignoring traffic light signals,1,12,3,-,-,-,1,12,3,
10,12,30,2018,歩行者の場合,Pedestrians,通行区分違反,Lane violation ,-,4,-,-,-,-,-,4,-,
11,13,30,2018,歩行者の場合,Pedestrians,横断歩道外横断,Crossing outside pedestrian crossings ,-,8,4,-,-,-,-,8,4,
12,14,30,2018,歩行者の場合,Pedestrians,斜め横断,Diagonal crossing,-,4,-,-,-,-,-,4,-,
13,15,30,2018,歩行者の場合,Pedestrians,駐停車車両の直前 ・後横断,Crossing immediately in front of or behind a parked vehicle,-,8,-,-,-,-,-,8,-,
14,16,30,2018,歩行者の場合,Pedestrians,走行車両の直前・後横断,Crossing immediately in front of or behind a vehicle in motion,1,3,1,-,-,-,1,3,1,
15,17,30,2018,歩行者の場合,Pedestrians,横断禁止場所横断,Crossing at prohibited places,-,5,3,-,-,-,-,5,3,
16,18,30,2018,歩行者の場合,Pedestrians,幼児のひとり歩き,Toddlers walking alone,7,-,-,-,-,-,7,-,-,
17,19,30,2018,歩行者の場合,Pedestrians,踏切り不注意,Lack of caution at railroad crossings,-,-,-,-,-,-,-,-,-,
18,20,30,2018,歩行者の場合,Pedestrians,路上遊戯,Playing on road,3,9,-,-,-,-,3,9,-,
19,21,30,2018,歩行者の場合,Pedestrians,飛び出し,Rushing out into the street,27,84,9,1,2,-,26,82,9,
20,22,30,2018,歩行者の場合,Pedestrians,その他の違反,Other violations,1,2,-,-,-,-,1,2,-,
21,23,30,2018,歩行者の場合,Pedestrians,調査不能,Cause undetermined,-,3,-,-,-,-,-,3,-,
22,24,30,2018,歩行者の場合,Pedestrians,違反なし,No violation,113,297,51,-,1,-,113,296,51,
23,25,30,2018,歩行者の場合,Pedestrians,第3当事者以下,Third party involvement,11,11,5,-,-,-,11,11,5,
24,26,30,2018,自転車乗車の場合,Riding on bicycles,,,271,573,234,-,-,1,271,573,233,
25,27,30,2018,自転車乗車の場合,Riding on bicycles,信号無視,Ignoring traffic light signals,-,10,9,-,-,1,-,10,8,
26,28,30,2018,自転車乗車の場合,Riding on bicycles,通行区分違反,Lane violation ,-,3,2,-,-,-,-,3,2,
27,29,30,2018,自転車乗車の場合,Riding on bicycles,横断・転回禁止,Violation of rules prohibiting crossing or making U-turns,-,-,-,-,-,-,-,-,-,
28,30,30,2018,自転車乗車の場合,Riding on bicycles,右・左折違反,Right or left turns violation,-,-,-,-,-,-,-,-,-,
29,31,30,2018,自転車乗車の場合,Riding on bicycles,交差点安全進行義務違反,Violation of duty to use caution at intersections,1,58,29,-,-,-,1,58,29,
30,32,30,2018,自転車乗車の場合,Riding on bicycles,徐行違反,Slow down violation,-,-,-,-,-,-,-,-,-,
31,33,30,2018,自転車乗車の場合,Riding on bicycles,一時不停止,Stop sign violation,2,50,21,-,-,-,2,50,21,
32,34,30,2018,自転車乗車の場合,Riding on bicycles,安全運転義務違反　,Violation of safe driving obligations,4,104,51,-,-,-,4,104,51,
33,35,30,2018,自転車乗車の場合,Riding on bicycles,その他の違反,Other violations,1,4,1,-,-,-,1,4,1,
34,36,30,2018,自転車乗車の場合,Riding on bicycles,調査不能,Cause undetermined,-,1,2,-,-,-,-,1,2,
35,37,30,2018,自転車乗車の場合,Riding on bicycles,違反なし,No violation,14,306,117,-,-,-,14,306,117,
36,38,30,2018,自転車乗車の場合,Riding on bicycles,第3当事者以下　,Third party involvement,249,37,2,-,-,-,249,37,2,
37,39,30,2018,その他,Others,,,210,196,59,-,-,-,210,196,59,
