,1,"東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) ２０  司法・警察・消防 20  JUSTICE, POLICE, AND FIRE FIGHTING SERVICES",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,2,,,,20-18  出火原因別出火件数及び焼損面積 （平成30年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2018 ),,,
1,3,,,,"資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs, TMG",,,
2,4,項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
3,5,,総数,Total,4025,20297,3052,2225
4,6,1,たばこ,Cigarettes,654,2400,411,495
5,7,2,こんろ,Gas table,464,1042,477,387
6,8,3,かまど,Kitchen stove,2,-,2,-
7,9,4,風呂かまど,Bathtub water heater ,4,10,3,5
8,10,5,炉,Furnace,16,180,16,5
9,11,6,焼却炉,Incinerator,1,120,4,1
10,12,7,ストーブ,Space heater ,85,1323,104,113
11,13,8,こたつ,"Kotatsu, a Japanese table with a heating device",1,-,1,2
12,14,9,ボイラー,Hot water boiler,17,2,12,6
13,15,10,煙突・煙道,Chimney and flue,5,-,5,1
14,16,11,排気管,Exhaust pipe,45,646,12,3
15,17,12,電気機器,Electric machinery and appliances,365,964,325,145
16,18,13,電気装置,Electric equipment,92,326,73,20
17,19,14,電灯電話配線,Lighting and telephone wiring,203,1090,117,79
18,20,15,内燃機関,Internal-combustion engine,4,-,1,-
19,21,16,配線器具,Wiring devices ,255,885,250,137
20,22,17,火遊び,Playing with matches/lighters,33,10,12,7
21,23,18,マッチ・ライター,Matches and lighters,33,6,24,16
22,24,19,たき火,Bonfire,40,375,23,11
23,25,20,切断機・溶接機,Welding and cutting machines,31,657,17,3
24,26,21,灯火,Lighting,41,911,46,51
25,27,22,衝突の火花,Sparks caused by collision,5,-,-,-
26,28,23,取灰,Ash,7,3,6,4
27,29,24,火入れ,Kindling,-,-,-,-
28,30,25,放火,Arson,643,1130,276,120
29,31,26,放火の疑い,Suspected arson,66,46,22,6
30,32,27,交通機関内配線,Wiring installed in transportation facilities ,26,-,4,1
31,33,28,その他,Others　,569,1407,468,261
32,34,29,不明・調査中,Unknown and currently under investigation,318,6764,341,346
