,1,"東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) ２０  司法・警察・消防 20  JUSTICE, POLICE, AND FIRE FIGHTING SERVICES",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
0,2,,,,,,,,,,,,,"20-7  人権侵犯事件の種類別件数 （平成30, 平成31･令和元年） 20-7  CASES OF INFRINGEMENT ON HUMAN RIGHTS BY TYPE ( 2018 and 2019 )",,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,a) Non-existence of facts about infringement b) Uncertainty of facts about infringement,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,,資料：東京法務局人権擁護部第二課 Source: Tokyo Legal Affairs Bureau,,,,,,,,,,,,,,,,,,,,,,,,
3,5,年次,Year,項番1 Item number 1,項番2 Item number 2,種類1,Type 1,種類2,Type 2,種類3,Type 3,種類4,Type 4,取扱総数 Total number of cases handled,旧受 Previously received,新受計 Newly received total,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／職員受 Received by officials,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／委員受 Received by commissioners,手続開始内訳  Breakdown of case proceedings commenced／委員通報 Notified by commissioners,手続開始内訳  Breakdown of case proceedings commenced／関係官公署の通報 Reported by relevant public authorities,手続開始内訳  Breakdown of case proceedings commenced／情報 Information,手続開始内訳  Breakdown of case proceedings commenced／移送 Transferred,処理件数 Total number of cases disposed,処理内訳 Breakdown of cases processed／措置 Measures／援助 Assisted,処理内訳 Breakdown of cases processed／措置 Measures／調整 Adjusted,処理内訳 Breakdown of cases processed／措置 Measures／要請 Requested,処理内訳 Breakdown of cases processed／措置 Measures／説示 Instructed,処理内訳 Breakdown of cases processed／措置 Measures／勧告 Advised,処理内訳 Breakdown of cases processed／措置 Measures／通告 Informed,処理内訳 Breakdown of cases processed／措置 Measures／告発 Indicted,処理内訳 Breakdown of cases processed／措置猶予 Suspension of sentence,処理内訳 Breakdown of cases processed／侵犯事実不存在 a),処理内訳 Breakdown of cases processed／侵犯事実不明確 b),処理内訳 Breakdown of cases processed／打切り Closed,処理内訳 Breakdown of cases processed／中止 Discontinued,処理内訳 Breakdown of cases processed／移送 Transferred,処理内訳 Breakdown of cases processed／啓発 Admonished,未済 Pending
4,6,平成30,2018,,,総数,Total,,,,,,,1661,169,1492,945,529, -,11,6,1,1474,1242,-,82,4,-,-,-,-,1,142,6,1,-,3,187
5,7,平成31･令和元,2019,,,総数,Total,,,,,,,1139,187,952,655,248, -,1,8,40,951,687, -,118,7, -, -, -, -, -,77,69, -, -,1,188
6,8,平成31･令和元,2019,1,,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,,,,,,,186,23,163,115,46, -, -,2, -,161,138, -,8,7, -, -, -, -, -,15, -, -, -, -,25
7,9,平成31･令和元,2019,1,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,警察官によるもの,By policemen,,,23,6,17,14,3, -, -, -, -,13,10, -, -, -, -, -, -, -, -,3, -, -, -, -,10
8,10,平成31･令和元,2019,1,2,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,その他の特別公務員,By other special public officials,,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
9,11,平成31･令和元,2019,1,3,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,体罰,Corporal punishment ,,,12,5,7,2,3, -, -,2, -,11,4, -,7,7, -, -, -, -, -, -, -, -, -, -,1
