,1,"東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) ２０  司法・警察・消防 20  JUSTICE, POLICE, AND FIRE FIGHTING SERVICES",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,2,,,,,,,"20-8  刑事事件の種類，手続，裁判所別人員 （平成31･令和元年） 20-8  DEFENDANTS BY TYPE OF CRIMINAL CASE, COURT PROCEEDING, AND COURT ( 2019 )",,,,,,,,,,
1,3,,,,,,,この表の数字は再審事件を含む。,,,,,,,,,,
2,4,,,,,,,Figures in this table include retrial cases.,,,,,,,,,,
3,5,,,,,,,注 1)  表側の略号のうち 「通」 は通常第一審事件， 「略」 は略式事件をいう。,,,,,,,,,,
4,6,,,,,,,2)  表頭のうち，(Ａ)，(B)及び(F)は延べ人員である。また， (C)，（D)及び（E)は実人員である。,,,,,,,,,,
5,7,,,,,,,3)  表頭のうち， （Ｃ）には「有罪・一部無罪」を含む。,,,,,,,,,,
6,8,,,,,,,4)  表頭のうち， 「執行猶予を付したもの」及び「執行猶予のうちの保護観察」につき，（）内はいずれも一部執行猶予を付したもので，内数である。,,,,,,,,,,
7,9,,,,,,,"Note: 1) Abbreviations ""R"" and ""S"" indicate ordinary cases of the court of first instance and summary proceeding cases, respectively.",,,,,,,,,,
8,10,,,,,,,"2) Figures in (A), (B), and (F) are the total numbers of persons, while those in (C), (D), and (E) indicate the actual numbers of persons. ",,,,,,,,,,
9,11,,,,,,,"3) Figures in (C) include ""Partial acquittal.""",,,,,,,,,,
10,12,,,,,,,"4) The numbers in parentheses under ""With suspension of sentence"" and ""Probation"" indicate the number of cases for which ""partial suspension of sentence"" was issued, and are included in the respective totals.",,,,,,,,,,
11,13,,,,,,,資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,
12,14,,,,,,,区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,
13,15,区分階層,項番 Item number,裁判所,Court,略号,Abbreviation,新受 Newly received (A)／総数 Total,新受 Newly received (A)／検察官の起訴 Prosecuted by public prosecutors,新受 Newly received (A)／その他 Others,既済 Disposed／総数 (B) Total,既済 Disposed／有罪 (C) Guilty,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence／執行猶予のうちの保護観察 Under probation,既済 Disposed／無罪 (D) Not guilty,既済 Disposed／その他 (E) Others,既済 Disposed／同一被告人に関する事件の併合 Joinder of actions against the same defendant,未済 (F) Pending
14,16,0,,総数,Total,通,R,11152,…,…,11186,7878,4939(201),409(199),15,188,3105,3872
15,17,0,,総数,Total,略,S,15431,…,…,15583,15583,-,-,-,-,-,194
16,18,1,,地方裁判所,District Court,通,R,9967,…,…,9943,6835,4409(201),389(199),14,140,2954,3627
17,19,2,1,東京,Tokyo,通,R,8220,…,…,8172,5680,3757(168),312(166),13,103,2376,3033
18,20,2,2,立川支部,Tachikawa Branch,通,R,1747,…,…,1771,1155,652(33),77(33),1,37,578,594
19,21,1,,簡易裁判所,Summary Court,通,R,1185,…,…,1243,1043,530,20,1,48,151,245
20,22,1,,簡易裁判所,Summary Court,略,S,15431,…,…,15583,15583,-,-,-,-,-,194
21,23,2,1,東京,Tokyo,通,R,1093,…,…,1139,954,480,19,1,44,140,226
22,24,2,1,東京,Tokyo,略,S,11065,…,…,11214,11214,-,-,-,-,-,154
23,25,2,2,八丈島,Hachijojima ,通,R,-,…,…,-,-,-,-,-,-,-,-
24,26,2,2,八丈島,Hachijojima ,略,S,4,…,…,4,4,-,-,-,-,-,-
25,27,2,3,伊豆大島,Izu-oshima,通,R,-,…,…,-,-,-,-,-,-,-,-
26,28,2,3,伊豆大島,Izu-oshima,略,S,5,…,…,5,5,-,-,-,-,-,-
27,29,2,4,新島,Niijima,通,R,-,…,…,-,-,-,-,-,-,-,-
28,30,2,4,新島,Niijima,略,S,2,…,…,2,2,-,-,-,-,-,-
29,31,2,5,八王子,Hachioji,通,R,27,…,…,28,23,15,-,-,2,3,7
30,32,2,5,八王子,Hachioji,略,S,430,…,…,430,430,-,-,-,-,-,-
31,33,2,6,立川 ,Tachikawa,通,R,8,…,…,9,7,-,-,-,2,-,2
32,34,2,6,立川 ,Tachikawa,略,S,2930,…,…,2937,2937,-,-,-,-,-,36
33,35,2,7,武蔵野 ,Musashino ,通,R,33,…,…,41,38,23,-,-,-,3,4
34,36,2,7,武蔵野 ,Musashino ,略,S,444,…,…,444,444,-,-,-,-,-,-
35,37,2,8,青梅,Ome,通,R,1,…,…,-,-,-,-,-,-,-,1
36,38,2,8,青梅,Ome,略,S,213,…,…,213,213,-,-,-,-,-,-
37,39,2,9,町田,Machida ,通,R,23,…,…,26,21,12,1,-,-,5,5
38,40,2,9,町田,Machida ,略,S,338,…,…,334,334,-,-,-,-,-,4
