,1,"東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) ２０  司法・警察・消防 20  JUSTICE, POLICE, AND FIRE FIGHTING SERVICES",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,2,,,,,20-13  車両がわの事故原因による人身事故発生件数及び死傷者数 （平成27～平成31･令和元年） 20-13 TRAFFIC ACCIDENTS CAUSED BY VEHICLES RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2015-2019 ),,,,,,,,,,,,
1,3,,,,,注 1) 発生件数及び死傷者数とも第1当事者からみた数である。,,,,,,,,,,,,
2,4,,,,,2) 第1当事者とは，過失（違反）がより重いか又は過失（違反）が同程度の場合にあっては，被害がより小さい方の当事者をいう。,,,,,,,,,,,,
3,5,,,,,3) 調査不能とは，違反行為の種別が不明な場合をいう。,,,,,,,,,,,,
4,6,,,,,"Note: 1) ""Accidents total"" and ""Killed or injured"" are counted from the first party perspective.",,,,,,,,,,,,
5,7,,,,,"2) The party whose degree of negligence (violation) is more serious than the other party is the first party. When the degree of negligence (violation) is the same, the party that suffers less damage is the first party.",,,,,,,,,,,,
6,8,,,,,"3) ""Cause undetermined"" refers to cases for which the kind of violation committed is unknown.",,,,,,,,,,,,
7,9,,,,,"資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department, TMG",,,,,,,,,,,,
8,10,年次,Year,原因,Cause,発生件数 Accidents total,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury,,,,,,,,
9,11,平成27,2015,総数,Total,34084,39890,130,227,39533,,,,,,,,
10,12,平成28,2016,総数,Total,32283,37840,141,310,37389,,,,,,,,
11,13,平成29,2017,総数,Total,32576,37958,134,697,37127,,,,,,,,
12,14,平成30,2018,総数,Total,32449,37434,124,1092,36218,,,,,,,,
13,15,平成31･令和元,2019,総数,Total,30288,34713,118,1210,33385,,,,,,,,
14,16,平成31･令和元,2019,信号無視,Ignoring traffic light signals,906,1128,14,70,1044,,,,,,,,
15,17,平成31･令和元,2019,通行区分違反,Lane violation,46,55,1,2,52,,,,,,,,
16,18,平成31･令和元,2019,最高速度違反,Speed violation,3,3,1,1,1,,,,,,,,
17,19,平成31･令和元,2019,横断等禁止違反,"Crossing, etc. violation",25,27,-,2,25,,,,,,,,
18,20,平成31･令和元,2019,車間距離不保持,Tailgating,74,84,1,-,83,,,,,,,,
19,21,平成31･令和元,2019,進路変更禁止違反,Lane change violation ,22,26,-,-,26,,,,,,,,
20,22,平成31･令和元,2019,通行妨害,Obstruction of traffic ,3,3,-,-,3,,,,,,,,
21,23,平成31･令和元,2019,追越違反,Overtaking violation,29,33,1,1,31,,,,,,,,
22,24,平成31･令和元,2019,右折違反,Right turn violation,21,25,-,3,22,,,,,,,,
23,25,平成31･令和元,2019,左折違反,Left turn violation,24,26,-,-,26,,,,,,,,
24,26,平成31･令和元,2019,優先通行妨害等,"Obstruction of priority lanes, etc.",98,116,4,17,95,,,,,,,,
25,27,平成31･令和元,2019,交差点安全進行義務違反,Violation of duty to use caution at intersections,4317,4675,11,203,4461,,,,,,,,
26,28,平成31･令和元,2019,歩行者妨害等,"Obstruction of pedestrians, etc.",1074,1089,9,81,999,,,,,,,,
27,29,平成31･令和元,2019,横断自転車妨害等,"Obstruction of crossing bicycles, etc.",261,269,-,11,258,,,,,,,,
28,30,平成31･令和元,2019,徐行場所違反,Slow down violation ,48,53,-,3,50,,,,,,,,
29,31,平成31･令和元,2019,指定場所一時不停止等,"Stop sign, etc. violation",861,987,1,43,943,,,,,,,,
30,32,平成31･令和元,2019,酒酔い運転,Driving while intoxicated,13,14,-,2,12,,,,,,,,
31,33,平成31･令和元,2019,過労・薬物,Driving while drowsy or under the influence of drugs,54,89,-,4,85,,,,,,,,
32,34,平成31･令和元,2019,安全運転義務違反,Violation of safe driving obligations,21476,25004,71,709,24224,,,,,,,,
33,35,平成31･令和元,2019,安全不確認ドア開放等,"Opening of door without checking for safety, etc.",268,279,-,5,274,,,,,,,,
34,36,平成31･令和元,2019,その他,Others,579,617,2,27,588,,,,,,,,
35,37,平成31･令和元,2019,調査不能,Cause undetermined,86,111,2,26,83,,,,,,,,
