,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
0,窃盗,自動車盗,中央,本町交番,131024.0,東京都,中央区,日本橋本石町４丁目,2018-11-09,08,道路上,キーあり,なし,貨物自動車
1,窃盗,自動車盗,深川,森下交番,131083.0,東京都,江東区,毛利１丁目,2018-03-31,06,その他,キーあり,なし,乗用自動車
2,窃盗,自動車盗,深川,千田交番,131083.0,東京都,江東区,東陽７丁目,2018-07-14,12,４階建て以上共同住宅,キーあり,なし,乗用自動車
3,窃盗,自動車盗,丸の内,和田倉門外交番,131016.0,東京都,千代田区,大手町１丁目,2018-12-23,00,その他,キーあり,なし,乗用自動車
4,窃盗,自動車盗,久松,水天宮前交番,131024.0,東京都,中央区,日本橋人形町１丁目,2018-01-02,08,道路上,キーあり,なし,特殊自動車
5,窃盗,自動車盗,久松,問屋橋交番,131024.0,東京都,中央区,日本橋小網町,2018-10-08,07,道路上,キーあり,なし,貨物自動車
6,窃盗,自動車盗,築地,小田原町交番,131024.0,東京都,中央区,築地１丁目,2018-08-28,06,道路上,キーあり,なし,貨物自動車
7,窃盗,自動車盗,麻布,一之橋交番,131032.0,東京都,港区,麻布十番４丁目,2018-11-29,12,道路上,キーあり,なし,乗用自動車
8,窃盗,自動車盗,東京湾岸,都橋交番,131083.0,東京都,江東区,有明４丁目,2017-12-29,09,駐車（輪）場,キーあり,なし,貨物自動車
9,窃盗,自動車盗,東京湾岸,都橋交番,131083.0,東京都,江東区,有明４丁目,2018-08-27,08,駐車（輪）場,キーあり,なし,特殊自動車
10,窃盗,自動車盗,大森,大森海岸交番,131113.0,東京都,大田区,平和島１丁目,2018-03-18,00,駐車（輪）場,キーあり,なし,乗用自動車
11,窃盗,自動車盗,世田谷,若林交番,131121.0,東京都,世田谷区,若林２丁目,2018-02-27,09,４階建て以上共同住宅,キーあり,なし,貨物自動車
12,窃盗,自動車盗,成城,鎌田駐在所,131121.0,東京都,世田谷区,鎌田３丁目,2018-03-13,01,４階建て以上共同住宅,キーあり,あり,貨物自動車
13,窃盗,自動車盗,代々木,幡ケ谷駅前交番,131130.0,東京都,渋谷区,幡ヶ谷１丁目,2018-03-30,05,道路上,キーあり,なし,特殊自動車
14,窃盗,自動車盗,戸塚,下落合駅前交番,131041.0,東京都,新宿区,上落合１丁目,2018-01-09,23,道路上,キーあり,なし,乗用自動車
15,窃盗,自動車盗,野方,家政通交番,131148.0,東京都,中野区,鷺宮１丁目,2018-05-04,16,一戸建住宅,キーあり,なし,乗用自動車
16,窃盗,自動車盗,目白,千登世橋交番,131164.0,東京都,豊島区,千早１丁目,2018-04-13,22,４階建て以上共同住宅,キーあり,なし,貨物自動車
17,窃盗,自動車盗,王子,王子五丁目交番,131172.0,東京都,北区,王子５丁目,2018-09-08,20,駐車（輪）場,キーあり,なし,乗用自動車
18,窃盗,自動車盗,志村,蓮根交番,131199.0,東京都,板橋区,相生町,2018-06-11,16,道路上,キーあり,なし,特殊自動車
19,窃盗,自動車盗,浅草,吉原交番,131067.0,東京都,台東区,千束４丁目,2018-12-24,19,道路上,キーあり,なし,乗用自動車
20,窃盗,自動車盗,蔵前,蔵前二丁目交番,131067.0,東京都,台東区,蔵前２丁目,2018-12-17,16,その他,キーあり,なし,貨物自動車
21,窃盗,自動車盗,西新井,梅田七丁目交番,131211.0,東京都,足立区,梅島１丁目,2018-05-26,23,その他,キーあり,なし,乗用自動車
22,窃盗,自動車盗,西新井,宮城交番,131211.0,東京都,足立区,小台１丁目,2018-08-10,23,駐車（輪）場,キーあり,なし,乗用自動車
23,窃盗,自動車盗,西新井,西新井五丁目交番,131211.0,東京都,足立区,西新井５丁目,2018-07-27,01,駐車（輪）場,キーあり,なし,乗用自動車
24,窃盗,自動車盗,綾瀬,大谷田交番,131211.0,東京都,足立区,佐野２丁目,2018-08-25,19,駐車（輪）場,キーあり,なし,貨物自動車
25,窃盗,自動車盗,綾瀬,神明交番,131211.0,東京都,足立区,神明３丁目,2018-05-25,20,駐車（輪）場,キーあり,なし,貨物自動車
26,窃盗,自動車盗,竹の塚,花畑交番,131211.0,東京都,足立区,南花畑４丁目,2018-08-23,19,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,貨物自動車
27,窃盗,自動車盗,竹の塚,竹の塚駅前交番,131211.0,東京都,足立区,竹の塚２丁目,2018-08-18,19,駐車（輪）場,キーあり,なし,貨物自動車
28,窃盗,自動車盗,向島,京島二丁目交番,131075.0,東京都,墨田区,京島２丁目,2018-01-28,00,一戸建住宅,キーあり,なし,乗用自動車
29,窃盗,自動車盗,向島,八広四丁目交番,131075.0,東京都,墨田区,東墨田１丁目,2018-09-10,11,一戸建住宅,キーあり,なし,乗用自動車
30,窃盗,自動車盗,亀有,お花茶屋交番,131229.0,東京都,葛飾区,白鳥１丁目,2018-11-08,16,その他,キーあり,なし,乗用自動車
31,窃盗,自動車盗,葛飾,上平井交番,131229.0,東京都,葛飾区,東新小岩８丁目,2018-09-16,17,駐車（輪）場,キーあり,なし,貨物自動車
32,窃盗,自動車盗,葛飾,平和橋交番,131229.0,東京都,葛飾区,奥戸８丁目,2018-03-04,12,道路上,キーあり,なし,乗用自動車
33,窃盗,自動車盗,葛飾,鎌倉交番,131229.0,東京都,葛飾区,鎌倉１丁目,2018-04-06,12,駐車（輪）場,キーあり,なし,乗用自動車
34,窃盗,自動車盗,葛飾,小松橋交番,131229.0,東京都,葛飾区,東新小岩２丁目,2018-11-09,09,道路上,キーあり,なし,乗用自動車
35,窃盗,自動車盗,小松川,八蔵橋交番,131237.0,東京都,江戸川区,中央４丁目,2018-11-09,16,駐車（輪）場,キーあり,あり,乗用自動車
36,窃盗,自動車盗,小松川,京葉通交番,131237.0,東京都,江戸川区,一之江１丁目,2018-11-10,12,その他,キーあり,なし,乗用自動車
37,窃盗,自動車盗,小松川,京葉通交番,131237.0,東京都,江戸川区,大杉２丁目,2018-11-11,15,その他,キーあり,あり,乗用自動車
38,窃盗,自動車盗,小松川,瑞江駅前交番,131237.0,東京都,江戸川区,南篠崎町３丁目,2018-11-12,10,駐車（輪）場,キーあり,なし,乗用自動車
39,窃盗,自動車盗,小松川,篠崎駅前交番,131237.0,東京都,江戸川区,篠崎町５丁目,2018-11-10,08,その他,キーあり,あり,乗用自動車
40,窃盗,自動車盗,小岩,南小岩交番,131237.0,東京都,江戸川区,東小岩１丁目,2018-11-10,08,駐車（輪）場,キーあり,あり,乗用自動車
41,窃盗,自動車盗,小岩,南小岩交番,131237.0,東京都,江戸川区,南小岩２丁目,2018-11-10,10,駐車（輪）場,キーあり,あり,乗用自動車
42,窃盗,自動車盗,小岩,菅原橋交番,131237.0,東京都,江戸川区,本一色２丁目,2018-03-31,18,駐車（輪）場,キーあり,なし,貨物自動車
43,窃盗,自動車盗,小岩,西小岩交番,131237.0,東京都,江戸川区,上一色３丁目,2018-09-27,18,その他,キーあり,なし,貨物自動車
44,窃盗,自動車盗,小岩,北小岩二丁目交番,131237.0,東京都,江戸川区,北小岩３丁目,2018-11-09,12,駐車（輪）場,キーあり,なし,乗用自動車
45,窃盗,自動車盗,小岩,江戸川交番,131237.0,東京都,江戸川区,北小岩１丁目,2018-11-10,22,その他,キーあり,なし,乗用自動車
46,窃盗,自動車盗,葛西,,,,,,2018-02-13,05,道路上,キーあり,なし,貨物自動車
47,窃盗,自動車盗,葛西,西葛西駅前交番,131237.0,東京都,江戸川区,西葛西２丁目,2018-03-31,17,駐車（輪）場,キーあり,なし,貨物自動車
48,窃盗,自動車盗,葛西,東葛西九丁目駐在所,131237.0,東京都,江戸川区,東葛西９丁目,2018-11-11,01,駐車（輪）場,キーあり,なし,貨物自動車
49,窃盗,自動車盗,葛西,南葛西交番,131237.0,東京都,江戸川区,南葛西２丁目,2018-07-25,18,駐車（輪）場,キーあり,なし,特殊自動車
50,窃盗,自動車盗,葛西,江戸川六丁目交番,131237.0,東京都,江戸川区,江戸川６丁目,2018-11-10,12,その他,キーあり,あり,乗用自動車
51,窃盗,自動車盗,葛西,江戸川六丁目交番,131237.0,東京都,江戸川区,江戸川６丁目,2018-11-11,10,その他,キーあり,あり,貨物自動車
52,窃盗,自動車盗,南大沢,北野駅前交番,132012.0,東京都,八王子市,打越町,2018-10-24,00,その他,キーあり,なし,貨物自動車
53,窃盗,自動車盗,高尾,めじろ台交番,132012.0,東京都,八王子市,椚田町,2018-07-28,22,駐車（輪）場,キーあり,なし,乗用自動車
54,窃盗,自動車盗,青梅,今井駐在所,132055.0,東京都,青梅市,今井１丁目,2018-03-06,18,駐車（輪）場,キーあり,なし,乗用自動車
55,窃盗,自動車盗,福生,福生駅前交番,132187.0,東京都,福生市,本町,2018-06-04,08,道路上,キーあり,なし,乗用自動車
56,窃盗,自動車盗,八王子,下川口駐在所,132012.0,東京都,八王子市,川口町,2017-12-21,不明,駐車（輪）場,キーあり,なし,乗用自動車
57,窃盗,自動車盗,八王子,宮下駐在所,132012.0,東京都,八王子市,高月町,2018-03-01,09,その他,キーあり,なし,特殊自動車
58,窃盗,自動車盗,町田,中町交番,132098.0,東京都,町田市,中町１丁目,2018-08-16,12,駐車（輪）場,キーあり,なし,その他
59,窃盗,自動車盗,町田,金森交番,132098.0,東京都,町田市,小川２丁目,2018-02-25,22,４階建て以上共同住宅,キーあり,あり,乗用自動車
