,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
0,窃盗,オートバイ盗,中央,高橋交番,131024.0,東京都,中央区,新川２丁目,2018-11-30,18,道路上,キーあり,なし,自動二輪（50cc超）
1,窃盗,オートバイ盗,深川,住吉交番,131083.0,東京都,江東区,住吉１丁目,2019-11-21,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
2,窃盗,オートバイ盗,深川,東陽交番,131083.0,東京都,江東区,東陽５丁目,2019-01-12,11,道路上,キーあり,なし,原動機付自転車（50cc以下）
3,窃盗,オートバイ盗,深川,門前仲町交番,131083.0,東京都,江東区,永代１丁目,2019-03-22,06,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
4,窃盗,オートバイ盗,深川,豊洲交番,131083.0,東京都,江東区,豊洲６丁目,2019-12-19,09,その他,キーあり,なし,自動二輪（50cc超）
5,窃盗,オートバイ盗,丸の内,和田倉門外交番,131016.0,東京都,千代田区,大手町１丁目,2019-08-20,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
6,窃盗,オートバイ盗,月島,勝どき橋交番,131024.0,東京都,中央区,豊海町,2019-02-24,13,道路上,キーあり,なし,自動二輪（50cc超）
7,窃盗,オートバイ盗,愛宕,新橋駅前交番,131032.0,東京都,港区,新橋１丁目,2019-05-09,07,道路上,キーあり,なし,自動二輪（50cc超）
8,窃盗,オートバイ盗,愛宕,新橋駅前交番,131032.0,東京都,港区,新橋３丁目,2019-10-25,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
9,窃盗,オートバイ盗,三田,三田通交番,131032.0,東京都,港区,三田２丁目,2019-12-06,23,４階建て以上共同住宅,キーあり,あり,自動二輪（50cc超）
10,窃盗,オートバイ盗,三田,芝四丁目交番,131032.0,東京都,港区,芝５丁目,2019-10-24,09,その他,キーあり,なし,原動機付自転車（50cc以下）
11,窃盗,オートバイ盗,麻布,一之橋交番,131032.0,東京都,港区,麻布十番３丁目,2019-04-22,04,道路上,キーあり,なし,原動機付自転車（50cc以下）
12,窃盗,オートバイ盗,東京湾岸,辰巳交番,131083.0,東京都,江東区,辰巳３丁目,2019-06-26,11,道路上,キーあり,あり,自動二輪（50cc超）
13,窃盗,オートバイ盗,東京湾岸,新木場駅前交番,131083.0,東京都,江東区,新木場１丁目,2019-08-12,01,道路上,キーあり,なし,自動二輪（50cc超）
14,窃盗,オートバイ盗,品川,台場交番,131091.0,東京都,品川区,北品川１丁目,2019-09-09,10,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
15,窃盗,オートバイ盗,大井,立会川交番,131091.0,東京都,品川区,東大井１丁目,2019-11-10,16,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
16,窃盗,オートバイ盗,大井,西大井駅前交番,131091.0,東京都,品川区,西大井２丁目,2019-09-24,17,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
17,窃盗,オートバイ盗,荏原,平塚橋交番,131091.0,東京都,品川区,荏原４丁目,2018-01-01,00,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
18,窃盗,オートバイ盗,荏原,源氏前交番,131091.0,東京都,品川区,中延５丁目,2019-08-30,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
19,窃盗,オートバイ盗,荏原,武蔵小山交番,131091.0,東京都,品川区,小山３丁目,2014-08-01,00,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
20,窃盗,オートバイ盗,田園調布,洗足池交番,131113.0,東京都,大田区,南千束１丁目,2019-11-12,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
21,窃盗,オートバイ盗,田園調布,石川台交番,131113.0,東京都,大田区,石川町２丁目,2019-04-10,07,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
22,窃盗,オートバイ盗,田園調布,石川台交番,131113.0,東京都,大田区,東雪谷２丁目,2019-02-22,07,道路上,キーあり,あり,原動機付自転車（50cc以下）
23,窃盗,オートバイ盗,田園調布,丸子橋交番,131113.0,東京都,大田区,田園調布本町,2019-12-14,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
24,窃盗,オートバイ盗,蒲田,蒲田駅東口交番,131113.0,東京都,大田区,蒲田５丁目,2019-03-19,12,道路上,キーあり,なし,自動二輪（50cc超）
25,窃盗,オートバイ盗,蒲田,蒲田駅東口交番,131113.0,東京都,大田区,蒲田５丁目,2019-08-31,17,道路上,キーあり,あり,自動二輪（50cc超）
