,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
0,窃盗,部品ねらい,中央,八丁堀交番,131024.0,東京都,中央区,八丁堀２丁目,2021/2/15,17,４階建て以上共同住宅,駐車（輪）場,その他
1,窃盗,部品ねらい,中央,日本橋交番,131024.0,東京都,中央区,日本橋１丁目,2021/11/28,23,その他,駐車（輪）場,その他
2,窃盗,部品ねらい,中央,日本橋交番,131024.0,東京都,中央区,日本橋本町１丁目,2021/5/10,20,道路上,その他,ナンバープレート
3,窃盗,部品ねらい,深川,住吉交番,131083.0,東京都,江東区,猿江１丁目,2021/8/5,17,駐車（輪）場,駐車（輪）場,その他
4,窃盗,部品ねらい,深川,千田交番,131083.0,東京都,江東区,扇橋３丁目,2021/5/10,16,４階建て以上共同住宅,駐車（輪）場,その他
5,窃盗,部品ねらい,深川,千田交番,131083.0,東京都,江東区,扇橋３丁目,2021/5/12,17,４階建て以上共同住宅,駐車（輪）場,その他
6,窃盗,部品ねらい,深川,千田交番,131083.0,東京都,江東区,千石１丁目,2021/4/28,15,４階建て以上共同住宅,駐車（輪）場,その他
7,窃盗,部品ねらい,深川,千田交番,131083.0,東京都,江東区,千石２丁目,2021/3/28,9,４階建て以上共同住宅,駐車（輪）場,その他
8,窃盗,部品ねらい,深川,千田交番,131083.0,東京都,江東区,千石２丁目,2021/4/3,22,４階建て以上共同住宅,駐車（輪）場,その他
9,窃盗,部品ねらい,深川,千田交番,131083.0,東京都,江東区,千石２丁目,2021/4/6,18,４階建て以上共同住宅,駐車（輪）場,その他
10,窃盗,部品ねらい,深川,千田交番,131083.0,東京都,江東区,東陽７丁目,2021/5/6,16,４階建て以上共同住宅,駐車（輪）場,その他
11,窃盗,部品ねらい,深川,千田交番,131083.0,東京都,江東区,東陽７丁目,2021/5/6,18,４階建て以上共同住宅,駐車（輪）場,その他
12,窃盗,部品ねらい,深川,東陽交番,131083.0,東京都,江東区,塩浜２丁目,2021/1/29,22,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
13,窃盗,部品ねらい,深川,東陽交番,131083.0,東京都,江東区,東陽４丁目,2021/4/28,18,４階建て以上共同住宅,駐車（輪）場,その他
14,窃盗,部品ねらい,深川,枝川交番,131083.0,東京都,江東区,枝川１丁目,2021/5/22,10,４階建て以上共同住宅,駐車（輪）場,その他
15,窃盗,部品ねらい,深川,森下交番,131083.0,東京都,江東区,高橋,2020/12/25,23,４階建て以上共同住宅,駐車（輪）場,その他
16,窃盗,部品ねらい,深川,森下交番,131083.0,東京都,江東区,森下３丁目,2021/4/26,13,４階建て以上共同住宅,駐車（輪）場,その他
17,窃盗,部品ねらい,深川,森下交番,131083.0,東京都,江東区,森下３丁目,2021/5/14,17,４階建て以上共同住宅,その他,その他
18,窃盗,部品ねらい,深川,現代美術館前交番,131083.0,東京都,江東区,白河４丁目,2021/5/13,17,その他,駐車（輪）場,その他
19,窃盗,部品ねらい,深川,豊洲交番,131083.0,東京都,江東区,豊洲６丁目,2021/12/11,2,その他,駐車（輪）場,その他
20,窃盗,部品ねらい,深川,門前仲町交番,131083.0,東京都,江東区,永代２丁目,2021/4/28,22,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
21,窃盗,部品ねらい,深川,門前仲町交番,131083.0,東京都,江東区,木場２丁目,2021/5/7,8,その他,駐車（輪）場,ナンバープレート
22,窃盗,部品ねらい,麹町,飯田橋駅前交番,131016.0,東京都,千代田区,飯田橋４丁目,2021/1/23,20,駐車（輪）場,駐車（輪）場,その他
23,窃盗,部品ねらい,丸の内,東京駅前交番,131016.0,東京都,千代田区,丸の内１丁目,2021/5/16,13,その他,その他,その他
24,窃盗,部品ねらい,神田,お茶の水交番,131016.0,東京都,千代田区,神田淡路町２丁目,2021/11/14,2,道路上,その他,その他
25,窃盗,部品ねらい,神田,司町交番,131016.0,東京都,千代田区,内神田１丁目,2021/6/13,12,４階建て以上共同住宅,駐車（輪）場,その他
26,窃盗,部品ねらい,神田,水道橋駅前交番,131016.0,東京都,千代田区,神田三崎町２丁目,2021/2/3,9,駐車（輪）場,駐車（輪）場,その他
27,窃盗,部品ねらい,神田,水道橋駅前交番,131016.0,東京都,千代田区,神田三崎町２丁目,2021/7/7,7,駐車（輪）場,駐車（輪）場,その他
28,窃盗,部品ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,外神田１丁目,2021/7/31,16,道路上,その他,その他
29,窃盗,部品ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,外神田６丁目,2021/7/3,15,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
30,窃盗,部品ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,外神田６丁目,2021/7/9,23,その他,駐車（輪）場,ナンバープレート
