,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
0,窃盗,オートバイ盗,深川,住吉交番,131083.0,東京都,江東区,住吉２丁目,2021/6/14,15,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
1,窃盗,オートバイ盗,深川,東陽交番,131083.0,東京都,江東区,塩浜２丁目,2021/10/25,21,道路上,その他,キーあり,なし,自動二輪（50cc超）
2,窃盗,オートバイ盗,神田,お茶の水交番,131016.0,東京都,千代田区,神田小川町３丁目,2021/10/4,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
3,窃盗,オートバイ盗,神田,司町交番,131016.0,東京都,千代田区,内神田３丁目,2021/12/9,18,道路上,その他,キーあり,なし,自動二輪（50cc超）
4,窃盗,オートバイ盗,万世橋,美倉橋交番,131016.0,東京都,千代田区,東神田３丁目,2021/10/12,20,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
5,窃盗,オートバイ盗,久松,箱崎交番,131024.0,東京都,中央区,日本橋箱崎町,2021/7/12,9,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
6,窃盗,オートバイ盗,月島,勝どき橋交番,131024.0,東京都,中央区,豊海町,2021/2/15,16,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
7,窃盗,オートバイ盗,三田,三田通交番,131032.0,東京都,港区,芝５丁目,2021/4/2,11,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
8,窃盗,オートバイ盗,三田,田町駅東口交番,131032.0,東京都,港区,芝浦３丁目,2020/11/21,10,その他,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
9,窃盗,オートバイ盗,三田,田町駅東口交番,131032.0,東京都,港区,芝浦３丁目,2021/10/30,12,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
10,窃盗,オートバイ盗,三田,芝四丁目交番,131032.0,東京都,港区,芝１丁目,2021/8/26,17,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
11,窃盗,オートバイ盗,麻布,西麻布交番,131032.0,東京都,港区,西麻布３丁目,2021/5/12,0,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
12,窃盗,オートバイ盗,東京湾岸,大田市場前交番,131113.0,東京都,大田区,城南島２丁目,2021/6/14,7,その他,その他,キーあり,なし,自動二輪（50cc超）
13,窃盗,オートバイ盗,東京湾岸,都橋交番,131083.0,東京都,江東区,東雲１丁目,2020/5/1,不明,４階建て以上共同住宅,その他,キーなし,あり,自動二輪（50cc超）
14,窃盗,オートバイ盗,東京湾岸,都橋交番,131083.0,東京都,江東区,東雲１丁目,2020/8/1,不明,４階建て以上共同住宅,その他,キーなし,あり,自動二輪（50cc超）
15,窃盗,オートバイ盗,東京湾岸,都橋交番,131083.0,東京都,江東区,東雲１丁目,2021/3/17,15,その他,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
16,窃盗,オートバイ盗,東京湾岸,都橋交番,131083.0,東京都,江東区,東雲２丁目,2020/12/30,13,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
17,窃盗,オートバイ盗,品川,台場交番,131091.0,東京都,品川区,北品川２丁目,2021/3/1,0,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
18,窃盗,オートバイ盗,品川,青物横丁駅前交番,131091.0,東京都,品川区,東五反田２丁目,2020/12/8,4,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
19,窃盗,オートバイ盗,品川,青物横丁駅前交番,131091.0,東京都,品川区,南品川１丁目,2021/12/8,22,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
20,窃盗,オートバイ盗,品川,青物横丁駅前交番,131091.0,東京都,品川区,南品川３丁目,2021/1/17,17,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
21,窃盗,オートバイ盗,大井,西大井駅前交番,131091.0,東京都,品川区,西大井１丁目,2021/7/16,22,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
22,窃盗,オートバイ盗,大井,鹿島神社前交番,131091.0,東京都,品川区,大井３丁目,2019/3/11,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
23,窃盗,オートバイ盗,大崎,目黒駅前交番,131091.0,東京都,品川区,上大崎３丁目,2021/10/17,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
24,窃盗,オートバイ盗,大森,大森海岸交番,131113.0,東京都,大田区,大森東１丁目,2021/3/16,20,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
25,窃盗,オートバイ盗,大森,大森海岸交番,131113.0,東京都,大田区,大森東１丁目,2021/12/10,18,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
26,窃盗,オートバイ盗,大森,大森海岸交番,131113.0,東京都,大田区,平和島１丁目,2021/5/17,8,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
27,窃盗,オートバイ盗,大森,大森西交番,131113.0,東京都,大田区,大森西２丁目,2021/7/27,6,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
28,窃盗,オートバイ盗,大森,大森西交番,131113.0,東京都,大田区,大森西３丁目,2021/12/13,22,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
29,窃盗,オートバイ盗,大森,森ケ崎交番,131113.0,東京都,大田区,大森東４丁目,2020/12/21,15,その他,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
30,窃盗,オートバイ盗,大森,森ケ崎交番,131113.0,東京都,大田区,大森南２丁目,2021/1/2,8,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
31,窃盗,オートバイ盗,田園調布,大岡山駅前交番,131113.0,東京都,大田区,北千束３丁目,2021/3/16,19,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
32,窃盗,オートバイ盗,蒲田,大鳥居交番,131113.0,東京都,大田区,萩中３丁目,2021/1/7,21,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
33,窃盗,オートバイ盗,蒲田,大鳥居交番,131113.0,東京都,大田区,羽田３丁目,2021/5/17,18,４階建て以上共同住宅,その他,キーなし,あり,自動二輪（50cc超）
34,窃盗,オートバイ盗,蒲田,大鳥居交番,131113.0,東京都,大田区,羽田５丁目,2021/8/22,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
35,窃盗,オートバイ盗,蒲田,大鳥居交番,131113.0,東京都,大田区,羽田５丁目,2021/12/8,18,道路上,その他,キーなし,あり,自動二輪（50cc超）
36,窃盗,オートバイ盗,蒲田,大鳥居交番,131113.0,東京都,大田区,本羽田３丁目,2021/5/28,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
37,窃盗,オートバイ盗,蒲田,日の出通交番,131113.0,東京都,大田区,蒲田本町２丁目,2021/11/7,15,その他,その他,キーあり,なし,自動二輪（50cc超）
38,窃盗,オートバイ盗,蒲田,日の出通交番,131113.0,東京都,大田区,南蒲田２丁目,2021/10/2,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
39,窃盗,オートバイ盗,蒲田,本羽田交番,131113.0,東京都,大田区,本羽田２丁目,2021/5/1,9,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
40,窃盗,オートバイ盗,蒲田,本羽田交番,131113.0,東京都,大田区,南六郷１丁目,2021/5/7,2,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
41,窃盗,オートバイ盗,蒲田,東六郷交番,131113.0,東京都,大田区,仲六郷４丁目,2021/1/25,1,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
42,窃盗,オートバイ盗,蒲田,東六郷交番,131113.0,東京都,大田区,南六郷２丁目,2021/1/5,12,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
43,窃盗,オートバイ盗,蒲田,東六郷交番,131113.0,東京都,大田区,南六郷２丁目,2021/8/27,14,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
44,窃盗,オートバイ盗,蒲田,東六郷交番,131113.0,東京都,大田区,南六郷２丁目,2021/11/3,17,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
45,窃盗,オートバイ盗,蒲田,蒲田駅東口交番,131113.0,東京都,大田区,蒲田５丁目,2021/3/29,15,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
46,窃盗,オートバイ盗,蒲田,蒲田駅西口交番,131113.0,東京都,大田区,西蒲田５丁目,2021/5/26,17,道路上,その他,キーあり,なし,自動二輪（50cc超）
47,窃盗,オートバイ盗,蒲田,蒲田駅西口交番,131113.0,東京都,大田区,西蒲田７丁目,2021/10/5,14,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
48,窃盗,オートバイ盗,蒲田,西六郷交番,131113.0,東京都,大田区,新蒲田３丁目,2019/3/11,不明,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
49,窃盗,オートバイ盗,蒲田,西六郷交番,131113.0,東京都,大田区,西六郷４丁目,2021/9/23,20,道路上,その他,キーあり,なし,自動二輪（50cc超）
50,窃盗,オートバイ盗,蒲田,西蒲田交番,131113.0,東京都,大田区,西蒲田３丁目,2021/3/10,8,その他の住宅（３階建て以下共同住宅等）,その他,キーなし,なし,自動二輪（50cc超）
51,窃盗,オートバイ盗,蒲田,雑色交番,131113.0,東京都,大田区,仲六郷１丁目,2021/10/29,15,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
52,窃盗,オートバイ盗,蒲田,雑色交番,131113.0,東京都,大田区,仲六郷２丁目,2021/1/25,16,道路上,その他,キーなし,なし,自動二輪（50cc超）
53,窃盗,オートバイ盗,池上,ガス橋交番,131113.0,東京都,大田区,矢口２丁目,2021/7/27,22,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
54,窃盗,オートバイ盗,池上,千鳥交番,131113.0,東京都,大田区,多摩川１丁目,2021/5/4,19,一戸建住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
55,窃盗,オートバイ盗,池上,千鳥交番,131113.0,東京都,大田区,千鳥３丁目,2021/5/21,21,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
56,窃盗,オートバイ盗,池上,多摩川大橋交番,131113.0,東京都,大田区,多摩川１丁目,2021/11/24,19,道路上,その他,キーあり,なし,自動二輪（50cc超）
57,窃盗,オートバイ盗,池上,多摩川大橋交番,131113.0,東京都,大田区,多摩川２丁目,2021/2/14,15,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
58,窃盗,オートバイ盗,池上,池上駅前交番,131113.0,東京都,大田区,池上４丁目,2021/11/28,15,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
59,窃盗,オートバイ盗,池上,西馬込交番,131113.0,東京都,大田区,西馬込２丁目,2021/2/4,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
60,窃盗,オートバイ盗,池上,西馬込交番,131113.0,東京都,大田区,南馬込４丁目,2021/1/10,17,一戸建住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
61,窃盗,オートバイ盗,世田谷,三宿交番,131121.0,東京都,世田谷区,池尻３丁目,2021/11/25,11,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
62,窃盗,オートバイ盗,世田谷,三宿交番,131121.0,東京都,世田谷区,下馬２丁目,2019/8/26,12,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
63,窃盗,オートバイ盗,世田谷,三軒茶屋交番,131121.0,東京都,世田谷区,太子堂４丁目,2021/11/9,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
64,窃盗,オートバイ盗,北沢,宮前橋交番,131121.0,東京都,世田谷区,代田１丁目,2021/8/30,2,その他,その他,キーなし,なし,自動二輪（50cc超）
65,窃盗,オートバイ盗,北沢,羽根木交番,131121.0,東京都,世田谷区,羽根木２丁目,2021/10/2,21,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
66,窃盗,オートバイ盗,北沢,赤松交番,131121.0,東京都,世田谷区,松原３丁目,2021/6/9,13,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
67,窃盗,オートバイ盗,玉川,上野毛交番,131121.0,東京都,世田谷区,中町５丁目,2021/6/10,20,その他の住宅（３階建て以下共同住宅等）,その他,キーあり,なし,自動二輪（50cc超）
68,窃盗,オートバイ盗,玉川,九品仏交番,131121.0,東京都,世田谷区,奥沢６丁目,2021/2/21,2,道路上,その他,キーなし,なし,自動二輪（50cc超）
69,窃盗,オートバイ盗,玉川,二子玉川交番,131121.0,東京都,世田谷区,上野毛２丁目,2021/11/3,8,その他,その他,キーあり,なし,自動二輪（50cc超）
70,窃盗,オートバイ盗,成城,上北沢駅前交番,131121.0,東京都,世田谷区,上北沢４丁目,2021/1/16,23,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
71,窃盗,オートバイ盗,成城,上北沢駅前交番,131121.0,東京都,世田谷区,上北沢５丁目,2018/5/25,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
72,窃盗,オートバイ盗,成城,千歳台交番,131121.0,東京都,世田谷区,千歳台３丁目,2017/7/1,不明,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
73,窃盗,オートバイ盗,成城,千歳台交番,131121.0,東京都,世田谷区,千歳台６丁目,2021/11/19,13,その他,その他,キーなし,あり,自動二輪（50cc超）
74,窃盗,オートバイ盗,成城,千歳船橋駅前交番,131121.0,東京都,世田谷区,船橋５丁目,2017/8/14,1,その他の住宅（３階建て以下共同住宅等）,その他,キーなし,なし,自動二輪（50cc超）
75,窃盗,オートバイ盗,成城,喜多見駐在所,131121.0,東京都,世田谷区,喜多見２丁目,2021/1/4,20,道路上,その他,キーなし,なし,自動二輪（50cc超）
76,窃盗,オートバイ盗,成城,大蔵二丁目交番,131121.0,東京都,世田谷区,大蔵３丁目,2019/9/11,不明,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
77,窃盗,オートバイ盗,成城,大蔵二丁目交番,131121.0,東京都,世田谷区,大蔵４丁目,2019/10/28,10,一戸建住宅,その他,キーなし,なし,原動機付自転車（50cc以下）
78,窃盗,オートバイ盗,成城,烏山交番,131121.0,東京都,世田谷区,北烏山６丁目,2016/2/1,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
79,窃盗,オートバイ盗,成城,給田交番,131121.0,東京都,世田谷区,北烏山９丁目,2018/4/1,不明,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
80,窃盗,オートバイ盗,成城,給田交番,131121.0,東京都,世田谷区,北烏山９丁目,2019/1/1,不明,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
81,窃盗,オートバイ盗,成城,船橋交番,131121.0,東京都,世田谷区,船橋７丁目,2015/8/1,不明,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
82,窃盗,オートバイ盗,目黒,下目黒交番,131105.0,東京都,目黒区,下目黒３丁目,2018/9/1,0,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
83,窃盗,オートバイ盗,目黒,下目黒交番,131105.0,東京都,目黒区,目黒２丁目,2021/2/2,0,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
84,窃盗,オートバイ盗,碑文谷,本町二丁目交番,131105.0,東京都,目黒区,中央町１丁目,2020/8/1,12,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
85,窃盗,オートバイ盗,碑文谷,柿の木坂交番,131105.0,東京都,目黒区,柿の木坂１丁目,2021/11/9,18,一戸建住宅,その他,キーなし,なし,自動二輪（50cc超）
86,窃盗,オートバイ盗,碑文谷,都立大学駅前交番,131105.0,東京都,目黒区,中根１丁目,2021/8/2,8,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
87,窃盗,オートバイ盗,渋谷,宇田川交番,131130.0,東京都,渋谷区,道玄坂２丁目,2021/6/25,14,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
88,窃盗,オートバイ盗,渋谷,渋谷駅前交番,131130.0,東京都,渋谷区,道玄坂１丁目,2021/1/6,10,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
89,窃盗,オートバイ盗,渋谷,美竹交番,131130.0,東京都,渋谷区,渋谷１丁目,2014/3/21,0,道路上,その他,キーあり,なし,自動二輪（50cc超）
90,窃盗,オートバイ盗,渋谷,道玄坂上交番,131130.0,東京都,渋谷区,神泉町,2021/3/1,23,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
91,窃盗,オートバイ盗,原宿,千駄ケ谷駅前交番,131130.0,東京都,渋谷区,神宮前２丁目,2021/10/3,8,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
92,窃盗,オートバイ盗,牛込,大曲交番,131041.0,東京都,新宿区,新小川町,2021/8/18,17,４階建て以上共同住宅,その他,キーなし,なし,原動機付自転車（50cc以下）
93,窃盗,オートバイ盗,牛込,神楽坂上交番,131041.0,東京都,新宿区,岩戸町,2021/9/2,10,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
94,窃盗,オートバイ盗,新宿,成子坂交番,131041.0,東京都,新宿区,西新宿７丁目,2021/10/9,13,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
95,窃盗,オートバイ盗,新宿,新宿駅西口交番,131041.0,東京都,新宿区,西新宿２丁目,2021/1/27,14,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
96,窃盗,オートバイ盗,新宿,歌舞伎町交番,131041.0,東京都,新宿区,歌舞伎町１丁目,2021/9/24,12,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
97,窃盗,オートバイ盗,新宿,歌舞伎町交番,131041.0,東京都,新宿区,歌舞伎町２丁目,2021/4/13,23,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
98,窃盗,オートバイ盗,新宿,百人町交番,131041.0,東京都,新宿区,大久保３丁目,2020/12/27,20,４階建て以上共同住宅,その他,キーなし,なし,原動機付自転車（50cc以下）
99,窃盗,オートバイ盗,戸塚,下落合駅前交番,131041.0,東京都,新宿区,下落合１丁目,2021/1/28,23,道路上,その他,キーあり,なし,自動二輪（50cc超）
100,窃盗,オートバイ盗,戸塚,戸塚一丁目交番,131041.0,東京都,新宿区,西早稲田３丁目,2021/10/15,16,一戸建住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
101,窃盗,オートバイ盗,戸塚,高田馬場駅前交番,131041.0,東京都,新宿区,高田馬場３丁目,2021/8/28,10,その他,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
102,窃盗,オートバイ盗,四谷,新宿交番,131041.0,東京都,新宿区,新宿１丁目,2021/8/7,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
103,窃盗,オートバイ盗,四谷,追分交番,131041.0,東京都,新宿区,新宿３丁目,2020/12/3,13,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
104,窃盗,オートバイ盗,中野,中野坂上交番,131148.0,東京都,中野区,東中野１丁目,2021/2/22,19,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
105,窃盗,オートバイ盗,中野,中野駅前交番,131148.0,東京都,中野区,中野２丁目,2021/2/4,0,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
106,窃盗,オートバイ盗,中野,中野駅前交番,131148.0,東京都,中野区,中野２丁目,2021/5/30,18,その他,駐車（輪）場,キーなし,あり,原動機付自転車（50cc以下）
107,窃盗,オートバイ盗,中野,中野駅前交番,131148.0,東京都,中野区,中野４丁目,2021/8/31,0,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
108,窃盗,オートバイ盗,中野,南台交番,131148.0,東京都,中野区,弥生町５丁目,2021/4/21,不明,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
109,窃盗,オートバイ盗,中野,本郷通交番,131148.0,東京都,中野区,弥生町１丁目,2021/3/20,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
110,窃盗,オートバイ盗,中野,鍋屋横丁交番,131148.0,東京都,中野区,本町３丁目,2021/12/10,11,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
111,窃盗,オートバイ盗,野方,白鷺駐在所,131148.0,東京都,中野区,白鷺２丁目,2020/4/1,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
112,窃盗,オートバイ盗,野方,若宮交番,131148.0,東京都,中野区,大和町３丁目,2021/11/1,22,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
113,窃盗,オートバイ盗,野方,薬師駅前交番,131148.0,東京都,中野区,新井５丁目,2017/3/1,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
114,窃盗,オートバイ盗,杉並,堀ノ内交番,131156.0,東京都,杉並区,堀ノ内３丁目,2021/11/2,9,４階建て以上共同住宅,その他,キーなし,なし,原動機付自転車（50cc以下）
115,窃盗,オートバイ盗,杉並,成田交番,131156.0,東京都,杉並区,成田東１丁目,2018/7/1,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
116,窃盗,オートバイ盗,杉並,高円寺交番,131156.0,東京都,杉並区,高円寺南１丁目,2021/1/4,19,駐車（輪）場,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
117,窃盗,オートバイ盗,杉並,高円寺交番,131156.0,東京都,杉並区,高円寺南１丁目,2021/7/24,9,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
118,窃盗,オートバイ盗,杉並,高円寺交番,131156.0,東京都,杉並区,和田３丁目,2020/12/31,18,道路上,その他,キーなし,なし,自動二輪（50cc超）
119,窃盗,オートバイ盗,杉並,高円寺駅前交番,131156.0,東京都,杉並区,高円寺南３丁目,2021/11/24,21,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
120,窃盗,オートバイ盗,高井戸,下高井戸交番,131156.0,東京都,杉並区,下高井戸１丁目,2021/4/10,22,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
121,窃盗,オートバイ盗,高井戸,方南交番,131156.0,東京都,杉並区,方南１丁目,2020/12/25,20,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
122,窃盗,オートバイ盗,高井戸,永福町駅前交番,131156.0,東京都,杉並区,永福２丁目,2021/3/19,2,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
